Route_Id,Origin_Port,Destination_Port,Orgin_Port_Country,Destination_Port_Country,No_Of_Stops,Stops_Names,Stop_Points,Average_Transit_Days,Distance,Vessel_Type,No_Of_Travels,Total_Incidents_Count,Risk_Score
R2498,AGADIR,MANAUS,MOROCCO,BRAZIL,0,"LAS PALMAS,ANTWERP,CRISTOBAL",0,56,9081,Offshore Ships,1403,105,26
R2499,DURRES,NAPIER,ALBANIA,NEW ZEALAND,0,"GIOIA TAURO,SINGAPORE",0,61,18119,Panamax Ship,1123,128,44
R2500,DURRES,BLUFF,ALBANIA,NEW ZEALAND,0,"GIOIA TAURO,SINGAPORE",0,58,17507,Bulk carrier,1174,138,44
R2501,DURRES,TAURANGA,ALBANIA,NEW ZEALAND,0,"GIOIA TAURO,FOS-SUR-MER,ADELAIDE",0,77,17762,Tank,1440,121,33
R2502,DURRES,NAPIER,ALBANIA,NEW ZEALAND,0,"GIOIA TAURO,FOS-SUR-MER,ADELAIDE",0,75,17863,Barge,2611,122,18
R2503,DURRES,MELBOURNE,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER",0,61,15166,Dredgers,3043,110,13
R2504,DURRES,SYDNEY,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER",0,57,14637,Tugs,1044,119,43
R2505,DURRES,FREMANTLE,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER",0,71,16988,Corvette,1457,130,33
R2506,DURRES,ADELAIDE,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER",0,65,15627,Reefer Vessel,1852,106,22
R2507,DURRES,BLUFF,ALBANIA,NEW ZEALAND,0,"GIOIA TAURO,FOS-SUR-MER,ADELAIDE",0,72,17251,Frigate,751,132,64
R2508,DURRES,CALLAO,ALBANIA,PERU,0,"GIOIA TAURO,RODMAN",0,44,8022,Offshore Ships,2349,145,24
R2509,DURRES,CORONEL,ALBANIA,CHILE,0,"GIOIA TAURO,RODMAN",0,51,9483,Panamax Ship,2232,140,24
R2510,DURRES,SAN ANTONIO,ALBANIA,CHILE,0,"GIOIA TAURO,RODMAN",0,48,9315,Bulk carrier,1868,112,22
R2511,DURRES,TURBO,ALBANIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,50,6017,Tank,557,128,79
R2512,DURRES,MANAUS,ALBANIA,BRAZIL,0,"GIOIA TAURO,SINES,CRISTOBAL",0,63,7942,Tank,2371,118,19
R2513,DURRES,VILA DO CONDE,ALBANIA,BRAZIL,0,"GIOIA TAURO,SINES,CRISTOBAL",0,71,8178,Barge,1477,132,32
R2514,DURRES,BUENOS AIRES,ALBANIA,ARGENTINA,0,"GIOIA TAURO,SINES",0,48,6928,Dredgers,1638,122,28
R2515,DURRES,RIO GRANDE,ALBANIA,BRAZIL,0,"GIOIA TAURO,SINES",0,52,7224,Tugs,1772,127,26
R2516,DURRES,BRISBANE,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER,SYDNEY",0,64,15122,Corvette,1723,121,27
R2517,DURRES,BELL BAY,ALBANIA,AUSTRALIA,0,"GIOIA TAURO,FOS-SUR-MER,SYDNEY",0,65,15124,Reefer Vessel,2513,127,18
R2518,POZZALLO,CARTAGENA,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,51,5874,Frigate,2118,110,19
R2519,BARI,TURBO,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,50,6052,Offshore Ships,900,124,51
R2520,POZZALLO,TURBO,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,53,5843,Panamax Ship,848,119,54
R2521,BARI,COLOMBO,ITALY,SRI LANKA,0,GIOIA TAURO,0,56,14152,Bulk carrier,2146,111,19
R2522,POZZALLO,COLOMBO,ITALY,SRI LANKA,0,GIOIA TAURO,0,59,13943,Tank,2640,121,17
R2523,BARI,KAKINADA,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,65,15033,Naval ship,2853,143,18
R2524,POZZALLO,KAKINADA,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,68,14824,Livestock carrier,1345,130,37
R2525,BARI,MUNDRA,ITALY,INDIA,0,GIOIA TAURO,0,49,11762,Barge,1382,125,34
R2526,BARI,HALDIA,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,61,15316,Dredgers,1371,131,35
R2527,BARI,TUTICORIN,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,63,14292,Tugs,1086,134,47
R2528,BARI,NHAVA SHEVA,ITALY,INDIA,0,GIOIA TAURO,0,51,13255,Corvette,2498,121,18
R2529,BARI,CHATTOGRAM,ITALY,BANGLADESH,0,"GIOIA TAURO,COLOMBO",0,67,15458,Reefer Vessel,1381,120,30
R2530,BARI,VISAKHAPATNAM,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,64,15029,Frigate,752,133,64
R2531,POZZALLO,CHATTOGRAM,ITALY,BANGLADESH,0,"GIOIA TAURO,COLOMBO",0,70,15249,Offshore Ships,917,107,44
R2532,POZZALLO,MUNDRA,ITALY,INDIA,0,GIOIA TAURO,0,52,11553,Panamax Ship,2433,133,20
R2533,POZZALLO,NHAVA SHEVA,ITALY,INDIA,0,GIOIA TAURO,0,54,13046,Bulk carrier,2003,126,23
R2534,POZZALLO,HALDIA,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,64,15107,Tank,2716,121,16
R2535,POZZALLO,TUTICORIN,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,66,14083,Tank,679,123,66
R2536,POZZALLO,VISAKHAPATNAM,ITALY,INDIA,0,"GIOIA TAURO,COLOMBO",0,67,14820,Barge,2078,128,23
R2537,BARI,NOUMEA,ITALY,NEW CALEDONIA,0,"GIOIA TAURO,FOS-SUR-MER,SYDNEY",0,60,15725,Dredgers,1697,135,29
R2538,DURRES,COLOMBO,ALBANIA,SRI LANKA,0,GIOIA TAURO,0,56,14117,Tugs,3033,129,15
R2539,DURRES,KAKINADA,ALBANIA,INDIA,0,"GIOIA TAURO,COLOMBO",0,65,14998,Corvette,1261,122,34
R2540,DURRES,MUNDRA,ALBANIA,INDIA,0,GIOIA TAURO,0,49,11727,Reefer Vessel,3022,122,14
R2541,DURRES,HALDIA,ALBANIA,INDIA,0,"GIOIA TAURO,COLOMBO",0,61,15281,Frigate,1236,137,40
R2542,DURRES,TUTICORIN,ALBANIA,INDIA,0,"GIOIA TAURO,COLOMBO",0,63,14257,Offshore Ships,1036,139,51
R2543,DURRES,NHAVA SHEVA,ALBANIA,INDIA,0,GIOIA TAURO,0,51,13220,Panamax Ship,1901,121,22
R2544,DURRES,CHATTOGRAM,ALBANIA,BANGLADESH,0,"GIOIA TAURO,COLOMBO",0,67,15423,Bulk carrier,1760,136,28
R2545,DURRES,VISAKHAPATNAM,ALBANIA,INDIA,0,"GIOIA TAURO,COLOMBO",0,64,14994,Tank,505,110,81
R2546,DURRES,NOUMEA,ALBANIA,NEW CALEDONIA,0,"GIOIA TAURO,LA SPEZIA,SYDNEY",0,60,15769,Barge,3468,128,14
R2547,BARI,PAITA,ITALY,PERU,0,"GIOIA TAURO,RODMAN",0,48,7563,Dredgers,1594,127,27
R2548,DURRES,PAITA,ALBANIA,PERU,0,"GIOIA TAURO,RODMAN",0,48,7528,Tugs,860,153,65
R2549,POZZALLO,PAITA,ITALY,PERU,0,"GIOIA TAURO,RODMAN",0,51,7354,Corvette,3205,144,16
R2550,BARI,SALAVERRY,ITALY,PERU,0,"GIOIA TAURO,RODMAN",0,50,7821,Reefer Vessel,2211,147,23
R2551,DURRES,SALAVERRY,ALBANIA,PERU,0,"GIOIA TAURO,RODMAN",0,50,7786,Frigate,807,118,57
R2552,POZZALLO,SALAVERRY,ITALY,PERU,0,"GIOIA TAURO,RODMAN",0,53,7612,Offshore Ships,1020,121,45
R2553,HAIFA,GUAYAQUIL,ISRAEL,ECUADOR,0,"VALENCIA,SINES,RODMAN",0,43,7800,Panamax Ship,1771,148,31
R2554,ALGECIRAS,GUAYAQUIL,SPAIN,ECUADOR,0,"SINES,RODMAN",0,29,5653,Bulk carrier,1871,148,30
R2555,HAIFA,PUERTO BOLIVAR,ISRAEL,ECUADOR,0,"VALENCIA,SINES,RODMAN",0,46,7852,Tank,1626,122,28
R2556,NAPLES,PUERTO BOLIVAR,ITALY,ECUADOR,0,"SINES,RODMAN",0,40,6703,Tank,2194,120,21
R2557,TEKIRDAG (ASYAPORT),GUAYAQUIL,TURKIYE,ECUADOR,0,"ANTWERP,RODMAN",0,40,9412,Barge,3413,130,14
R2558,GEMLIK,GUAYAQUIL,TURKIYE,ECUADOR,0,"ANTWERP,RODMAN",0,41,9492,Dredgers,2018,132,25
R2559,TRABZON,GUAYAQUIL,TURKIYE,ECUADOR,0,"TEKIRDAG (ASYAPORT),ANTWERP",0,67,11337,Tugs,1922,146,29
R2560,ANTALYA,GUAYAQUIL,TURKIYE,ECUADOR,0,"TEKIRDAG (ASYAPORT),ANTWERP",0,65,11253,Corvette,2984,124,15
R2561,ISTANBUL,GUAYAQUIL,TURKIYE,ECUADOR,0,"SINES,RODMAN",0,39,7616,Reefer Vessel,2910,125,16
R2562,NAPLES,GUAYAQUIL,ITALY,ECUADOR,0,"SINES,RODMAN",0,33,6651,Frigate,2742,124,16
R2563,MUNDRA,PUERTO BOLIVAR,INDIA,ECUADOR,0,"CRISTOBAL,RODMAN",0,39,12056,Offshore Ships,3077,116,14
R2564,NHAVA SHEVA,PUERTO BOLIVAR,INDIA,ECUADOR,0,"CRISTOBAL,RODMAN",0,41,12459,Panamax Ship,811,129,58
R2565,HAZIRA PORT/SURAT,GUAYAQUIL,INDIA,ECUADOR,0,"MUNDRA,CRISTOBAL",0,43,12380,Bulk carrier,3153,136,15
R2566,HAZIRA PORT/SURAT,PUERTO BOLIVAR,INDIA,ECUADOR,0,"MUNDRA,CRISTOBAL",0,46,12428,Tank,2331,109,16
R2567,ALGER,GUAYAQUIL,ALGERIA,ECUADOR,0,"SINES,RODMAN",0,36,6062,Roll-on/roll-off,2133,125,21
R2568,ALGER,PAITA,ALGERIA,PERU,0,"SINES,RODMAN",0,42,6184,Naval ship,1890,134,26
R2569,ALGER,PUERTO BOLIVAR,ALGERIA,ECUADOR,0,"SINES,RODMAN",0,39,6114,Livestock carrier,651,139,83
R2570,ODESA,GUAYAQUIL,UKRAINE,ECUADOR,0,"TEKIRDAG (ASYAPORT),ANTWERP,RODMAN",0,49,9828,Offshore Ships,1129,117,36
R2571,COCHIN,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,67,13632,Heavy Lift Ships,2160,111,19
R2572,NEW MANGALORE,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,69,13830,Panamax Ship,1240,107,32
R2573,HALDIA,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,70,14499,Tanker,1434,125,33
R2574,ENNORE,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,68,13936,Canoe,1218,126,37
R2575,KOLKATA,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,71,14472,Hovercraft,1761,132,28
R2576,KAKINADA,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,68,14152,Submarine,2555,127,18
R2577,TUTICORIN,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,62,13469,Yacht,2760,130,17
R2578,VISAKHAPATNAM,GUAYAQUIL,INDIA,ECUADOR,0,"COLOMBO,FREEPORT, GRAND BAHAMA",0,68,14204,Sailboat,1080,116,39
R2579,COLOMBO,GUAYAQUIL,SRI LANKA,ECUADOR,0,"FREEPORT, GRAND BAHAMA",0,60,13330,Gas carrier,1546,133,32
R2580,KARACHI-MUHAMMAD BIN QASIM,GUAYAQUIL,PAKISTAN,ECUADOR,0,"MUNDRA,CRISTOBAL",0,42,12249,High-speed craft,1665,125,27
R2581,KARACHI-MUHAMMAD BIN QASIM,PUERTO BOLIVAR,PAKISTAN,ECUADOR,0,"MUNDRA,CRISTOBAL",0,45,12297,Livestock carrier,2026,148,27
R2582,HAIFA,PUERTO BOLIVAR,ISRAEL,ECUADOR,0,"VALENCIA,RODMAN",0,32,7469,Project cargo ship,823,125,57
R2583,ASHDOD,GUAYAQUIL,ISRAEL,ECUADOR,0,"VALENCIA,RODMAN",0,32,7417,Barge,1461,137,35
R2584,GIOIA TAURO,PUERTO BOLIVAR,ITALY,ECUADOR,0,RODMAN,0,37,7141,Dredgers,2812,122,16
R2585,FOS-SUR-MER,PUERTO BOLIVAR,FRANCE,ECUADOR,0,RODMAN,0,31,6492,Tugs,1576,125,30
R2586,LA SPEZIA,PUERTO BOLIVAR,ITALY,ECUADOR,0,RODMAN,0,28,6248,Corvette,3119,141,16
R2587,CIVITAVECCHIA,PUERTO BOLIVAR,ITALY,ECUADOR,0,RODMAN,0,34,6847,Reefer Vessel,2393,150,22
R2588,MARSAXLOKK,GUAYAQUIL,MALTA,ECUADOR,0,RODMAN,0,37,7267,Frigate,2277,123,20
R2589,FOS-SUR-MER,GUAYAQUIL,FRANCE,ECUADOR,0,RODMAN,0,28,6440,Offshore Ships,2497,156,23
R2590,ALGECIRAS,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"SINES,RODMAN",0,25,5705,Panamax Ship,1098,130,42
R2591,VALENCIA,GUAYAQUIL,SPAIN,ECUADOR,0,RODMAN,0,21,5657,Bulk carrier,2274,123,20
R2592,ALICANTE,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,26,5766,Tank,3317,108,12
R2593,ALICANTE,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,29,5818,Barge,2912,142,18
R2594,MALAGA,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,28,6020,Dredgers,2336,118,17
R2595,MALAGA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,31,6072,Tugs,1582,131,30
R2596,CARTAGENA,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,31,5811,Corvette,800,107,51
R2597,CARTAGENA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,34,5863,Reefer Vessel,2260,124,21
R2598,LA SPEZIA,GUAYAQUIL,ITALY,ECUADOR,0,RODMAN,0,25,6196,Frigate,1324,124,35
R2599,BARCELONA,GUAYAQUIL,SPAIN,ECUADOR,0,RODMAN,0,23,5819,Offshore Ships,1933,108,20
R2600,CIVITAVECCHIA,GUAYAQUIL,ITALY,ECUADOR,0,RODMAN,0,31,6795,Panamax Ship,872,130,51
R2601,ARRECIFE DE LANZAROTE,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,32,6725,Bulk carrier,2227,125,21
R2602,ARRECIFE DE LANZAROTE,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,35,6777,Tank,3115,139,16
R2603,LAS PALMAS,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,33,6757,Tank,2394,129,19
R2604,LAS PALMAS,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,36,6809,Barge,2669,112,14
R2605,PUERTO DEL ROSARIO-FUERTEVENTURA,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,32,6756,Dredgers,3266,132,14
R2606,PUERTO DEL ROSARIO-FUERTEVENTURA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,35,6808,Tugs,2659,126,19
R2607,SANTA CRUZ DE TENERIFE,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,33,6781,Corvette,1419,136,36
R2608,SANTA CRUZ DE TENERIFE,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,RODMAN",0,36,6833,Reefer Vessel,2958,110,14
R2609,SKIKDA,PAITA,ALGERIA,PERU,0,"VALENCIA,RODMAN",0,35,6160,Frigate,2039,114,19
R2610,BEJAIA,GUAYAQUIL,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,23,5961,Offshore Ships,3260,148,17
R2611,ANNABA,GUAYAQUIL,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,25,6076,Panamax Ship,3239,102,11
R2612,GIOIA TAURO,GUAYAQUIL,ITALY,ECUADOR,0,RODMAN,0,34,7089,Bulk carrier,3393,117,13
R2613,DAMIETTA,GUAYAQUIL,EGYPT,ECUADOR,0,"VALENCIA,RODMAN",0,27,7294,Tank,3216,125,15
R2614,BARCELONA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,RODMAN,0,26,5871,Barge,1636,158,37
R2615,VALENCIA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,RODMAN,0,24,5709,Dredgers,1948,127,25
R2616,BEJAIA,PUERTO BOLIVAR,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,26,6013,Tugs,502,109,74
R2617,DAMIETTA,PUERTO BOLIVAR,EGYPT,ECUADOR,0,"VALENCIA,RODMAN",0,30,7346,Corvette,3263,131,14
R2618,ANNABA,PUERTO BOLIVAR,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,28,6128,Reefer Vessel,1770,118,25
R2619,ORAN,PAITA,ALGERIA,PERU,0,"VALENCIA,RODMAN",0,35,6020,Frigate,3454,122,13
R2620,ORAN,PUERTO BOLIVAR,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,32,5950,Offshore Ships,1139,110,35
R2621,SKIKDA,GUAYAQUIL,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,29,6038,Panamax Ship,3156,116,13
R2622,SKIKDA,PUERTO BOLIVAR,ALGERIA,ECUADOR,0,"VALENCIA,RODMAN",0,32,6090,Bulk carrier,3224,128,14
R2623,ENNORE,PUERTO BOLIVAR,INDIA,ECUADOR,0,"VALENCIA,RODMAN",0,68,19659,Tank,1034,120,43
R2624,PIRAEUS,GUAYAQUIL,GREECE,ECUADOR,0,"SINES,RODMAN",0,27,7144,Tank,2827,118,15
R2625,PIRAEUS,PUERTO BOLIVAR,GREECE,ECUADOR,0,"SINES,RODMAN",0,30,7196,Barge,2165,122,22
R2626,TUNIS,GUAYAQUIL,TUNISIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,40,7372,Dredgers,833,128,56
R2627,TUNIS,PUERTO BOLIVAR,TUNISIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,43,7424,Tugs,655,129,69
R2628,ALMERIA,GUAYAQUIL,SPAIN,ECUADOR,0,"VALENCIA,SINES,RODMAN",0,43,6285,Corvette,698,126,64
R2629,ALMERIA,PUERTO BOLIVAR,SPAIN,ECUADOR,0,"VALENCIA,SINES,RODMAN",0,46,6337,Reefer Vessel,2363,107,16
R2630,ISTANBUL,PUERTO BOLIVAR,TURKIYE,ECUADOR,0,"SINES,RODMAN",0,35,7668,Frigate,2654,141,20
R2631,VARNA,GUAYAQUIL,BULGARIA,ECUADOR,0,"TEKIRDAG (ASYAPORT),SINES,RODMAN",0,38,7669,Offshore Ships,1444,133,33
R2632,VARNA,PUERTO BOLIVAR,BULGARIA,ECUADOR,0,"TEKIRDAG (ASYAPORT),SINES,RODMAN",0,41,7721,Panamax Ship,2145,132,21
R2633,POTI,GUAYAQUIL,GEORGIA,ECUADOR,0,"TEKIRDAG (ASYAPORT),SINES,RODMAN",0,35,8107,Bulk carrier,2208,123,22
R2634,POTI,PUERTO BOLIVAR,GEORGIA,ECUADOR,0,"TEKIRDAG (ASYAPORT),SINES,RODMAN",0,38,8159,Tank,1788,130,25
R2635,GEMLIK,GUAYAQUIL,TURKIYE,ECUADOR,0,"SINES,RODMAN",0,31,7571,Naval ship,1860,141,27
R2636,ISTANBUL,GUAYAQUIL,TURKIYE,ECUADOR,0,"SINES,RODMAN",0,32,7616,Livestock carrier,841,144,61
R2637,GEMLIK,PUERTO BOLIVAR,TURKIYE,ECUADOR,0,"SINES,RODMAN",0,34,7623,Barge,1431,142,35
R2638,PALERMO,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,49,7250,Dredgers,1825,125,26
R2639,CAGLIARI,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,46,7453,Tugs,654,131,73
R2640,PALERMO,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,46,7198,Corvette,1979,140,25
R2641,CAGLIARI,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,43,7401,Reefer Vessel,1070,156,54
R2642,TRAPANI,PAITA,ITALY,PERU,0,"GIOIA TAURO,RODMAN",0,51,7379,Frigate,2980,136,17
R2643,TRAPANI,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7257,Offshore Ships,902,117,48
R2644,TRAPANI,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,48,7309,Panamax Ship,3452,126,13
R2645,SALERNO,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,42,7225,Bulk carrier,3179,135,17
R2646,SALERNO,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7277,Tank,810,145,64
R2647,PLOCE,GUAYAQUIL,CROATIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,42,7573,Tank,3240,120,13
R2648,PLOCE,PUERTO BOLIVAR,CROATIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7625,Barge,1552,113,26
R2649,RIJEKA,GUAYAQUIL,CROATIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,44,7719,Dredgers,1246,103,29
R2650,RIJEKA,PUERTO BOLIVAR,CROATIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,47,7771,Tugs,840,129,58
R2651,KOPER,PAITA,SLOVENIA,PERU,0,"GIOIA TAURO,RODMAN",0,52,7903,Corvette,1600,144,34
R2652,KOPER,GUAYAQUIL,SLOVENIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,46,7781,Reefer Vessel,2099,120,21
R2653,KOPER,PUERTO BOLIVAR,SLOVENIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,49,7833,Frigate,2337,135,21
R2654,BARI,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,42,7441,Offshore Ships,2918,145,18
R2655,BARI,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7493,Panamax Ship,1966,137,25
R2656,POZZALLO,PUERTO BOLIVAR,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,48,7284,Bulk carrier,3287,123,14
R2657,POZZALLO,GUAYAQUIL,ITALY,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7232,Tank,2022,144,26
R2658,MARSAXLOKK,PUERTO BOLIVAR,MALTA,ECUADOR,0,RODMAN,0,40,7319,Barge,2741,94,13
R2659,BATUMI,PUERTO BOLIVAR,GEORGIA,ECUADOR,0,"SINES,RODMAN",0,42,8621,Dredgers,1428,124,32
R2660,BATUMI,GUAYAQUIL,GEORGIA,ECUADOR,0,"SINES,RODMAN",0,39,8569,Tugs,2245,140,23
R2661,AGADIR,GUAYAQUIL,MOROCCO,ECUADOR,0,"LAS PALMAS,ANTWERP",0,49,8907,Corvette,3193,135,15
R2662,DURRES,GUAYAQUIL,ALBANIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,42,7406,Reefer Vessel,674,119,66
R2663,DURRES,PUERTO BOLIVAR,ALBANIA,ECUADOR,0,"GIOIA TAURO,RODMAN",0,45,7458,Frigate,1532,111,27
R2664,ALEXANDRIA EL DEKHEILA,GUAYAQUIL,EGYPT,ECUADOR,0,"GIOIA TAURO,RODMAN",0,41,7930,Offshore Ships,1709,129,29
R2665,ALEXANDRIA EL DEKHEILA,PUERTO BOLIVAR,EGYPT,ECUADOR,0,"GIOIA TAURO,RODMAN",0,44,7982,Panamax Ship,1172,135,40
R2666,PORT SAID WEST,GUAYAQUIL,EGYPT,ECUADOR,0,"GIOIA TAURO,RODMAN",0,47,8045,Bulk carrier,1987,133,24
R2667,PORT SAID WEST,PUERTO BOLIVAR,EGYPT,ECUADOR,0,"GIOIA TAURO,RODMAN",0,50,8097,Tank,1702,121,27
R2668,COLOMBO,PAITA,SRI LANKA,PERU,0,"FREEPORT, GRAND BAHAMA,RODMAN",0,66,13437,Tank,861,133,57
R2669,TUTICORIN,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,68,13576,Barge,1004,129,44
R2670,HALDIA,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,76,14606,Dredgers,3257,124,14
R2671,KOLKATA,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,77,14579,Tugs,941,120,48
R2672,COCHIN,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,73,13739,Corvette,980,124,45
R2673,NEW MANGALORE,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,75,13937,Reefer Vessel,2763,131,17
R2674,VISAKHAPATNAM,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,74,14311,Frigate,1700,110,24
R2675,ENNORE,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,74,14043,Offshore Ships,2396,119,18
R2676,KAKINADA,PAITA,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,74,14259,Panamax Ship,3018,141,17
R2677,TUTICORIN,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,70,13834,Bulk carrier,1520,136,31
R2678,COLOMBO,SALAVERRY,SRI LANKA,PERU,0,"FREEPORT, GRAND BAHAMA,RODMAN",0,68,13695,Offshore Ships,2886,121,15
R2679,CHATTOGRAM,SALAVERRY,BANGLADESH,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,79,14996,Heavy Lift Ships,3056,116,13
R2680,VISAKHAPATNAM,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,76,14569,Panamax Ship,2100,123,20
R2681,NEW MANGALORE,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,77,14195,Tanker,3360,93,10
R2682,KOLKATA,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,79,14837,Canoe,1079,125,47
R2683,COCHIN,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,75,13997,Hovercraft,2105,137,24
R2684,HALDIA,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,78,14864,Submarine,3417,125,13
R2685,ENNORE,SALAVERRY,INDIA,PERU,0,"COLOMBO,FREEPORT, GRAND BAHAMA,RODMAN",0,76,14301,Yacht,2620,132,19
