RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
266,PortB,PortX,1,3,6,91,2,22,1351,14,regular,congested areas,682,342517,931846,compliant,no,not in place,hazardous,container,13,249340,26171.425,28.788496689413606,Low
267,PortB,PortX,1,2,4,25,2,13,1235,14,irregular,congested areas,641,271524,1059075,compliant,yes,in place,hazardous,bulk carrier,11,291363,20807.02,19.866453888795572,Low
268,PortB,PortY,0,3,6,94,1,17,1377,14,irregular,congested areas,872,327821,889444,compliant,no,not in place,non-hazardous,container,-3,217907,25111.975000000002,27.026426479368922,Low
269,PortB,PortZ,1,1,2,14,0,19,1492,14,regular,clear,790,359473,1074372,compliant,no,in place,hazardous,bulk carrier,13,137631,27497.41,30.99386614287164,Medium
270,PortA,PortZ,0,3,3,38,0,19,1414,14,regular,clear,772,485928,591338,compliant,yes,in place,hazardous,container,14,378965,36958.465,46.72943004026592,Medium
271,PortC,PortX,0,4,4,56,1,22,1361,15,irregular,congested areas,606,344493,797029,non-compliant,no,in place,hazardous,container,6,354587,26306.869999999995,29.013767914671526,Low
272,PortA,PortY,0,3,0,31,0,20,1218,16,regular,congested areas,754,457198,1096888,non-compliant,yes,in place,hazardous,bulk carrier,1,427902,34751.799999999996,43.05931945453911,Medium
273,PortB,PortY,0,0,6,87,1,14,1483,13,regular,clear,609,476248,912551,non-compliant,yes,not in place,hazardous,bulk carrier,8,238957,36215.549999999996,45.49381874186075,Medium
274,PortB,PortY,1,3,0,66,0,21,1199,12,irregular,clear,633,486044,981131,compliant,yes,not in place,non-hazardous,bulk carrier,10,425992,36887.02,46.610603190337514,Medium
275,PortC,PortY,1,4,1,92,0,22,1652,12,irregular,clear,635,397926,747982,compliant,yes,in place,hazardous,bulk carrier,11,502930,30392.304999999997,35.80863629786462,Medium
276,PortA,PortY,1,0,5,44,2,22,1516,14,regular,clear,605,211747,1227180,compliant,yes,in place,hazardous,container,2,376221,16388.025,12.51681072693193,Low
277,PortC,PortY,0,2,6,97,2,24,1208,14,irregular,clear,814,401316,1128579,non-compliant,yes,not in place,hazardous,container,13,289006,30571.924999999996,36.107379090000386,Medium
278,PortC,PortZ,1,0,2,69,0,23,1438,13,irregular,congested areas,733,452097,919897,compliant,yes,not in place,non-hazardous,bulk carrier,17,364508,34420.755000000005,42.508727607180354,Medium
279,PortA,PortX,1,1,0,79,0,21,1349,12,irregular,congested areas,884,357725,889295,non-compliant,no,in place,non-hazardous,bulk carrier,16,284221,27350.725,30.74990062419647,Medium
280,PortC,PortX,1,0,4,69,2,19,1563,14,irregular,congested areas,725,502945,1104440,non-compliant,yes,not in place,hazardous,container,18,267571,38263.765,48.90039633897877,Medium
281,PortA,PortY,1,2,6,67,2,13,1768,15,irregular,congested areas,936,439702,1247370,non-compliant,no,not in place,non-hazardous,bulk carrier,5,418326,33613.15,41.16552433002414,Medium
282,PortA,PortZ,0,3,6,12,2,21,1124,16,regular,clear,773,412266,1093064,compliant,no,not in place,non-hazardous,container,16,336094,31363.024999999998,37.42313136067512,Medium
283,PortB,PortZ,0,0,5,43,1,20,1523,13,regular,clear,751,460435,1275770,non-compliant,no,not in place,hazardous,bulk carrier,7,470509,35069.745,43.58812346882262,Medium
284,PortC,PortY,1,0,5,54,0,21,1467,14,irregular,congested areas,930,391957,811647,non-compliant,yes,in place,non-hazardous,bulk carrier,15,305757,29956.524999999998,35.08384989347246,Medium
285,PortB,PortX,0,0,4,59,2,14,1634,13,irregular,congested areas,625,166369,827091,non-compliant,yes,not in place,hazardous,container,8,315882,13016.49,6.9092960866723345,Low
286,PortC,PortY,1,0,5,11,0,15,1542,14,irregular,clear,982,324736,771658,compliant,no,in place,hazardous,container,13,293348,24942.100000000002,26.743891506570453,Low
287,PortC,PortZ,1,2,0,24,1,24,1349,13,regular,congested areas,714,457672,1016264,non-compliant,yes,in place,hazardous,bulk carrier,19,237981,34813.65,43.16218796413491,Medium
288,PortB,PortY,1,4,4,46,1,19,1436,16,regular,congested areas,981,306964,976340,compliant,no,in place,non-hazardous,container,16,431442,23584.995,24.486763475608438,Low
289,PortB,PortX,0,4,4,24,2,22,1340,11,regular,clear,883,360550,927207,compliant,no,not in place,hazardous,bulk carrier,7,568571,27560.84,31.099362497983382,Medium
290,PortB,PortX,1,0,1,69,1,20,1715,14,regular,clear,986,282001,1071388,non-compliant,no,not in place,hazardous,container,6,311777,21782.525,21.488907331855316,Low
291,PortA,PortZ,0,2,2,94,0,20,1504,15,irregular,clear,674,506811,1134849,non-compliant,yes,in place,non-hazardous,bulk carrier,15,281950,38528.10999999999,49.3400531889238,Medium
292,PortC,PortY,0,2,6,73,2,23,1880,15,irregular,congested areas,765,498292,721150,compliant,no,not in place,hazardous,bulk carrier,18,275467,38003.299999999996,48.46719267928809,Medium
293,PortA,PortY,1,0,1,90,0,17,1487,20,regular,clear,788,293391,860454,non-compliant,yes,in place,non-hazardous,bulk carrier,14,282026,22538.780000000002,22.746705629743225,Low
294,PortC,PortZ,0,1,2,61,0,20,1358,15,regular,clear,677,387532,1073021,compliant,no,in place,non-hazardous,container,9,514978,29545.559999999998,34.40033563242096,Medium
295,PortC,PortY,0,0,4,32,1,18,1197,12,irregular,congested areas,689,309468,879839,compliant,yes,not in place,hazardous,container,12,278151,23653.065,24.59997704793157,Low
296,PortA,PortZ,1,1,6,46,1,18,1139,14,irregular,clear,775,413769,830269,compliant,no,not in place,non-hazardous,container,14,291473,31479.0,37.61602021112578,Medium
297,PortA,PortY,0,0,5,50,1,18,1183,11,irregular,congested areas,620,402072,1102780,non-compliant,yes,not in place,hazardous,container,11,225964,30581.295,36.122963211825976,Medium
298,PortC,PortX,0,1,2,66,1,20,1553,14,irregular,congested areas,653,433904,756574,compliant,no,in place,non-hazardous,bulk carrier,7,379364,33068.385,40.25947479679936,Medium
299,PortB,PortZ,1,1,4,34,1,18,1601,13,irregular,congested areas,783,393717,904763,compliant,yes,in place,non-hazardous,container,17,343277,30092.17,35.30945375740329,Medium
300,PortB,PortY,1,0,4,46,2,25,1183,16,regular,congested areas,958,596646,999296,non-compliant,yes,not in place,non-hazardous,container,21,236282,45244.215,60.5102344603686,High
301,PortB,PortY,0,1,1,49,0,16,1679,13,irregular,clear,821,280801,863927,non-compliant,yes,in place,non-hazardous,container,19,260717,21649.08,21.266962493326442,Low
302,PortB,PortY,1,3,1,94,0,19,1403,14,regular,congested areas,914,238316,1067473,compliant,no,in place,hazardous,bulk carrier,1,503293,18414.055000000004,15.886490379257992,Low
303,PortC,PortZ,1,4,5,55,0,18,1529,13,regular,clear,927,336216,864668,compliant,no,in place,hazardous,container,17,353270,25790.500000000004,28.154944757032403,Low
304,PortB,PortX,0,2,3,69,0,25,1822,18,irregular,clear,778,242569,1161292,compliant,no,not in place,non-hazardous,container,14,360168,18811.735,16.547909116461792,Low
305,PortB,PortY,0,1,0,28,1,20,1679,14,regular,clear,875,248631,931138,non-compliant,yes,not in place,hazardous,bulk carrier,8,360565,19248.245,17.273909652010055,Low
306,PortB,PortZ,1,1,3,18,0,24,1446,18,regular,clear,711,294367,1050690,compliant,yes,not in place,hazardous,bulk carrier,2,489462,22588.534999999996,22.829457815595095,Low
307,PortC,PortY,0,2,3,78,2,14,1321,16,irregular,clear,823,288498,1061903,compliant,no,in place,hazardous,bulk carrier,11,245478,22137.615,22.079490663664053,Low
308,PortA,PortX,1,1,6,14,2,21,1069,15,regular,congested areas,813,289148,855868,non-compliant,no,not in place,hazardous,bulk carrier,13,310360,22123.775,22.056472067499044,Low
309,PortB,PortX,1,2,6,98,0,23,1356,15,irregular,clear,658,408112,641977,non-compliant,yes,in place,hazardous,bulk carrier,6,333103,31086.879999999997,36.96384882902871,Medium
310,PortC,PortX,0,0,5,35,0,20,1457,15,irregular,congested areas,926,318398,1004113,compliant,no,in place,hazardous,bulk carrier,18,177882,24435.525,25.90135932793683,Low
311,PortC,PortZ,0,3,6,28,2,24,1302,11,regular,congested areas,992,348558,960843,non-compliant,yes,in place,hazardous,bulk carrier,18,258385,26674.28,29.624841788731207,Low
312,PortB,PortY,1,3,2,39,2,17,1473,14,irregular,congested areas,708,444271,1033373,compliant,yes,not in place,non-hazardous,container,14,454667,33837.405,41.53850375798541,Medium
313,PortA,PortZ,1,4,5,57,1,25,1515,16,irregular,clear,984,309995,916020,compliant,yes,in place,hazardous,bulk carrier,5,426021,23834.275,24.901364317516926,Low
314,PortA,PortY,1,1,5,25,2,29,1455,14,regular,clear,756,351021,885435,non-compliant,no,not in place,non-hazardous,bulk carrier,10,443706,26851.22,29.919127222650044,Low
315,PortA,PortZ,1,4,4,80,1,18,1369,12,irregular,clear,790,393815,1251270,compliant,yes,in place,non-hazardous,bulk carrier,15,291090,30043.52,35.22853940021921,Medium
316,PortC,PortY,0,0,4,27,1,18,1533,14,regular,clear,799,209846,729146,compliant,no,not in place,non-hazardous,bulk carrier,15,303430,16286.89,12.348603666010815,Low
317,PortB,PortZ,1,3,4,65,1,25,1588,18,regular,congested areas,911,167767,1060092,non-compliant,yes,not in place,hazardous,bulk carrier,8,171193,13170.74,7.165843663150123,Low
318,PortB,PortY,0,0,0,30,1,26,1281,17,irregular,clear,795,399849,863809,compliant,no,not in place,hazardous,container,9,443193,30475.77,35.9474547320346,Medium
319,PortC,PortZ,0,0,2,40,1,17,1782,14,regular,clear,634,412344,899633,non-compliant,no,not in place,non-hazardous,container,8,459665,31503.355,37.65652728551874,Medium
320,PortB,PortX,1,1,2,10,0,18,1480,16,irregular,congested areas,978,538057,902434,compliant,yes,not in place,non-hazardous,container,10,458392,40926.18000000001,53.32850730058729,Medium
321,PortB,PortZ,0,0,4,12,2,18,1503,14,regular,congested areas,986,388168,829484,non-compliant,yes,not in place,hazardous,container,9,510409,29691.589999999997,34.643211759442366,Medium
322,PortA,PortX,0,3,3,34,1,14,1641,11,irregular,congested areas,845,435189,1035683,non-compliant,yes,not in place,hazardous,container,8,392210,33224.31,40.51880822216272,Medium
323,PortB,PortX,1,4,0,17,2,16,1546,13,irregular,congested areas,836,359646,1158596,non-compliant,yes,not in place,hazardous,container,11,505688,27534.545000000002,31.055628828463227,Medium
324,PortB,PortY,0,3,3,74,2,15,1690,18,regular,congested areas,703,390275,1020502,non-compliant,no,in place,non-hazardous,container,12,329952,29839.84,34.889780175733016,Medium
325,PortC,PortX,0,1,1,71,1,16,1557,14,regular,congested areas,606,492045,965507,non-compliant,no,in place,non-hazardous,bulk carrier,17,173298,37419.255,47.495812910704814,Medium
326,PortC,PortX,1,3,2,16,0,19,1377,14,irregular,congested areas,882,201884,802033,non-compliant,no,in place,hazardous,bulk carrier,3,436072,15669.359999999999,11.321531867616462,Low
327,PortA,PortY,1,2,2,16,1,20,1572,14,irregular,clear,600,391569,1027523,compliant,no,in place,hazardous,bulk carrier,18,169611,29887.86,34.969646721097455,Medium
328,PortC,PortZ,1,4,3,17,0,26,1271,18,regular,clear,818,539197,1273452,compliant,no,in place,non-hazardous,bulk carrier,8,367020,40929.915,53.33471932780378,Medium
329,PortA,PortZ,1,2,0,28,2,16,1521,18,irregular,congested areas,829,394839,892895,non-compliant,yes,not in place,hazardous,bulk carrier,21,445532,30165.77,35.43186478903224,Medium
330,PortA,PortX,1,2,2,26,0,23,1493,19,irregular,congested areas,771,501167,893602,compliant,yes,not in place,hazardous,bulk carrier,15,382425,38122.955,48.666202081320186,Medium
331,PortB,PortZ,1,1,3,20,0,19,1458,14,regular,clear,686,328554,865836,non-compliant,no,not in place,non-hazardous,container,14,577824,25149.535,27.088896022140432,Low
332,PortA,PortX,1,0,5,58,0,19,1474,15,regular,congested areas,640,355106,876587,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,153407,27135.645,30.392180995354703,Medium
333,PortB,PortZ,0,2,5,20,2,22,1123,11,irregular,congested areas,722,369767,538205,compliant,yes,not in place,non-hazardous,bulk carrier,22,341713,28165.619999999995,32.105228580980054,Medium
334,PortA,PortZ,0,3,6,50,2,15,1390,17,regular,congested areas,930,190179,1010755,non-compliant,yes,in place,non-hazardous,bulk carrier,11,351745,14802.98,9.880574400460373,Low
335,PortC,PortZ,1,0,0,71,0,21,1518,12,regular,congested areas,897,267325,823167,compliant,yes,in place,hazardous,container,19,215589,20614.55,19.54633906192568,Low
336,PortC,PortX,0,3,3,61,0,20,1531,15,irregular,congested areas,972,273981,708460,non-compliant,yes,not in place,non-hazardous,container,9,234626,21132.96,20.40855513402844,Low
337,PortC,PortY,0,3,6,75,1,21,1294,12,regular,clear,777,429039,1062978,non-compliant,yes,in place,hazardous,container,15,265487,32663.93,39.586787924550904,Medium
338,PortA,PortZ,1,0,5,77,0,21,1753,13,regular,congested areas,662,431774,787697,compliant,no,in place,hazardous,bulk carrier,21,240035,32960.275,40.0796669621607,Medium
339,PortA,PortZ,0,0,0,84,1,29,1326,13,irregular,congested areas,764,392882,899199,non-compliant,yes,not in place,hazardous,bulk carrier,7,339200,29959.469999999998,35.08874799793098,Medium
340,PortB,PortZ,1,3,6,76,0,17,1693,13,regular,congested areas,786,430413,1169966,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,289703,32868.0,39.92619579444927,Medium
341,PortB,PortX,0,1,4,49,1,17,1585,13,irregular,clear,982,355957,738617,non-compliant,no,in place,non-hazardous,container,8,381790,27295.295,30.65770981600092,Medium
342,PortB,PortY,1,4,0,14,2,17,1370,13,regular,clear,808,466901,720110,compliant,no,in place,hazardous,container,14,414943,35528.5,44.35112174076471,Medium
343,PortB,PortX,0,4,1,94,0,17,1855,16,regular,congested areas,826,371111,990395,compliant,no,not in place,hazardous,bulk carrier,21,408177,28468.5,32.60897658722701,Medium
344,PortA,PortZ,0,1,4,31,0,17,1261,12,irregular,congested areas,988,370078,1122423,compliant,yes,in place,non-hazardous,container,7,308987,28274.219999999998,32.285851380367326,Medium
345,PortA,PortX,0,0,6,46,0,24,1683,15,regular,congested areas,647,347674,713848,compliant,no,not in place,hazardous,bulk carrier,12,378447,26632.8,29.555852527970753,Low
346,PortB,PortZ,1,3,3,20,0,25,1700,17,regular,congested areas,823,427431,1011153,compliant,yes,in place,hazardous,container,7,453512,32655.289999999997,39.572417933881404,Medium
347,PortA,PortZ,0,4,4,53,1,17,1365,13,regular,clear,602,336031,1037149,non-compliant,no,in place,hazardous,container,11,394556,25670.37,27.955145338152157,Low
348,PortA,PortX,0,3,4,95,0,16,1778,13,regular,clear,971,454909,641125,compliant,yes,not in place,hazardous,container,15,535897,34762.165,43.0765584537624,Medium
349,PortA,PortZ,1,1,6,62,2,21,1449,14,regular,congested areas,774,281838,1069775,compliant,yes,in place,hazardous,bulk carrier,10,448217,21662.254999999997,21.288875065904033,Low
350,PortA,PortZ,1,3,3,86,2,17,1557,17,regular,congested areas,698,288178,1081490,non-compliant,no,not in place,hazardous,container,19,521840,22149.435,22.099149609232725,Low
351,PortB,PortY,0,1,3,70,0,22,1552,15,irregular,clear,715,410032,903232,non-compliant,yes,in place,hazardous,bulk carrier,14,100765,31290.164999999997,37.301951092135916,Medium
352,PortB,PortX,0,0,5,76,2,20,1473,13,regular,clear,869,360899,1137851,compliant,yes,in place,hazardous,bulk carrier,5,359667,27615.475,31.190231067454135,Medium
353,PortA,PortX,0,1,1,22,0,13,1662,15,regular,congested areas,967,329569,1120468,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,317606,25330.85,27.390457927029058,Low
354,PortC,PortZ,0,1,3,20,0,26,1658,12,irregular,congested areas,852,438079,965467,non-compliant,yes,in place,non-hazardous,container,19,337502,33448.98999999999,40.89249450730391,Medium
355,PortB,PortZ,1,4,2,20,2,27,1150,16,irregular,congested areas,916,314894,882283,non-compliant,no,not in place,hazardous,container,14,269504,24098.38,25.34062200105447,Low
356,PortB,PortX,0,3,2,94,0,17,1760,15,irregular,clear,694,353464,804075,compliant,no,not in place,hazardous,container,13,389619,27094.63,30.323965119508763,Medium
357,PortC,PortX,0,4,1,94,2,18,1167,14,regular,clear,872,470396,944365,non-compliant,no,in place,non-hazardous,bulk carrier,10,169164,35752.729999999996,44.72405958889187,Medium
358,PortB,PortX,1,2,0,16,1,21,1706,13,irregular,clear,979,492648,1035463,non-compliant,yes,not in place,non-hazardous,container,11,390343,37578.47,47.76061824223747,Medium
359,PortC,PortZ,0,1,6,26,0,21,1725,13,irregular,clear,623,489433,901373,compliant,no,not in place,non-hazardous,container,12,272828,37269.975,47.24753140524871,Medium
360,PortC,PortY,0,2,0,57,1,22,1281,16,regular,congested areas,715,342428,620374,non-compliant,no,not in place,hazardous,bulk carrier,0,299961,26152.82,28.75755297686665,Low
361,PortA,PortY,0,4,2,23,2,28,1417,17,irregular,clear,750,468148,1140307,non-compliant,yes,in place,non-hazardous,bulk carrier,14,393850,35625.23499999999,44.512010750881906,Medium
362,PortB,PortZ,1,3,3,72,1,19,1278,13,regular,clear,937,291977,978533,compliant,no,not in place,non-hazardous,bulk carrier,16,357877,22412.16,22.536112085927222,Low
363,PortC,PortZ,1,4,1,73,1,16,1457,15,regular,clear,649,300217,893056,compliant,no,not in place,hazardous,container,8,455392,23016.725,23.541620582350525,Low
364,PortA,PortZ,0,3,0,84,2,14,1438,10,regular,congested areas,805,174616,1078573,compliant,no,in place,non-hazardous,container,13,253049,13622.249999999998,7.91679209916624,Low
365,PortB,PortX,0,3,0,86,1,17,1655,13,regular,clear,934,500925,1178695,non-compliant,yes,not in place,hazardous,bulk carrier,13,341929,38175.87,48.754209958203965,Medium
366,PortA,PortZ,1,0,6,74,1,19,1762,14,regular,clear,678,302825,529713,compliant,no,not in place,non-hazardous,container,16,438877,23294.15,24.00303200150353,Low
367,PortA,PortX,0,1,4,43,2,27,1779,13,irregular,clear,669,359183,1015139,compliant,no,not in place,non-hazardous,bulk carrier,12,386119,27526.114999999998,31.041608108400293,Medium
368,PortC,PortY,0,4,2,18,1,17,1387,13,regular,congested areas,626,296802,736002,non-compliant,no,in place,non-hazardous,container,14,392559,22738.734999999997,23.079269458946566,Low
369,PortB,PortZ,1,3,3,86,2,20,1458,13,irregular,clear,870,428653,1024866,non-compliant,yes,in place,non-hazardous,bulk carrier,6,460804,32695.34,39.63902882813059,Medium
370,PortA,PortZ,1,4,1,46,1,19,1163,15,regular,congested areas,649,335418,969189,non-compliant,yes,in place,non-hazardous,container,6,309375,25584.355,27.812085760902647,Low
371,PortC,PortX,1,4,0,39,2,24,1338,14,irregular,congested areas,891,260030,1045358,non-compliant,no,in place,hazardous,bulk carrier,14,288316,20024.574999999997,18.565096556690776,Low
372,PortC,PortX,0,3,6,50,2,30,1692,10,regular,clear,846,405712,875112,non-compliant,no,in place,hazardous,bulk carrier,10,407590,31030.629999999997,36.87029420227425,Medium
373,PortA,PortX,0,2,4,54,1,17,1823,10,regular,congested areas,863,252054,669013,compliant,no,in place,non-hazardous,bulk carrier,4,335056,19538.295000000002,17.756318887390172,Low
374,PortA,PortY,0,1,2,56,1,18,1253,13,regular,clear,678,306118,882444,compliant,yes,not in place,hazardous,container,13,462220,23413.179999999997,24.201001907682787,Low
375,PortC,PortY,0,1,2,16,1,24,1381,15,irregular,congested areas,986,200797,1011027,compliant,yes,in place,non-hazardous,container,5,386977,15609.91,11.222655022095527,Low
376,PortA,PortZ,1,0,6,23,0,22,1494,9,irregular,congested areas,789,250466,1102308,non-compliant,no,in place,non-hazardous,container,25,287664,19323.704999999998,17.399414223297015,Low
377,PortA,PortZ,0,0,1,57,0,27,1556,14,irregular,clear,646,383474,774225,compliant,no,in place,non-hazardous,bulk carrier,1,383838,29286.48,33.96943549554015,Medium
378,PortB,PortX,0,0,0,15,0,22,1338,13,regular,clear,960,205823,1104059,non-compliant,yes,in place,non-hazardous,bulk carrier,12,259730,15969.224999999999,11.820265345869375,Low
379,PortC,PortY,1,1,1,43,2,18,1584,17,regular,congested areas,953,253742,852819,non-compliant,yes,not in place,non-hazardous,bulk carrier,6,444692,19623.949999999997,17.898779715028446,Low
380,PortA,PortZ,1,2,6,89,1,22,1405,14,irregular,congested areas,951,360324,1004367,compliant,no,not in place,hazardous,bulk carrier,16,210284,27574.025,31.121291702494634,Medium
381,PortC,PortX,0,1,6,55,2,24,1497,15,regular,congested areas,788,330121,873515,compliant,yes,in place,hazardous,bulk carrier,9,472206,25298.655000000002,27.336911416658218,Low
382,PortB,PortX,1,1,1,68,0,23,1609,15,irregular,congested areas,855,528467,977325,non-compliant,no,not in place,hazardous,bulk carrier,17,382087,40216.275,52.14779801514505,Medium
383,PortC,PortY,1,1,5,79,1,22,1501,10,regular,clear,821,513388,1083781,non-compliant,no,in place,hazardous,bulk carrier,15,333543,39050.899999999994,50.20955404796317,Medium
384,PortC,PortY,0,1,4,17,2,24,1412,16,irregular,congested areas,971,301882,765947,compliant,yes,not in place,non-hazardous,bulk carrier,6,426333,23196.514999999996,23.840646117358247,Low
385,PortC,PortZ,0,2,2,33,1,24,1478,15,irregular,congested areas,840,414627,848014,compliant,no,in place,hazardous,bulk carrier,8,401132,31642.66,37.88821843716373,Medium
386,PortB,PortZ,0,0,5,76,2,25,1482,16,regular,clear,868,434094,977744,non-compliant,no,in place,non-hazardous,container,10,483038,33108.875,40.326817496128925,Medium
387,PortB,PortX,0,4,3,13,1,22,1425,22,irregular,congested areas,600,326307,1310237,non-compliant,no,in place,non-hazardous,bulk carrier,11,482106,24957.689999999995,26.769820691123364,Low
388,PortC,PortX,1,0,2,10,0,19,1448,10,regular,clear,633,249618,820521,non-compliant,no,in place,hazardous,container,11,385229,19215.784999999996,17.219922395397607,Low
389,PortC,PortX,1,0,2,43,0,20,1819,18,regular,clear,678,362157,1256020,non-compliant,no,not in place,hazardous,bulk carrier,15,262822,27758.355,31.427868135377285,Medium
390,PortB,PortZ,0,4,4,18,1,24,1612,14,regular,clear,835,350964,1250663,compliant,no,in place,non-hazardous,container,13,295849,26900.420000000002,30.000956336184604,Medium
391,PortA,PortY,0,1,3,72,2,16,1440,15,irregular,congested areas,933,332280,935403,compliant,no,not in place,non-hazardous,bulk carrier,8,342835,25473.685,27.628020151250805,Low
392,PortB,PortZ,1,2,0,85,0,21,1639,14,irregular,clear,976,408293,905277,non-compliant,yes,not in place,non-hazardous,container,7,458172,31234.195,37.208862159523534,Medium
393,PortC,PortY,0,2,3,19,0,18,1433,14,irregular,clear,948,305159,846190,non-compliant,yes,not in place,hazardous,bulk carrier,7,304361,23440.86,24.247039100012813,Low
394,PortA,PortZ,0,0,0,19,0,20,1734,13,regular,clear,697,273475,939769,compliant,no,in place,non-hazardous,bulk carrier,13,312705,21088.925000000003,20.335316414221644,Low
395,PortA,PortZ,0,4,3,59,1,25,1573,15,regular,congested areas,681,385468,738992,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,534835,29448.385,34.23871481722336,Medium
396,PortA,PortY,0,3,1,53,1,20,1478,11,irregular,congested areas,791,397856,938564,non-compliant,no,not in place,non-hazardous,container,22,339570,30374.524999999998,35.77906471984339,Medium
397,PortB,PortZ,1,1,6,57,2,20,1589,16,regular,congested areas,852,270194,1174532,non-compliant,no,not in place,non-hazardous,bulk carrier,11,286526,20839.75,19.92089020761643,Low
398,PortB,PortZ,0,0,3,96,2,14,1185,14,regular,congested areas,637,445630,858337,non-compliant,yes,in place,hazardous,container,12,427664,33850.689999999995,41.560599281833106,Medium
399,PortB,PortX,1,2,5,15,2,22,1274,12,irregular,clear,613,225580,913891,non-compliant,no,not in place,hazardous,container,2,344386,17368.045000000002,14.146773488032498,Low
400,PortB,PortY,0,4,5,97,1,22,1261,14,irregular,clear,991,314302,694828,non-compliant,no,in place,non-hazardous,container,5,211040,24094.274999999998,25.333794592293092,Low
401,PortC,PortY,0,4,4,33,1,28,1528,17,regular,clear,946,352063,1006109,compliant,yes,not in place,hazardous,container,6,454091,26985.114999999998,30.141820498192942,Medium
402,PortA,PortX,1,0,6,94,2,18,1846,13,regular,congested areas,909,312866,989672,non-compliant,yes,not in place,non-hazardous,container,9,275296,24114.8,25.367931636099947,Low
403,PortC,PortY,0,3,6,67,2,20,1946,15,irregular,clear,985,322513,959555,compliant,yes,in place,hazardous,bulk carrier,4,354358,24879.28,26.639409699411065,Low
404,PortB,PortX,1,2,0,73,1,20,1627,13,irregular,congested areas,808,516845,917475,compliant,yes,in place,hazardous,container,6,343186,39339.0,50.68872005628248,Medium
405,PortB,PortY,0,0,2,65,2,26,1600,16,regular,congested areas,956,300579,906086,compliant,yes,not in place,hazardous,container,15,373010,23142.605,23.750983363076777,Low
406,PortC,PortY,0,3,4,91,0,19,1139,16,regular,congested areas,688,551842,1025285,non-compliant,yes,in place,hazardous,container,7,130892,41816.994999999995,54.810104897605505,Medium
407,PortA,PortY,0,4,5,21,1,21,1391,18,regular,clear,655,400794,945677,non-compliant,no,not in place,non-hazardous,container,11,316490,30545.945,36.06416932639006,Medium
408,PortA,PortY,0,1,5,44,2,22,1342,14,irregular,clear,693,380488,997245,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,462483,29018.245,33.52330882340711,Medium
409,PortB,PortX,0,2,0,80,1,20,1375,16,regular,congested areas,692,411926,982247,compliant,yes,in place,non-hazardous,bulk carrier,16,476544,31383.049999999996,37.45643680779971,Medium
410,PortB,PortX,1,2,5,98,0,18,1466,15,regular,clear,939,564937,1118514,compliant,no,in place,hazardous,bulk carrier,13,250870,42930.625,56.6622869241401,Medium
411,PortB,PortY,1,3,5,15,1,20,1405,17,regular,congested areas,684,292615,1051549,non-compliant,no,in place,hazardous,container,13,442059,22441.875,22.585533876754045,Low
412,PortB,PortZ,0,0,0,74,1,24,1104,13,regular,clear,844,274059,978929,non-compliant,yes,not in place,non-hazardous,container,16,273857,21006.195,20.197720427174584,Low
413,PortA,PortX,0,4,5,89,1,15,1649,16,regular,congested areas,621,305238,1177763,compliant,no,not in place,hazardous,container,14,312546,23435.395,24.23794974827569,Low
414,PortC,PortY,1,3,2,69,1,20,1285,14,regular,congested areas,890,368461,1013040,compliant,no,not in place,hazardous,bulk carrier,17,317801,28141.355,32.06487119398988,Medium
415,PortA,PortX,1,1,1,77,0,17,1547,14,irregular,congested areas,871,229982,1145744,compliant,no,in place,non-hazardous,container,1,360880,17815.629999999997,14.891193890092854,Low
416,PortC,PortZ,0,1,4,38,1,24,1914,15,irregular,clear,905,374293,1041041,non-compliant,no,in place,hazardous,bulk carrier,11,450136,28739.269999999997,33.05931945453911,Medium
417,PortB,PortZ,0,1,2,47,1,13,1316,15,irregular,clear,721,504306,673712,compliant,no,in place,non-hazardous,container,12,376458,38300.659999999996,48.96175985816287,Medium
418,PortB,PortZ,1,3,2,31,2,17,993,14,regular,clear,727,378981,1145725,compliant,no,not in place,hazardous,container,11,337386,28823.93,33.20012540477969,Medium
419,PortC,PortY,0,4,1,17,1,21,1442,15,irregular,clear,712,348921,970276,compliant,no,in place,non-hazardous,bulk carrier,12,446731,26679.555000000004,29.63361513372907,Low
420,PortB,PortY,1,2,6,72,2,26,1720,18,regular,clear,872,314033,942206,non-compliant,yes,in place,hazardous,container,9,269733,24165.805,25.45276281365748,Low
421,PortA,PortZ,0,0,4,22,0,19,1891,16,regular,congested areas,935,438994,992202,non-compliant,no,not in place,hazardous,bulk carrier,15,342278,33590.16499999999,41.12729583054055,Medium
422,PortB,PortX,1,2,2,36,0,17,1254,16,regular,clear,729,306412,898252,non-compliant,yes,in place,hazardous,container,9,449578,23445.934999999998,24.255479806337764,Low
