High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore
1.0,0.0,3,74.0,1,21.0,1472,15.0,1,1,614,322441.0,1,0,1,2,1,8,274287,26
1.0,1.0,0,79.0,2,20.0,1690,13.0,0,1,816,292280.0,0,1,1,1,1,8,326228,23
0.0,2.0,3,36.0,2,16.0,1822,12.0,1,1,634,215758.0,0,0,1,2,1,16,123870,13
1.0,0.0,0,32.0,2,22.0,1762,16.0,0,1,782,307377.0,1,1,1,2,0,5,259780,25
1.0,4.0,6,56.0,2,17.0,1827,16.0,1,0,869,403446.0,0,0,1,2,1,13,311900,37
0.0,4.0,3,21.0,0,20.0,1648,13.0,0,1,957,313998.0,1,0,1,2,1,10,404627,25
0.0,2.0,5,94.0,0,30.0,1515,16.0,0,1,699,344723.0,1,0,1,2,1,18,274963,29
0.0,3.0,0,75.0,2,19.0,1179,13.0,0,0,606,398583.0,0,1,0,1,1,15,225373,36
1.0,3.0,1,14.0,1,24.0,1450,15.0,1,1,629,399717.0,0,1,1,2,0,5,161246,36
1.0,0.0,4,18.0,0,17.0,1331,16.0,1,0,904,278155.0,1,1,0,2,1,9,290358,21
1.0,3.0,5,29.0,2,19.0,1934,14.0,0,0,743,457019.0,1,0,1,2,0,11,545085,43
1.0,2.0,5,91.0,0,27.0,1464,15.0,0,1,710,459043.0,1,0,1,2,0,9,377110,43
0.0,0.0,0,72.0,0,17.0,1524,13.0,0,1,831,281809.0,1,1,0,1,0,16,443957,21
1.0,1.0,4,95.0,1,27.0,1610,14.0,0,0,778,297092.0,0,0,0,2,0,12,259994,23
0.0,3.0,1,81.0,2,22.0,1508,14.0,1,0,671,454920.0,1,0,0,2,0,11,192655,43
1.0,3.0,5,82.0,2,17.0,1839,13.0,0,1,809,349646.0,0,0,1,2,0,16,227892,30
1.0,0.0,1,80.0,1,22.0,1375,14.0,0,0,819,189432.0,1,0,0,2,1,6,340286,10
0.0,4.0,3,39.0,1,23.0,1538,11.0,1,1,679,245554.0,1,1,1,1,0,10,150587,17
1.0,3.0,6,91.0,2,22.0,1351,14.0,1,1,682,342517.0,0,0,1,1,1,13,249340,29
1.0,2.0,4,25.0,2,13.0,1235,14.0,0,1,641,271524.0,0,1,0,1,0,11,291363,20
0.0,3.0,6,94.0,1,17.0,1377,14.0,0,1,872,327821.0,0,0,1,2,1,-3,217907,27
1.0,1.0,2,14.0,0,19.0,1492,14.0,1,0,790,359473.0,0,0,0,1,0,13,137631,31
0.0,3.0,3,38.0,0,19.0,1414,14.0,1,0,772,485928.0,0,1,0,1,1,14,378965,47
0.0,4.0,4,56.0,1,22.0,1361,15.0,0,1,606,344493.0,1,0,0,1,1,6,354587,29
0.0,3.0,0,31.0,0,20.0,1218,16.0,1,1,754,457198.0,1,1,0,1,0,1,427902,43
0.0,0.0,6,87.0,1,14.0,1483,13.0,1,0,609,476248.0,1,1,1,1,0,8,238957,45
1.0,3.0,0,66.0,0,21.0,1199,12.0,0,0,633,486044.0,0,1,1,2,0,10,425992,47
1.0,4.0,1,92.0,0,22.0,1652,12.0,0,0,635,397926.0,0,1,0,1,0,11,502930,36
1.0,0.0,5,44.0,2,22.0,1516,14.0,1,0,605,211747.0,0,1,0,1,1,2,376221,13
0.0,2.0,6,97.0,2,24.0,1208,14.0,0,0,814,401316.0,1,1,1,1,1,13,289006,36
1.0,0.0,2,69.0,0,23.0,1438,13.0,0,1,733,452097.0,0,1,1,2,0,17,364508,43
1.0,1.0,0,79.0,0,21.0,1349,12.0,0,1,884,357725.0,1,0,0,2,0,16,284221,31
1.0,0.0,4,69.0,2,19.0,1563,14.0,0,1,725,502945.0,1,1,1,1,1,18,267571,49
1.0,2.0,6,67.0,2,13.0,1768,15.0,0,1,936,439702.0,1,0,1,2,0,5,418326,41
0.0,3.0,6,12.0,2,21.0,1124,16.0,1,0,773,412266.0,0,0,1,2,1,16,336094,37
0.0,0.0,5,43.0,1,20.0,1523,13.0,1,0,751,460435.0,1,0,1,1,0,7,470509,44
1.0,0.0,5,54.0,0,21.0,1467,14.0,0,1,930,391957.0,1,1,0,2,0,15,305757,35
0.0,0.0,4,59.0,2,14.0,1634,13.0,0,1,625,166369.0,1,1,1,1,1,8,315882,7
1.0,0.0,5,11.0,0,15.0,1542,14.0,0,0,982,324736.0,0,0,0,1,1,13,293348,27
1.0,2.0,0,24.0,1,24.0,1349,13.0,1,1,714,457672.0,1,1,0,1,0,19,237981,43
1.0,4.0,4,46.0,1,19.0,1436,16.0,1,1,981,306964.0,0,0,0,2,1,16,431442,24
0.0,4.0,4,24.0,2,22.0,1340,11.0,1,0,883,360550.0,0,0,1,1,0,7,568571,31
1.0,0.0,1,69.0,1,20.0,1715,14.0,1,0,986,282001.0,1,0,1,1,1,6,311777,21
0.0,2.0,2,94.0,0,20.0,1504,15.0,0,0,674,506811.0,1,1,0,2,0,15,281950,49
0.0,2.0,6,73.0,2,23.0,1880,15.0,0,1,765,498292.0,0,0,1,1,0,18,275467,48
1.0,0.0,1,90.0,0,17.0,1487,20.0,1,0,788,293391.0,1,1,0,2,0,14,282026,23
0.0,1.0,2,61.0,0,20.0,1358,15.0,1,0,677,387532.0,0,0,0,2,1,9,514978,34
0.0,0.0,4,32.0,1,18.0,1197,12.0,0,1,689,309468.0,0,1,1,1,1,12,278151,25
1.0,1.0,6,46.0,1,18.0,1139,14.0,0,0,775,413769.0,0,0,1,2,1,14,291473,38
0.0,0.0,5,50.0,1,18.0,1183,11.0,0,1,620,402072.0,1,1,1,1,1,11,225964,36
0.0,1.0,2,66.0,1,20.0,1553,14.0,0,1,653,433904.0,0,0,0,2,0,7,379364,40
1.0,1.0,4,34.0,1,18.0,1601,13.0,0,1,783,393717.0,0,1,0,2,1,17,343277,35
1.0,0.0,4,46.0,2,25.0,1183,16.0,1,1,958,596646.0,1,1,1,2,1,21,236282,61
0.0,1.0,1,49.0,0,16.0,1679,13.0,0,0,821,280801.0,1,1,0,2,1,19,260717,21
1.0,3.0,1,94.0,0,19.0,1403,14.0,1,1,914,238316.0,0,0,0,1,0,1,503293,16
1.0,4.0,5,55.0,0,18.0,1529,13.0,1,0,927,336216.0,0,0,0,1,1,17,353270,28
0.0,2.0,3,69.0,0,25.0,1822,18.0,0,0,778,242569.0,0,0,1,2,1,14,360168,17
0.0,1.0,0,28.0,1,20.0,1679,14.0,1,0,875,248631.0,1,1,1,1,0,8,360565,17
1.0,1.0,3,18.0,0,24.0,1446,18.0,1,0,711,294367.0,0,1,1,1,0,2,489462,23
0.0,2.0,3,78.0,2,14.0,1321,16.0,0,0,823,288498.0,0,0,0,1,0,11,245478,22
1.0,1.0,6,14.0,2,21.0,1069,15.0,1,1,813,289148.0,1,0,1,1,0,13,310360,22
1.0,2.0,6,98.0,0,23.0,1356,15.0,0,0,658,408112.0,1,1,0,1,0,6,333103,37
0.0,0.0,5,35.0,0,20.0,1457,15.0,0,1,926,318398.0,0,0,0,1,0,18,177882,26
0.0,3.0,6,28.0,2,24.0,1302,11.0,1,1,992,348558.0,1,1,0,1,0,18,258385,30
1.0,3.0,2,39.0,2,17.0,1473,14.0,0,1,708,444271.0,0,1,1,2,1,14,454667,42
1.0,4.0,5,57.0,1,25.0,1515,16.0,0,0,984,309995.0,0,1,0,1,0,5,426021,25
1.0,1.0,5,25.0,2,29.0,1455,14.0,1,0,756,351021.0,1,0,1,2,0,10,443706,30
1.0,4.0,4,80.0,1,18.0,1369,12.0,0,0,790,393815.0,0,1,0,2,0,15,291090,35
0.0,0.0,4,27.0,1,18.0,1533,14.0,1,0,799,209846.0,0,0,1,2,0,15,303430,12
1.0,3.0,4,65.0,1,25.0,1588,18.0,1,1,911,167767.0,1,1,1,1,0,8,171193,7
0.0,0.0,0,30.0,1,26.0,1281,17.0,0,0,795,399849.0,0,0,1,1,1,9,443193,36
0.0,0.0,2,40.0,1,17.0,1782,14.0,1,0,634,412344.0,1,0,1,2,1,8,459665,38
1.0,1.0,2,10.0,0,18.0,1480,16.0,0,1,978,538057.0,0,1,1,2,1,10,458392,53
0.0,0.0,4,12.0,2,18.0,1503,14.0,1,1,986,388168.0,1,1,1,1,1,9,510409,35
0.0,3.0,3,34.0,1,14.0,1641,11.0,0,1,845,435189.0,1,1,1,1,1,8,392210,41
1.0,4.0,0,17.0,2,16.0,1546,13.0,0,1,836,359646.0,1,1,1,1,1,11,505688,31
0.0,3.0,3,74.0,2,15.0,1690,18.0,1,1,703,390275.0,1,0,0,2,1,12,329952,35
0.0,1.0,1,71.0,1,16.0,1557,14.0,1,1,606,492045.0,1,0,0,2,0,17,173298,47
1.0,3.0,2,16.0,0,19.0,1377,14.0,0,1,882,201884.0,1,0,0,1,0,3,436072,11
1.0,2.0,2,16.0,1,20.0,1572,14.0,0,0,600,391569.0,0,0,0,1,0,18,169611,35
1.0,4.0,3,17.0,0,26.0,1271,18.0,1,0,818,539197.0,0,0,0,2,0,8,367020,53
1.0,2.0,0,28.0,2,16.0,1521,18.0,0,1,829,394839.0,1,1,1,1,0,21,445532,35
1.0,2.0,2,26.0,0,23.0,1493,19.0,0,1,771,501167.0,0,1,1,1,0,15,382425,49
1.0,1.0,3,20.0,0,19.0,1458,14.0,1,0,686,328554.0,1,0,1,2,1,14,577824,27
1.0,0.0,5,58.0,0,19.0,1474,15.0,1,1,640,355106.0,1,1,1,2,0,11,153407,30
0.0,2.0,5,20.0,2,22.0,1123,11.0,0,1,722,369767.0,0,1,1,2,0,22,341713,32
0.0,3.0,6,50.0,2,15.0,1390,17.0,1,1,930,190179.0,1,1,0,2,0,11,351745,10
1.0,0.0,0,71.0,0,21.0,1518,12.0,1,1,897,267325.0,0,1,0,1,1,19,215589,20
0.0,3.0,3,61.0,0,20.0,1531,15.0,0,1,972,273981.0,1,1,1,2,1,9,234626,20
0.0,3.0,6,75.0,1,21.0,1294,12.0,1,0,777,429039.0,1,1,0,1,1,15,265487,40
1.0,0.0,5,77.0,0,21.0,1753,13.0,1,1,662,431774.0,0,0,0,1,0,21,240035,40
0.0,0.0,0,84.0,1,29.0,1326,13.0,0,1,764,392882.0,1,1,1,1,0,7,339200,35
1.0,3.0,6,76.0,0,17.0,1693,13.0,1,1,786,430413.0,1,1,1,2,0,14,289703,40
0.0,1.0,4,49.0,1,17.0,1585,13.0,0,0,982,355957.0,1,0,0,2,1,8,381790,31
1.0,4.0,0,14.0,2,17.0,1370,13.0,1,0,808,466901.0,0,0,0,1,1,14,414943,44
0.0,4.0,1,94.0,0,17.0,1855,16.0,1,1,826,371111.0,0,0,1,1,0,21,408177,33
0.0,1.0,4,31.0,0,17.0,1261,12.0,0,1,988,370078.0,0,1,0,2,1,7,308987,32
0.0,0.0,6,46.0,0,24.0,1683,15.0,1,1,647,347674.0,0,0,1,1,0,12,378447,30
1.0,3.0,3,20.0,0,25.0,1700,17.0,1,1,823,427431.0,0,1,0,1,1,7,453512,40
0.0,4.0,4,53.0,1,17.0,1365,13.0,1,0,602,336031.0,1,0,0,1,1,11,394556,28
0.0,3.0,4,95.0,0,16.0,1778,13.0,1,0,971,454909.0,0,1,1,1,1,15,535897,43
1.0,1.0,6,62.0,2,21.0,1449,14.0,1,1,774,281838.0,0,1,0,1,0,10,448217,21
1.0,3.0,3,86.0,2,17.0,1557,17.0,1,1,698,288178.0,1,0,1,1,1,19,521840,22
0.0,1.0,3,70.0,0,22.0,1552,15.0,0,0,715,410032.0,1,1,0,1,0,14,100765,37
0.0,0.0,5,76.0,2,20.0,1473,13.0,1,0,869,360899.0,0,1,0,1,0,5,359667,31
0.0,1.0,1,22.0,0,13.0,1662,15.0,1,1,967,329569.0,1,1,1,2,0,13,317606,27
0.0,1.0,3,20.0,0,26.0,1658,12.0,0,1,852,438079.0,1,1,0,2,1,19,337502,41
1.0,4.0,2,20.0,2,27.0,1150,16.0,0,1,916,314894.0,1,0,1,1,1,14,269504,25
0.0,3.0,2,94.0,0,17.0,1760,15.0,0,0,694,353464.0,0,0,1,1,1,13,389619,30
0.0,4.0,1,94.0,2,18.0,1167,14.0,1,0,872,470396.0,1,0,0,2,0,10,169164,45
1.0,2.0,0,16.0,1,21.0,1706,13.0,0,0,979,492648.0,1,1,1,2,1,11,390343,48
0.0,1.0,6,26.0,0,21.0,1725,13.0,0,0,623,489433.0,0,0,1,2,1,12,272828,47
0.0,2.0,0,57.0,1,22.0,1281,16.0,1,1,715,342428.0,1,0,1,1,0,0,299961,29
0.0,4.0,2,23.0,2,28.0,1417,17.0,0,0,750,468148.0,1,1,0,2,0,14,393850,45
1.0,3.0,3,72.0,1,19.0,1278,13.0,1,0,937,291977.0,0,0,1,2,0,16,357877,23
1.0,4.0,1,73.0,1,16.0,1457,15.0,1,0,649,300217.0,0,0,1,1,1,8,455392,24
0.0,3.0,0,84.0,2,14.0,1438,10.0,1,1,805,174616.0,0,0,0,2,1,13,253049,8
0.0,3.0,0,86.0,1,17.0,1655,13.0,1,0,934,500925.0,1,1,1,1,0,13,341929,49
1.0,0.0,6,74.0,1,19.0,1762,14.0,1,0,678,302825.0,0,0,1,2,1,16,438877,24
0.0,1.0,4,43.0,2,27.0,1779,13.0,0,0,669,359183.0,0,0,1,2,0,12,386119,31
0.0,4.0,2,18.0,1,17.0,1387,13.0,1,1,626,296802.0,1,0,0,2,1,14,392559,23
1.0,3.0,3,86.0,2,20.0,1458,13.0,0,0,870,428653.0,1,1,0,2,0,6,460804,40
1.0,4.0,1,46.0,1,19.0,1163,15.0,1,1,649,335418.0,1,1,0,2,1,6,309375,28
1.0,4.0,0,39.0,2,24.0,1338,14.0,0,1,891,260030.0,1,0,0,1,0,14,288316,19
0.0,3.0,6,50.0,2,30.0,1692,10.0,1,0,846,405712.0,1,0,0,1,0,10,407590,37
0.0,2.0,4,54.0,1,17.0,1823,10.0,1,1,863,252054.0,0,0,0,2,0,4,335056,18
0.0,1.0,2,56.0,1,18.0,1253,13.0,1,0,678,306118.0,0,1,1,1,1,13,462220,24
0.0,1.0,2,16.0,1,24.0,1381,15.0,0,1,986,200797.0,0,1,0,2,1,5,386977,11
1.0,0.0,6,23.0,0,22.0,1494,9.0,0,1,789,250466.0,1,0,0,2,1,25,287664,17
0.0,0.0,1,57.0,0,27.0,1556,14.0,0,0,646,383474.0,0,0,0,2,0,1,383838,34
0.0,0.0,0,15.0,0,22.0,1338,13.0,1,0,960,205823.0,1,1,0,2,0,12,259730,12
1.0,1.0,1,43.0,2,18.0,1584,17.0,1,1,953,253742.0,1,1,1,2,0,6,444692,18
1.0,2.0,6,89.0,1,22.0,1405,14.0,0,1,951,360324.0,0,0,1,1,0,16,210284,31
0.0,1.0,6,55.0,2,24.0,1497,15.0,1,1,788,330121.0,0,1,0,1,0,9,472206,27
1.0,1.0,1,68.0,0,23.0,1609,15.0,0,1,855,528467.0,1,0,1,1,0,17,382087,52
1.0,1.0,5,79.0,1,22.0,1501,10.0,1,0,821,513388.0,1,0,0,1,0,15,333543,50
0.0,1.0,4,17.0,2,24.0,1412,16.0,0,1,971,301882.0,0,1,1,2,0,6,426333,24
0.0,2.0,2,33.0,1,24.0,1478,15.0,0,1,840,414627.0,0,0,0,1,0,8,401132,38
0.0,0.0,5,76.0,2,25.0,1482,16.0,1,0,868,434094.0,1,0,0,2,1,10,483038,40
0.0,4.0,3,13.0,1,22.0,1425,22.0,0,1,600,326307.0,1,0,0,2,0,11,482106,27
1.0,0.0,2,10.0,0,19.0,1448,10.0,1,0,633,249618.0,1,0,0,1,1,11,385229,17
1.0,0.0,2,43.0,0,20.0,1819,18.0,1,0,678,362157.0,1,0,1,1,0,15,262822,31
0.0,4.0,4,18.0,1,24.0,1612,14.0,1,0,835,350964.0,0,0,0,2,1,13,295849,30
0.0,1.0,3,72.0,2,16.0,1440,15.0,0,1,933,332280.0,0,0,1,2,0,8,342835,28
1.0,2.0,0,85.0,0,21.0,1639,14.0,0,0,976,408293.0,1,1,1,2,1,7,458172,37
0.0,2.0,3,19.0,0,18.0,1433,14.0,0,0,948,305159.0,1,1,1,1,0,7,304361,24
0.0,0.0,0,19.0,0,20.0,1734,13.0,1,0,697,273475.0,0,0,0,2,0,13,312705,20
0.0,4.0,3,59.0,1,25.0,1573,15.0,1,1,681,385468.0,1,1,1,2,0,11,534835,34
0.0,3.0,1,53.0,1,20.0,1478,11.0,0,1,791,397856.0,1,0,1,2,1,22,339570,36
1.0,1.0,6,57.0,2,20.0,1589,16.0,1,1,852,270194.0,1,0,1,2,0,11,286526,20
0.0,0.0,3,96.0,2,14.0,1185,14.0,1,1,637,445630.0,1,1,0,1,1,12,427664,42
1.0,2.0,5,15.0,2,22.0,1274,12.0,0,0,613,225580.0,1,0,1,1,1,2,344386,14
0.0,4.0,5,97.0,1,22.0,1261,14.0,0,0,991,314302.0,1,0,0,2,1,5,211040,25
0.0,4.0,4,33.0,1,28.0,1528,17.0,1,0,946,352063.0,0,1,1,1,1,6,454091,30
1.0,0.0,6,94.0,2,18.0,1846,13.0,1,1,909,312866.0,1,1,1,2,1,9,275296,25
0.0,3.0,6,67.0,2,20.0,1946,15.0,0,0,985,322513.0,0,1,0,1,0,4,354358,27
1.0,2.0,0,73.0,1,20.0,1627,13.0,0,1,808,516845.0,0,1,0,1,1,6,343186,51
0.0,0.0,2,65.0,2,26.0,1600,16.0,1,1,956,300579.0,0,1,1,1,1,15,373010,24
0.0,3.0,4,91.0,0,19.0,1139,16.0,1,1,688,551842.0,1,1,0,1,1,7,130892,55
0.0,4.0,5,21.0,1,21.0,1391,18.0,1,0,655,400794.0,1,0,1,2,1,11,316490,36
0.0,1.0,5,44.0,2,22.0,1342,14.0,0,0,693,380488.0,1,1,1,2,0,14,462483,34
0.0,2.0,0,80.0,1,20.0,1375,16.0,1,1,692,411926.0,0,1,0,2,0,16,476544,37
1.0,2.0,5,98.0,0,18.0,1466,15.0,1,0,939,564937.0,0,0,0,1,0,13,250870,57
1.0,3.0,5,15.0,1,20.0,1405,17.0,1,1,684,292615.0,1,0,0,1,1,13,442059,23
0.0,0.0,0,74.0,1,24.0,1104,13.0,1,0,844,274059.0,1,1,1,2,1,16,273857,20
0.0,4.0,5,89.0,1,15.0,1649,16.0,1,1,621,305238.0,0,0,1,1,1,14,312546,24
1.0,3.0,2,69.0,1,20.0,1285,14.0,1,1,890,368461.0,0,0,1,1,0,17,317801,32
1.0,1.0,1,77.0,0,17.0,1547,14.0,0,1,871,229982.0,0,0,0,2,1,1,360880,15
0.0,1.0,4,38.0,1,24.0,1914,15.0,0,0,905,374293.0,1,0,0,1,0,11,450136,33
0.0,1.0,2,47.0,1,13.0,1316,15.0,0,0,721,504306.0,0,0,0,2,1,12,376458,49
1.0,3.0,2,31.0,2,17.0,993,14.0,1,0,727,378981.0,0,0,1,1,1,11,337386,33
0.0,4.0,1,17.0,1,21.0,1442,15.0,0,0,712,348921.0,0,0,0,2,0,12,446731,30
1.0,2.0,6,72.0,2,26.0,1720,18.0,1,0,872,314033.0,1,1,0,1,1,9,269733,25
0.0,0.0,4,22.0,0,19.0,1891,16.0,1,1,935,438994.0,1,0,1,1,0,15,342278,41
1.0,2.0,2,36.0,0,17.0,1254,16.0,1,0,729,306412.0,1,1,0,1,1,9,449578,24
1.0,4.0,5,27.0,0,27.0,1599,14.0,1,1,731,517858.0,0,0,0,1,0,10,402930,51
0.0,2.0,1,27.0,0,14.0,1406,13.0,1,0,684,519837.0,0,0,1,1,1,19,303369,51
1.0,3.0,6,86.0,2,11.0,1478,16.0,0,0,949,380475.0,0,1,1,2,1,18,198704,34
0.0,1.0,4,95.0,1,21.0,2028,16.0,0,0,989,368133.0,0,0,1,1,1,12,381085,32
0.0,4.0,3,71.0,0,17.0,1199,17.0,0,1,680,442059.0,1,0,1,2,1,8,192132,41
0.0,4.0,0,23.0,1,15.0,1550,13.0,1,0,924,454021.0,0,1,1,2,1,3,328749,43
0.0,2.0,5,20.0,2,22.0,1593,14.0,0,1,668,308915.0,0,0,1,2,0,11,467894,25
1.0,3.0,1,95.0,2,20.0,1717,11.0,1,0,747,328359.0,1,0,0,1,0,14,409675,27
0.0,2.0,0,26.0,2,17.0,1519,14.0,0,1,615,251593.0,0,1,0,2,1,8,147634,17
0.0,2.0,6,60.0,0,14.0,1561,16.0,0,1,906,401227.0,0,1,1,1,0,12,370045,36
0.0,4.0,6,23.0,1,23.0,1421,14.0,0,1,704,419234.0,0,0,1,1,0,10,318083,38
0.0,2.0,3,66.0,1,22.0,1553,16.0,0,1,764,253137.0,1,1,0,1,0,3,222628,18
1.0,1.0,2,15.0,1,19.0,1431,14.0,0,0,800,332759.0,0,0,1,2,0,12,383502,28
0.0,2.0,2,66.0,2,27.0,1624,15.0,0,0,796,257260.0,1,0,1,1,1,14,300826,18
1.0,1.0,4,13.0,0,15.0,1426,12.0,1,1,784,293168.0,0,1,0,1,0,12,301446,23
1.0,4.0,1,20.0,2,13.0,1575,15.0,1,0,921,412201.0,1,1,0,1,0,20,362404,38
1.0,3.0,1,83.0,2,17.0,1494,9.0,1,1,864,305692.0,1,1,1,2,1,10,287411,24
0.0,1.0,6,20.0,1,19.0,1725,14.0,1,0,962,343912.0,1,1,1,2,1,9,359573,29
0.0,3.0,4,88.0,2,20.0,1489,11.0,1,0,699,234348.0,0,0,0,2,1,22,290667,15
0.0,3.0,0,17.0,1,19.0,1145,17.0,0,0,941,379766.0,0,1,1,2,1,5,296153,33
0.0,1.0,2,93.0,0,21.0,1752,16.0,1,1,919,368922.0,1,1,0,1,1,8,449292,32
1.0,4.0,2,68.0,1,14.0,1318,15.0,1,0,813,314656.0,1,0,0,2,1,13,459467,25
1.0,0.0,6,30.0,0,25.0,1369,18.0,1,1,877,343835.0,0,0,1,1,1,17,179134,29
0.0,3.0,1,74.0,1,19.0,1380,13.0,1,0,761,385658.0,1,0,0,2,1,16,424707,34
0.0,3.0,6,33.0,2,24.0,1774,18.0,1,1,756,309303.0,0,0,0,1,0,6,489859,25
0.0,4.0,1,39.0,2,21.0,1072,16.0,1,0,850,257185.0,0,0,0,2,1,20,505737,18
0.0,4.0,4,93.0,0,21.0,2127,14.0,1,1,965,514547.0,1,0,1,2,0,14,402037,51
0.0,2.0,3,66.0,0,22.0,1711,17.0,1,1,696,311551.0,1,0,1,2,1,7,244260,25
0.0,4.0,0,89.0,0,21.0,1544,12.0,1,1,617,362909.0,0,0,1,1,1,8,412998,31
0.0,3.0,5,82.0,1,22.0,1489,13.0,0,0,926,444020.0,0,0,0,1,0,12,263074,42
1.0,1.0,3,26.0,1,25.0,1557,13.0,1,1,982,648109.0,0,1,0,2,1,22,315703,67
1.0,0.0,3,68.0,0,20.0,1604,13.0,1,0,696,269856.0,1,1,1,2,1,13,388308,20
1.0,2.0,1,40.0,2,22.0,1629,12.0,0,1,600,399462.0,0,0,0,2,0,22,269524,36
1.0,1.0,1,73.0,1,19.0,1611,17.0,0,1,815,305163.0,1,1,0,2,0,16,235359,24
0.0,0.0,1,57.0,1,25.0,1517,14.0,1,1,731,326725.0,1,0,1,2,0,5,396577,27
0.0,0.0,3,32.0,1,17.0,1460,15.0,1,0,859,319219.0,0,0,0,2,0,19,536722,26
0.0,0.0,6,79.0,0,27.0,1469,13.0,1,0,724,283663.0,1,0,0,1,0,7,474323,22
0.0,1.0,0,39.0,0,19.0,1461,11.0,0,0,681,367732.0,1,0,0,1,0,8,420718,32
0.0,2.0,6,64.0,0,14.0,1726,15.0,1,0,882,254435.0,1,1,0,1,1,13,447918,18
1.0,2.0,1,16.0,0,20.0,1618,11.0,0,0,770,446433.0,1,1,0,1,1,11,413771,42
0.0,0.0,2,84.0,0,17.0,911,14.0,0,0,658,374149.0,0,0,0,1,1,16,394990,33
1.0,1.0,6,21.0,2,23.0,1631,12.0,0,0,631,405787.0,0,1,1,1,1,14,439861,37
0.0,0.0,0,69.0,2,17.0,1538,18.0,0,1,760,323363.0,1,1,1,2,1,11,213163,26
1.0,4.0,2,61.0,0,18.0,1496,16.0,0,1,883,339121.0,1,0,0,2,0,20,369948,28
0.0,2.0,0,36.0,1,12.0,1422,15.0,1,0,705,390100.0,1,0,1,2,0,9,341905,35
1.0,3.0,1,21.0,0,18.0,1724,17.0,1,0,704,274770.0,1,1,1,2,1,6,357890,20
0.0,0.0,6,22.0,2,10.0,1689,13.0,0,0,827,336553.0,1,1,1,2,0,14,303862,28
0.0,4.0,5,81.0,2,13.0,1345,16.0,0,0,787,301333.0,0,0,0,1,1,11,402048,24
0.0,2.0,4,89.0,1,23.0,1581,15.0,0,0,669,292164.0,0,0,1,1,0,13,268207,23
0.0,1.0,1,71.0,2,23.0,1305,15.0,0,1,917,196043.0,0,1,0,1,1,15,296614,11
1.0,2.0,3,38.0,0,21.0,1224,17.0,1,0,889,471376.0,0,0,1,1,1,11,284612,45
0.0,1.0,5,44.0,1,16.0,1374,16.0,0,0,686,316896.0,1,0,1,1,1,21,436394,26
1.0,1.0,3,69.0,0,19.0,1672,15.0,0,0,969,460511.0,1,0,0,2,0,13,348827,44
0.0,0.0,0,38.0,0,19.0,1690,11.0,1,1,961,450699.0,0,1,1,1,0,9,303916,43
1.0,0.0,3,40.0,1,15.0,1602,13.0,1,1,655,262752.0,0,1,0,1,1,14,312657,19
0.0,2.0,5,86.0,0,26.0,1645,14.0,1,1,712,280446.0,0,0,1,1,0,11,350388,21
0.0,4.0,5,85.0,2,23.0,1603,15.0,1,1,612,580451.0,1,1,1,2,1,12,512217,59
1.0,2.0,1,70.0,0,19.0,1371,12.0,0,0,617,501391.0,1,0,1,2,1,6,226347,49
0.0,3.0,2,11.0,1,20.0,1586,19.0,0,1,781,368356.0,1,1,1,2,0,7,417550,32
0.0,1.0,1,42.0,1,20.0,1660,18.0,0,1,712,390449.0,0,1,0,2,1,17,397186,35
1.0,1.0,0,81.0,1,11.0,1650,16.0,0,1,828,312617.0,0,1,0,2,1,5,261703,25
0.0,0.0,3,71.0,0,19.0,1737,15.0,0,1,770,409422.0,1,0,1,2,1,11,496687,37
1.0,4.0,2,68.0,1,17.0,1641,14.0,0,1,894,312821.0,1,0,0,1,0,13,403928,25
0.0,0.0,6,49.0,1,15.0,1570,13.0,0,0,788,202373.0,1,0,1,1,1,19,299226,11
1.0,3.0,4,58.0,0,18.0,1714,15.0,0,1,678,252478.0,0,1,0,1,1,9,164058,18
1.0,2.0,5,41.0,2,27.0,1494,15.0,0,1,745,370333.0,1,0,0,2,1,15,372914,32
1.0,2.0,2,47.0,0,22.0,1323,12.0,1,1,781,276790.0,1,0,0,2,1,11,345525,21
1.0,4.0,6,88.0,1,17.0,1467,15.0,0,0,885,356964.0,0,0,1,2,0,1,246928,31
0.0,0.0,2,96.0,1,22.0,1351,14.0,1,0,849,276309.0,1,0,0,2,1,12,245638,21
0.0,0.0,1,97.0,0,25.0,1364,11.0,1,0,953,309254.0,1,1,0,1,1,11,436850,25
1.0,3.0,6,22.0,2,23.0,1471,13.0,1,0,913,425974.0,1,0,1,2,0,14,154430,39
0.0,2.0,4,94.0,1,20.0,1341,14.0,1,0,795,388869.0,1,0,1,2,0,8,381428,35
0.0,0.0,5,63.0,1,17.0,1438,18.0,0,0,922,365789.0,0,1,1,2,0,9,331256,32
0.0,4.0,0,85.0,1,22.0,1121,16.0,1,0,670,440302.0,1,0,0,2,0,18,399715,41
1.0,2.0,0,22.0,0,21.0,1542,12.0,1,0,847,404477.0,0,1,0,2,0,10,320569,37
0.0,3.0,2,48.0,1,23.0,1500,15.0,0,1,745,484691.0,1,1,0,1,0,2,379327,47
