RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Insurance_Premium,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
302,PortB,PortY,1,3,1,94,0,19,1403,14,regular,congested areas,914,238316,43208,1067473,compliant,no,in place,hazardous,bulk carrier,1,503293,16135.555,16.01531537,Low
303,PortC,PortZ,1,4,5,55,0,18,1529,13,regular,clear,927,336216,42489,864668,compliant,no,in place,hazardous,container,17,353270,22021.93,27.69152646,Low
304,PortB,PortX,0,2,3,69,0,25,1822,18,irregular,clear,778,242569,35462,1161292,compliant,no,not in place,non-hazardous,container,14,360168,16237.06,16.21666065,Low
305,PortB,PortY,0,1,0,28,1,20,1679,14,regular,clear,875,248631,38901,931138,non-compliant,yes,not in place,hazardous,bulk carrier,8,360565,16685.81,17.10680097,Low
306,PortB,PortZ,1,1,3,18,0,24,1446,18,regular,clear,711,294367,47376,1050690,compliant,yes,not in place,hazardous,bulk carrier,2,489462,19594.31,22.8761004,Low
307,PortC,PortY,0,2,3,78,2,14,1321,16,irregular,clear,823,288498,26975,1061903,compliant,no,in place,hazardous,bulk carrier,11,245478,18619.395,20.9422594,Low
308,PortA,PortX,1,1,6,14,2,21,1069,15,regular,congested areas,813,289148,45955,855868,non-compliant,no,not in place,hazardous,bulk carrier,13,310360,19165.205,22.0249279,Low
309,PortB,PortX,1,2,6,98,0,23,1356,15,irregular,clear,658,408112,56516,641977,non-compliant,yes,in place,hazardous,bulk carrier,6,333103,26660.68,36.8929491,Medium
310,PortC,PortX,0,0,5,35,0,20,1457,15,irregular,congested areas,926,318398,45140,1004113,compliant,no,in place,hazardous,bulk carrier,18,177882,21013.755,25.69171093,Low
311,PortC,PortZ,0,3,6,28,2,24,1302,11,regular,congested areas,992,348558,67828,960843,non-compliant,yes,in place,hazardous,bulk carrier,18,258385,23480.75,30.58524123,Medium
312,PortB,PortY,1,3,2,39,2,17,1473,14,irregular,congested areas,708,444271,44666,1033373,compliant,yes,not in place,non-hazardous,container,14,454667,28513.32,40.56784506,Medium
313,PortA,PortZ,1,4,5,57,1,25,1515,16,irregular,clear,984,309995,39795,916020,compliant,yes,in place,hazardous,bulk carrier,5,426021,20378.2,24.43102429,Low
314,PortA,PortY,1,1,5,25,2,29,1455,14,regular,clear,756,351021,50900,885435,non-compliant,no,not in place,non-hazardous,bulk carrier,10,443706,23112.905,29.85558403,Low
315,PortA,PortZ,1,4,4,80,1,18,1369,12,irregular,clear,790,393815,36134,1251270,compliant,yes,in place,non-hazardous,bulk carrier,15,291090,25220.315,34.03584166,Medium
316,PortC,PortY,0,0,4,27,1,18,1533,14,regular,clear,799,209846,50200,729146,compliant,no,not in place,non-hazardous,bulk carrier,15,303430,14645.2,13.05904779,Low
317,PortB,PortZ,1,3,4,65,1,25,1588,18,regular,congested areas,911,167767,35216,1060092,non-compliant,yes,not in place,hazardous,bulk carrier,8,171193,11710.715,7.238204525,Low
318,PortB,PortY,0,0,0,30,1,26,1281,17,irregular,clear,795,399849,40175,863809,compliant,no,not in place,hazardous,container,9,443193,25683.285,34.95418877,Medium
319,PortC,PortZ,0,0,2,40,1,17,1782,14,regular,clear,634,412344,79706,899633,non-compliant,no,not in place,non-hazardous,container,8,459665,27709.375,38.97314008,Medium
320,PortB,PortX,1,1,2,10,0,18,1480,16,irregular,congested areas,978,538057,29790,902434,compliant,yes,not in place,non-hazardous,container,10,458392,33749.025,50.95338739,Medium
321,PortB,PortZ,0,0,4,12,2,18,1503,14,regular,congested areas,986,388168,37078,829484,non-compliant,yes,not in place,hazardous,container,9,510409,24981.41,33.5619498,Medium
322,PortA,PortX,0,3,3,34,1,14,1641,11,irregular,congested areas,845,435189,45935,1035683,non-compliant,yes,not in place,hazardous,container,8,392210,28074.525,39.69745147,Medium
323,PortB,PortX,1,4,0,17,2,16,1546,13,irregular,congested areas,836,359646,65644,1158596,non-compliant,yes,not in place,hazardous,container,11,505688,24109.175,31.8317848,Medium
324,PortB,PortY,0,3,3,74,2,15,1690,18,regular,congested areas,703,390275,31910,1020502,non-compliant,no,in place,non-hazardous,container,12,329952,24943.015,33.48578949,Medium
325,PortC,PortX,0,1,1,71,1,16,1557,14,regular,congested areas,606,492045,37091,965507,non-compliant,no,in place,non-hazardous,bulk carrier,17,173298,31151.31,45.80056096,Medium
326,PortC,PortX,1,3,2,16,0,19,1377,14,irregular,congested areas,882,201884,72905,802033,non-compliant,no,in place,hazardous,bulk carrier,3,436072,14828.25,13.4221457,Low
327,PortA,PortY,1,2,2,16,1,20,1572,14,irregular,clear,600,391569,33454,1027523,compliant,no,in place,hazardous,bulk carrier,18,169611,25017.945,33.63442061,Medium
328,PortC,PortZ,1,4,3,17,0,26,1271,18,regular,clear,818,539197,57460,1273452,compliant,no,in place,non-hazardous,bulk carrier,8,367020,34565.76,52.57346261,Medium
329,PortA,PortZ,1,2,0,28,2,16,1521,18,irregular,congested areas,829,394839,27195,892895,non-compliant,yes,not in place,hazardous,bulk carrier,21,445532,25059.035,33.71592672,Medium
330,PortA,PortX,1,2,2,26,0,23,1493,19,irregular,congested areas,771,501167,41374,893602,compliant,yes,not in place,hazardous,bulk carrier,15,382425,31846.67,47.17987678,Medium
331,PortB,PortZ,1,1,3,20,0,19,1458,14,regular,clear,686,328554,46610,865836,non-compliant,no,not in place,non-hazardous,container,14,577824,21619.525,26.89331606,Low
332,PortA,PortX,1,0,5,58,0,19,1474,15,regular,congested areas,640,355106,59497,876587,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,153407,23593.965,30.80981445,Medium
333,PortB,PortZ,0,2,5,20,2,22,1123,11,irregular,congested areas,722,369767,32782,538205,compliant,yes,not in place,non-hazardous,bulk carrier,22,341713,23602.575,30.82689325,Medium
334,PortA,PortZ,0,3,6,50,2,15,1390,17,regular,congested areas,930,190179,32693,1010755,non-compliant,yes,in place,non-hazardous,bulk carrier,11,351745,12931.085,9.658929967,Low
335,PortC,PortZ,1,0,0,71,0,21,1518,12,regular,congested areas,897,267325,36709,823167,compliant,yes,in place,hazardous,container,19,215589,17705.945,19.13034035,Low
336,PortC,PortX,0,3,3,61,0,20,1531,15,irregular,congested areas,972,273981,40372,708460,non-compliant,yes,not in place,non-hazardous,container,9,234626,18234.405,20.17859339,Low
337,PortC,PortY,0,3,6,75,1,21,1294,12,regular,clear,777,429039,46769,1062978,non-compliant,yes,in place,hazardous,container,15,265487,27631.415,38.81849865,Medium
338,PortA,PortZ,1,0,5,77,0,21,1753,13,regular,congested areas,662,431774,50064,787697,compliant,no,in place,hazardous,bulk carrier,21,240035,27985.585,39.52103012,Medium
339,PortA,PortZ,0,0,0,84,1,29,1326,13,irregular,congested areas,764,392882,37861,899199,non-compliant,yes,not in place,hazardous,bulk carrier,7,339200,25202.07,33.99965089,Medium
340,PortB,PortZ,1,3,6,76,0,17,1693,13,regular,congested areas,786,430413,40289,1169966,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,289703,27620.475,38.79679807,Medium
341,PortB,PortX,0,1,4,49,1,17,1585,13,irregular,clear,982,355957,26797,738617,non-compliant,no,in place,non-hazardous,container,8,381790,22759.85,29.15526427,Low
342,PortB,PortY,1,4,0,14,2,17,1370,13,regular,clear,808,466901,51090,720110,compliant,no,in place,hazardous,container,14,414943,30057.685,43.63124685,Medium
343,PortB,PortX,0,4,1,94,0,17,1855,16,regular,congested areas,826,371111,53044,990395,compliant,no,not in place,hazardous,bulk carrier,21,408177,24493.155,32.59344738,Medium
344,PortA,PortZ,0,1,4,31,0,17,1261,12,irregular,congested areas,988,370078,41344,1122423,compliant,yes,in place,non-hazardous,container,7,308987,23963.37,31.54256606,Medium
345,PortA,PortX,0,0,6,46,0,24,1683,15,regular,congested areas,647,347674,65567,713848,compliant,no,not in place,hazardous,bulk carrier,12,378447,23384.7,30.39471648,Medium
346,PortB,PortZ,1,3,3,20,0,25,1700,17,regular,congested areas,823,427431,57873,1011153,compliant,yes,in place,hazardous,container,7,453512,27980.015,39.50998147,Medium
347,PortA,PortZ,0,4,4,53,1,17,1365,13,regular,clear,602,336031,43707,1037149,non-compliant,no,in place,hazardous,container,11,394556,21941.115,27.53122186,Low
348,PortA,PortX,0,3,4,95,0,16,1778,13,regular,clear,971,454909,37708,641125,compliant,yes,not in place,hazardous,container,15,535897,29069.77,41.67161905,Medium
349,PortA,PortZ,1,1,6,62,2,21,1449,14,regular,congested areas,774,281838,37055,1069775,compliant,yes,in place,hazardous,bulk carrier,10,448217,18546.335,20.79733761,Low
350,PortA,PortZ,1,3,3,86,2,17,1557,17,regular,congested areas,698,288178,37255,1081490,non-compliant,no,not in place,hazardous,container,19,521840,18944.415,21.58696894,Low
351,PortB,PortY,0,1,3,70,0,22,1552,15,irregular,clear,715,410032,40529,903232,non-compliant,yes,in place,hazardous,bulk carrier,14,100765,26355.555,36.28770327,Medium
352,PortB,PortX,0,0,5,76,2,20,1473,13,regular,clear,869,360899,34508,1137851,compliant,yes,in place,hazardous,bulk carrier,5,359667,23237.23,30.10219505,Medium
353,PortA,PortX,0,1,1,22,0,13,1662,15,regular,congested areas,967,329569,27328,1120468,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,317606,21207.155,26.0753391,Low
354,PortC,PortZ,0,1,3,20,0,26,1658,12,irregular,congested areas,852,438079,26474,965467,non-compliant,yes,in place,non-hazardous,container,19,337502,27672.025,38.89905263,Medium
355,PortB,PortZ,1,4,2,20,2,27,1150,16,irregular,congested areas,916,314894,32093,882283,non-compliant,no,not in place,hazardous,container,14,269504,20337.76,24.35080752,Low
356,PortB,PortX,0,3,2,94,0,17,1760,15,irregular,clear,694,353464,43184,804075,compliant,no,not in place,hazardous,container,13,389619,23088.19,29.80655937,Low
357,PortC,PortX,0,4,1,94,2,18,1167,14,regular,clear,872,470396,64860,944365,non-compliant,no,in place,non-hazardous,bulk carrier,10,169164,30642.59,44.79146417,Medium
358,PortB,PortX,1,2,0,16,1,21,1706,13,irregular,clear,979,492648,37769,1035463,non-compliant,yes,not in place,non-hazardous,container,11,390343,31321.82,46.13878453,Medium
359,PortC,PortZ,0,1,6,26,0,21,1725,13,irregular,clear,623,489433,30669,901373,compliant,no,not in place,non-hazardous,container,12,272828,30848.55,45.20000635,Medium
360,PortC,PortY,0,2,0,57,1,22,1281,16,regular,congested areas,715,342428,42184,620374,non-compliant,no,not in place,hazardous,bulk carrier,0,299961,22281.92,28.20724252,Low
361,PortA,PortY,0,4,2,23,2,28,1417,17,irregular,clear,750,468148,31903,1140307,non-compliant,yes,in place,non-hazardous,bulk carrier,14,393850,29560.105,42.64424736,Medium
362,PortB,PortZ,1,3,3,72,1,19,1278,13,regular,clear,937,291977,29409,978533,compliant,no,not in place,non-hazardous,bulk carrier,16,357877,18914.775,21.52817505,Low
363,PortC,PortZ,1,4,1,73,1,16,1457,15,regular,clear,649,300217,38537,893056,compliant,no,not in place,hazardous,container,8,455392,19669.58,23.02540594,Low
364,PortA,PortZ,0,3,0,84,2,14,1438,10,regular,congested areas,805,174616,33195,1078573,compliant,no,in place,non-hazardous,container,13,253049,11998.86,7.809768831,Low
365,PortB,PortX,0,3,0,86,1,17,1655,13,regular,clear,934,500925,36454,1178695,non-compliant,yes,not in place,hazardous,bulk carrier,13,341929,31755.615,46.99926012,Medium
366,PortA,PortZ,1,0,6,74,1,19,1762,14,regular,clear,678,302825,51156,529713,compliant,no,not in place,non-hazardous,container,16,438877,20286.455,24.24903895,Low
367,PortA,PortX,0,1,4,43,2,27,1779,13,irregular,clear,669,359183,44878,1015139,compliant,no,not in place,non-hazardous,bulk carrier,12,386119,23484.71,30.59309628,Medium
368,PortC,PortY,0,4,2,18,1,17,1387,13,regular,congested areas,626,296802,39349,736002,non-compliant,no,in place,non-hazardous,container,14,392559,19467.175,22.62391547,Low
369,PortB,PortZ,1,3,3,86,2,20,1458,13,irregular,clear,870,428653,50892,1024866,non-compliant,yes,in place,non-hazardous,bulk carrier,6,460804,27792.305,39.13763999,Medium
370,PortA,PortZ,1,4,1,46,1,19,1163,15,regular,congested areas,649,335418,49207,969189,non-compliant,yes,in place,non-hazardous,container,6,309375,22029.295,27.70613567,Low
371,PortC,PortX,1,4,0,39,2,24,1338,14,irregular,congested areas,891,260030,20500,1045358,non-compliant,no,in place,hazardous,bulk carrier,14,288316,16739.125,17.21255658,Low
372,PortC,PortX,0,3,6,50,2,30,1692,10,regular,clear,846,405712,48230,875112,non-compliant,no,in place,hazardous,bulk carrier,10,407590,26391.85,36.35969802,Medium
373,PortA,PortX,0,2,4,54,1,17,1823,10,regular,congested areas,863,252054,39511,669013,compliant,no,in place,non-hazardous,bulk carrier,4,335056,16942.815,17.61659598,Low
374,PortA,PortY,0,1,2,56,1,18,1253,13,regular,clear,678,306118,36363,882444,compliant,yes,not in place,hazardous,container,13,462220,19912.3,23.50686524,Low
375,PortC,PortY,0,1,2,16,1,24,1381,15,irregular,congested areas,986,200797,46775,1011027,compliant,yes,in place,non-hazardous,container,5,386977,14001.205,11.78161957,Low
376,PortA,PortZ,1,0,6,23,0,22,1494,9,irregular,congested areas,789,250466,34817,1102308,non-compliant,no,in place,non-hazardous,container,25,287664,16611.225,16.95885419,Low
377,PortA,PortZ,0,0,1,57,0,27,1556,14,irregular,clear,646,383474,35049,774225,compliant,no,in place,non-hazardous,bulk carrier,1,383838,24585.84,32.77729731,Medium
378,PortB,PortX,0,0,0,15,0,22,1338,13,regular,clear,960,205823,27965,1104059,non-compliant,yes,in place,non-hazardous,bulk carrier,12,259730,13720.83,11.22546783,Low
379,PortC,PortY,1,1,1,43,2,18,1584,17,regular,congested areas,953,253742,34531,852819,non-compliant,yes,not in place,non-hazardous,bulk carrier,6,444692,16853.75,17.43992669,Low
380,PortA,PortZ,1,2,6,89,1,22,1405,14,irregular,congested areas,951,360324,30513,1004367,compliant,no,not in place,hazardous,bulk carrier,16,210284,23084.555,29.79934898,Low
381,PortC,PortX,0,1,6,55,2,24,1497,15,regular,congested areas,788,330121,37096,873515,compliant,yes,in place,hazardous,bulk carrier,9,472206,21459.72,26.57632693,Low
382,PortB,PortX,1,1,1,68,0,23,1609,15,irregular,congested areas,855,528467,40112,977325,non-compliant,no,not in place,hazardous,bulk carrier,17,382087,33492.63,50.44480237,Medium
383,PortC,PortY,1,1,5,79,1,22,1501,10,regular,clear,821,513388,62493,1083781,non-compliant,no,in place,hazardous,bulk carrier,15,333543,33224.87,49.91367375,Medium
384,PortC,PortY,0,1,4,17,2,24,1412,16,irregular,congested areas,971,301882,46214,765947,compliant,yes,not in place,non-hazardous,bulk carrier,6,426333,20054.705,23.78933974,Low
385,PortC,PortZ,0,2,2,33,1,24,1478,15,irregular,congested areas,840,414627,37282,848014,compliant,no,in place,hazardous,bulk carrier,8,401132,26541.715,36.65697017,Medium
386,PortB,PortZ,0,0,5,76,2,25,1482,16,regular,clear,868,434094,42530,977744,non-compliant,no,in place,non-hazardous,container,10,483038,27873.365,39.29843058,Medium
387,PortB,PortX,0,4,3,13,1,22,1425,22,irregular,congested areas,600,326307,55374,1310237,non-compliant,no,in place,non-hazardous,bulk carrier,11,482106,21724.305,27.10115763,Low
388,PortC,PortX,1,0,2,10,0,19,1448,10,regular,clear,633,249618,41257,820521,non-compliant,no,in place,hazardous,container,11,385229,16709.225,17.15324695,Low
389,PortC,PortX,1,0,2,43,0,20,1819,18,regular,clear,678,362157,31860,1256020,non-compliant,no,not in place,hazardous,bulk carrier,15,262822,23281.8,30.19060409,Medium
390,PortB,PortZ,0,4,4,18,1,24,1612,14,regular,clear,835,350964,54731,1250663,compliant,no,in place,non-hazardous,container,13,295849,23277.89,30.18284821,Medium
391,PortA,PortY,0,1,3,72,2,16,1440,15,irregular,congested areas,933,332280,29676,935403,compliant,no,not in place,non-hazardous,bulk carrier,8,342835,21379.765,26.41772822,Low
392,PortB,PortZ,1,2,0,85,0,21,1639,14,irregular,clear,976,408293,35032,905277,non-compliant,yes,not in place,non-hazardous,container,7,458172,26160.76,35.90130799,Medium
393,PortC,PortY,0,2,3,19,0,18,1433,14,irregular,clear,948,305159,48000,846190,non-compliant,yes,not in place,hazardous,bulk carrier,7,304361,20303.475,24.28279981,Low
394,PortA,PortZ,0,0,0,19,0,20,1734,13,regular,clear,697,273475,57393,939769,compliant,no,in place,non-hazardous,bulk carrier,13,312705,18708.59,21.11918657,Low
395,PortA,PortZ,0,4,3,59,1,25,1573,15,regular,congested areas,681,385468,42223,738992,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,534835,24933.055,33.46603284,Medium
396,PortA,PortY,0,3,1,53,1,20,1478,11,irregular,congested areas,791,397856,36637,938564,non-compliant,no,not in place,non-hazardous,container,22,339570,25505.795,34.60211967,Medium
397,PortB,PortZ,1,1,6,57,2,20,1589,16,regular,congested areas,852,270194,27768,1174532,non-compliant,no,not in place,non-hazardous,bulk carrier,11,286526,17619.88,18.95962185,Low
398,PortB,PortZ,0,0,3,96,2,14,1185,14,regular,congested areas,637,445630,39904,858337,non-compliant,yes,in place,hazardous,container,12,427664,28363.36,40.27038446,Medium
399,PortB,PortX,1,2,5,15,2,22,1274,12,irregular,clear,613,225580,34821,913891,non-compliant,no,not in place,hazardous,container,2,344386,15028.975,13.82030373,Low
400,PortB,PortY,0,4,5,97,1,22,1261,14,irregular,clear,991,314302,38283,694828,non-compliant,no,in place,non-hazardous,container,5,211040,20528.235,24.72863366,Low
401,PortC,PortY,0,4,4,33,1,28,1528,17,regular,clear,946,352063,50470,1006109,compliant,yes,not in place,hazardous,container,6,454091,23218.27,30.064586,Medium
402,PortA,PortX,1,0,6,94,2,18,1846,13,regular,congested areas,909,312866,39899,989672,non-compliant,yes,not in place,non-hazardous,container,9,275296,20618.78,24.90823868,Low
403,PortC,PortY,0,3,6,67,2,20,1946,15,irregular,clear,985,322513,47190,959555,compliant,yes,in place,hazardous,bulk carrier,4,354358,21457.285,26.57149686,Low
404,PortB,PortX,1,2,0,73,1,20,1627,13,irregular,congested areas,808,516845,40697,917475,compliant,yes,in place,hazardous,container,6,343186,32807.235,49.08525313,Medium
405,PortB,PortY,0,0,2,65,2,26,1600,16,regular,congested areas,956,300579,45851,906086,compliant,yes,not in place,hazardous,container,15,373010,20009.45,23.69957194,Low
406,PortC,PortY,0,3,4,91,0,19,1139,16,regular,congested areas,688,551842,54663,1025285,non-compliant,yes,in place,hazardous,container,7,130892,35179.255,53.79039105,Medium
407,PortA,PortY,0,4,5,21,1,21,1391,18,regular,clear,655,400794,46886,945677,non-compliant,no,not in place,non-hazardous,container,11,316490,25940.615,35.46462845,Medium
408,PortA,PortY,0,1,5,44,2,22,1342,14,irregular,clear,693,380488,33590,997245,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,462483,24318.625,32.24724974,Medium
409,PortB,PortX,0,2,0,80,1,20,1375,16,regular,congested areas,692,411926,36323,982247,compliant,yes,in place,non-hazardous,bulk carrier,16,476544,26293.85,36.16530526,Medium
410,PortB,PortX,1,2,5,98,0,18,1466,15,regular,clear,939,564937,35164,1118514,compliant,no,in place,hazardous,bulk carrier,13,250870,35511.49,54.44941226,Medium
411,PortB,PortY,1,3,5,15,1,20,1405,17,regular,congested areas,684,292615,41168,1051549,non-compliant,no,in place,hazardous,container,13,442059,19287.69,22.26788909,Low
412,PortB,PortZ,0,0,0,74,1,24,1104,13,regular,clear,844,274059,48757,978929,non-compliant,yes,not in place,non-hazardous,container,16,273857,18358.02,20.42379605,Low
413,PortA,PortX,0,4,5,89,1,15,1649,16,regular,congested areas,621,305238,39197,1177763,compliant,no,not in place,hazardous,container,14,312546,20032.735,23.74576006,Low
414,PortC,PortY,1,3,2,69,1,20,1285,14,regular,congested areas,890,368461,46271,1013040,compliant,no,not in place,hazardous,bulk carrier,17,317801,24002.57,31.62032317,Medium
415,PortA,PortX,1,1,1,77,0,17,1547,14,irregular,congested areas,871,229982,39439,1145744,compliant,no,in place,non-hazardous,container,1,360880,15549.07,14.85196396,Low
416,PortC,PortZ,0,1,4,38,1,24,1914,15,irregular,clear,905,374293,26996,1041041,non-compliant,no,in place,hazardous,bulk carrier,11,450136,23934.755,31.48580536,Medium
417,PortB,PortZ,0,1,2,47,1,13,1316,15,irregular,clear,721,504306,27423,673712,compliant,no,in place,non-hazardous,container,12,376458,31558.76,46.60877862,Medium
418,PortB,PortZ,1,3,2,31,2,17,993,14,regular,clear,727,378981,31470,1145725,compliant,no,not in place,hazardous,container,11,337386,24083.315,31.78048892,Medium
419,PortC,PortY,0,4,1,17,1,21,1442,15,irregular,clear,712,348921,44069,970276,compliant,no,in place,non-hazardous,bulk carrier,12,446731,22767.81,29.17105373,Low
420,PortB,PortY,1,2,6,72,2,26,1720,18,regular,clear,872,314033,17845,942206,non-compliant,yes,in place,hazardous,container,9,269733,19990.66,23.6623001,Low
421,PortA,PortZ,0,0,4,22,0,19,1891,16,regular,congested areas,935,438994,45335,992202,non-compliant,no,not in place,hazardous,bulk carrier,15,342278,28365.305,40.27424256,Medium
422,PortB,PortX,1,2,2,36,0,17,1254,16,regular,clear,729,306412,63515,898252,non-compliant,yes,in place,hazardous,container,9,449578,20755.205,25.17885126,Low
423,PortB,PortX,1,4,5,27,0,27,1599,14,regular,congested areas,731,517858,38211,984054,compliant,no,in place,hazardous,bulk carrier,10,402930,32773.185,49.01771156,Medium
424,PortB,PortZ,0,2,1,27,0,14,1406,13,regular,clear,684,519837,27244,861218,compliant,no,not in place,hazardous,container,19,303369,32500.34,48.47649633,Medium
425,PortB,PortY,1,3,6,86,2,11,1478,16,irregular,clear,949,380475,29344,1141140,compliant,yes,not in place,non-hazardous,container,18,198704,24273.52,32.15777948,Medium
426,PortA,PortX,0,1,4,95,1,21,2028,16,irregular,clear,989,368133,30639,932961,compliant,no,not in place,hazardous,container,12,381085,23718.84,31.05751645,Medium
427,PortC,PortX,0,4,3,71,0,17,1199,17,irregular,congested areas,680,442059,30936,892612,non-compliant,no,not in place,non-hazardous,container,8,192132,27894.23,39.33981838,Medium
428,PortB,PortX,0,4,0,23,1,15,1550,13,regular,clear,924,454021,42168,811261,compliant,yes,not in place,non-hazardous,container,3,328749,29084.095,41.70003412,Medium
429,PortB,PortY,0,2,5,20,2,22,1593,14,irregular,congested areas,668,308915,50593,990316,compliant,no,not in place,non-hazardous,bulk carrier,11,467894,20592.635,24.85637747,Low
430,PortA,PortZ,1,3,1,95,2,20,1717,11,regular,clear,747,328359,41029,978066,non-compliant,no,in place,hazardous,bulk carrier,14,409675,21518.64,26.69320062,Low
431,PortA,PortY,0,2,0,26,2,17,1519,14,irregular,congested areas,615,251593,38276,1008263,compliant,yes,in place,non-hazardous,container,8,147634,16752.91,17.2399005,Low
432,PortA,PortX,0,2,6,60,0,14,1561,16,irregular,congested areas,906,401227,46914,795912,compliant,yes,not in place,hazardous,bulk carrier,12,370045,26057.665,35.69680878,Medium
433,PortB,PortZ,0,4,6,23,1,23,1421,14,irregular,congested areas,704,419234,75601,709822,compliant,no,not in place,hazardous,bulk carrier,10,318083,27926.82,39.40446389,Medium
434,PortC,PortY,0,2,3,66,1,22,1553,16,irregular,congested areas,764,253137,67377,1043838,non-compliant,yes,in place,hazardous,bulk carrier,3,222628,17758.245,19.23408261,Low
435,PortA,PortZ,1,1,2,15,1,19,1431,14,irregular,clear,800,332759,28119,1172696,compliant,no,not in place,non-hazardous,bulk carrier,12,383502,21333.59,26.32613551,Low
436,PortA,PortX,0,2,2,66,2,27,1624,15,irregular,clear,796,257260,56602,796046,non-compliant,no,not in place,hazardous,container,14,300826,17708.14,19.13469435,Low
437,PortA,PortY,1,1,4,13,0,15,1426,12,regular,congested areas,784,293168,38016,1188416,compliant,yes,in place,hazardous,bulk carrier,12,301446,19248.905,22.19095518,Low
438,PortC,PortZ,1,4,1,20,2,13,1575,15,regular,clear,921,412201,38261,992586,non-compliant,yes,in place,hazardous,bulk carrier,20,362404,26463.645,36.50211055,Medium
439,PortB,PortY,1,3,1,83,2,17,1494,9,regular,congested areas,864,305692,37990,948940,non-compliant,yes,not in place,non-hazardous,container,10,287411,20034.545,23.74935037,Low
440,PortB,PortX,0,1,6,20,1,19,1725,14,regular,clear,962,343912,29439,890367,non-compliant,yes,not in place,non-hazardous,container,9,359573,22147.615,27.94083517,Low
441,PortB,PortZ,0,3,4,88,2,20,1489,11,regular,clear,699,234348,56398,742322,compliant,no,in place,non-hazardous,container,22,290667,16271.89,16.28574942,Low
442,PortA,PortX,0,3,0,17,1,19,1145,17,irregular,clear,941,379766,28681,1098159,compliant,yes,not in place,non-hazardous,container,5,296153,24127.51,31.8681541,Medium
443,PortB,PortZ,0,1,2,93,0,21,1752,16,regular,congested areas,919,368922,49624,833659,non-compliant,yes,in place,hazardous,container,8,449292,24252.225,32.11553873,Medium
444,PortA,PortX,1,4,2,68,1,14,1318,15,regular,clear,813,314656,57455,833028,non-compliant,no,in place,non-hazardous,container,13,459467,21101.07,25.86490893,Low
445,PortC,PortX,1,0,6,30,0,25,1369,18,regular,congested areas,877,343835,48502,1098788,compliant,no,not in place,hazardous,container,17,179134,22610.635,28.85928146,Low
446,PortC,PortY,0,3,1,74,1,19,1380,13,regular,clear,761,385658,36879,667552,non-compliant,no,in place,non-hazardous,container,16,424707,24749.605,33.10214149,Medium
447,PortB,PortX,0,3,6,33,2,24,1774,18,regular,congested areas,756,309303,48240,721460,compliant,no,in place,hazardous,bulk carrier,6,489859,20608.56,24.88796629,Low
448,PortA,PortY,0,4,1,39,2,21,1072,16,regular,clear,850,257185,46422,947279,compliant,no,in place,non-hazardous,container,20,505737,17269.265,18.26414207,Low
449,PortA,PortX,0,4,4,93,0,21,2127,14,regular,congested areas,965,514547,27334,993992,non-compliant,no,not in place,non-hazardous,bulk carrier,14,402037,32425.205,48.32745857,Medium
450,PortB,PortX,0,2,3,66,0,22,1711,17,regular,congested areas,696,311551,38118,1022710,non-compliant,no,not in place,non-hazardous,container,7,244260,20410.81,24.49570947,Low
451,PortC,PortX,0,4,0,89,0,21,1544,12,regular,congested areas,617,362909,33984,904730,compliant,no,not in place,hazardous,container,8,412998,23310.755,30.24803921,Medium
452,PortC,PortZ,0,3,5,82,1,22,1489,13,irregular,clear,926,444020,53195,1329555,compliant,no,in place,hazardous,bulk carrier,12,263074,28802.175,41.14081772,Medium
453,PortC,PortY,1,1,3,26,1,25,1557,13,regular,congested areas,982,648109,64704,915816,compliant,yes,in place,non-hazardous,container,22,315703,41421.375,66.17225777,High
454,PortC,PortZ,1,0,3,68,0,20,1604,13,regular,clear,696,269856,25329,915382,non-compliant,yes,not in place,non-hazardous,container,13,388308,17497.54,18.71694827,Low
455,PortC,PortY,1,2,1,40,2,22,1629,12,irregular,congested areas,600,399462,31912,830451,compliant,no,in place,non-hazardous,bulk carrier,22,269524,25460.635,34.51254032,Medium
456,PortB,PortX,1,1,1,73,1,19,1611,17,irregular,congested areas,815,305163,18370,968586,non-compliant,yes,in place,non-hazardous,bulk carrier,16,235359,19433.56,22.55723677,Low
457,PortB,PortZ,0,0,1,57,1,25,1517,14,regular,congested areas,731,326725,29572,1042244,non-compliant,no,not in place,non-hazardous,bulk carrier,5,396577,21023.835,25.71170562,Low
458,PortB,PortY,0,0,3,32,1,17,1460,15,regular,clear,859,319219,69016,1130536,compliant,no,in place,non-hazardous,bulk carrier,19,536722,21765.385,27.1826439,Low
459,PortC,PortX,0,0,6,79,0,27,1469,13,regular,clear,724,283663,33778,726607,non-compliant,no,in place,hazardous,bulk carrier,7,474323,18552.875,20.81031035,Low
