Route,POL,POD,Total_Travel_Days,Leg_1_Travel_Days,Leg_1_Distance,Leg_2_Travel_Days,Leg_2_Distance,Leg_3_Travel_Days,Leg_3_Distance,No_Of_Travels,Vessel_Age,Vessel_Capacity,Port_Congestion_Level,Port_Security_Rating,Cargo_Value,Freight_Rates,Incident_Date,Recent_Incidents_10Days,Recent_Incidents_5Months,Older_Incidents,Risk_Score
Route 193,Tokyo,New York,32,9,1696,14,4033,6,3571,55,11,3528,5,2,54410,313,2026-09-06,1,21,63,6225.144991538886
Route 194,Singapore,Hamburg,35,9,1961,6,2809,7,3989,68,11,3198,6,1,112970,209,2026-09-13,1,21,63,12008.966684470528
Route 195,Tokyo,New York,28,6,2212,13,4925,13,2865,38,11,3006,4,1,68807,273,2026-09-20,1,21,63,7548.6878490610825
Route 196,Hong Kong,Rotterdam,25,6,2209,12,3908,10,5029,32,10,2993,4,3,86152,265,2026-09-27,1,21,63,9272.86304982774
Route 197,Hong Kong,Hamburg,24,3,1111,7,3822,8,2205,62,13,2522,2,2,151238,257,2026-10-04,1,21,63,15703.538754939887
Route 198,Shanghai,New York,20,8,2531,6,4655,11,4539,49,10,3253,4,2,145446,500,2026-10-11,1,21,63,15285.948428021375
Route 199,Mumbai,Los Angeles,40,8,2126,11,4963,7,3673,66,6,2979,-1,2,50146,255,2026-10-18,1,21,63,5685.341945565063
Route 200,Tokyo,Hamburg,24,6,2692,7,3979,14,2829,31,7,2749,3,3,47137,219,2026-10-25,1,21,63,5317.968100546046
Route 201,Singapore,Hamburg,28,9,2222,10,3228,14,4202,14,2,3553,4,2,79441,223,2026-11-01,1,21,63,8699.089875910602
Route 202,Hong Kong,Los Angeles,28,6,2550,8,2226,8,2443,39,18,2374,6,2,98662,404,2026-11-08,1,21,63,10423.876949933006
Route 203,Shanghai,Antwerp,31,8,2233,4,3313,8,4039,34,13,2788,4,4,67105,134,2026-11-15,1,21,63,7316.691316257889
Route 204,Shanghai,Rotterdam,34,4,2673,3,3382,2,2577,48,6,3513,5,4,152032,223,2026-11-22,1,21,63,15970.873030315237
Route 205,Tokyo,Antwerp,34,6,2261,10,4107,5,4461,37,8,3157,0,1,117369,444,2026-11-29,1,21,63,12445.66208017465
Route 206,Hong Kong,New York,27,6,1951,8,3654,5,3075,64,7,2976,4,3,120304,324,2026-12-06,1,21,63,12707.525370400323
Route 207,Mumbai,Los Angeles,29,7,3136,8,4687,10,3549,44,16,3125,1,2,36673,319,2026-12-13,1,21,63,4362.8088493435525
Route 208,Hong Kong,Antwerp,31,6,2444,12,3387,9,4293,53,4,3089,2,2,158364,513,2026-12-20,1,21,63,16546.274965707387
Route 209,Tokyo,Hamburg,28,6,2286,13,3942,5,3227,53,10,2241,4,3,-41008,324,2026-12-27,1,21,63,0.0
Route 210,Tokyo,New York,38,8,1361,9,5183,9,3942,53,9,2825,7,2,141702,229,2027-01-03,1,21,63,14806.329298334647
Route 211,Hong Kong,New York,32,6,1355,8,4341,11,2486,49,13,3808,5,3,146715,271,2027-01-10,1,21,63,15504.201607740919
Route 212,Tokyo,Antwerp,33,3,2146,11,3939,11,4630,60,9,2670,5,3,78379,186,2027-01-17,1,21,63,8441.909336631734
Route 213,Hong Kong,Antwerp,33,10,2072,5,3398,4,5764,34,2,2840,4,3,163645,425,2027-01-24,1,21,63,17008.24064658338
Route 214,Singapore,Los Angeles,35,9,1692,10,3366,9,6792,77,8,2729,3,2,96845,357,2027-01-31,1,21,63,10320.72583151105
Route 215,Hong Kong,Rotterdam,30,4,2070,11,3149,5,4091,45,6,2956,3,2,103121,412,2027-02-07,1,21,63,10986.478713045202
Route 216,Hong Kong,Antwerp,23,8,2794,12,3458,12,4788,23,10,2708,5,1,116976,421,2027-02-14,1,21,63,12311.274035244149
Route 217,Tokyo,Antwerp,31,5,2347,4,4755,12,2219,53,15,3243,2,2,259328,258,2027-02-21,1,21,63,26651.314556812238
Route 218,Tokyo,Hamburg,26,7,1429,7,3778,7,5502,32,3,3098,6,4,167221,205,2027-02-28,1,21,63,17396.041142918803
Route 219,Shanghai,New York,27,7,1944,7,2650,7,4776,63,6,3386,4,2,135056,294,2027-03-07,1,21,63,14259.714810500183
Route 220,Shanghai,Rotterdam,32,6,1597,10,5768,8,3516,94,7,2474,6,1,54359,212,2027-03-14,1,21,63,6011.8219316076575
Route 221,Singapore,Hamburg,36,5,1806,11,4319,3,5237,34,8,2829,6,3,107179,316,2027-03-21,1,21,63,11352.171946318533
Route 222,Shanghai,Los Angeles,30,5,1793,14,2593,11,3745,56,12,2887,1,2,59343,413,2027-03-28,1,21,63,6600.989868111284
Route 223,Hong Kong,Los Angeles,31,5,1761,8,3558,9,3541,14,9,3227,3,2,141105,283,2027-04-04,1,21,63,14812.175884059985
Route 224,Tokyo,Antwerp,38,5,1372,8,4110,12,4475,59,11,2603,3,4,107023,314,2027-04-11,1,21,63,11303.34428738439
Route 225,Shanghai,Antwerp,31,6,1936,13,5704,6,2936,32,7,3457,1,3,43773,290,2027-04-18,1,21,63,5129.9025531518355
Route 226,Shanghai,Los Angeles,43,5,1719,10,2891,8,5021,37,10,3593,2,2,104056,380,2027-04-25,1,21,63,11199.769978854758
Route 227,Singapore,Antwerp,32,8,535,13,4976,5,2944,27,13,2505,9,2,57529,233,2027-05-02,1,21,63,6312.099640730638
Route 228,Singapore,Rotterdam,21,9,3026,10,5399,6,2949,64,7,2754,6,2,107560,80,2027-05-09,1,21,63,11367.376562366273
Route 229,Hong Kong,Antwerp,33,5,2544,6,3371,6,3090,70,13,2734,8,3,57046,347,2027-05-16,1,21,63,6340.910744753867
Route 230,Tokyo,New York,31,7,1811,6,3722,12,4759,50,10,4316,6,2,101374,398,2027-05-23,1,21,63,11083.268842054866
Route 231,Singapore,Antwerp,36,7,2009,5,2963,7,3383,32,14,2785,3,1,137523,344,2027-05-30,1,21,63,14376.668911160483
Route 232,Shanghai,Hamburg,33,7,1414,11,3796,10,2652,81,9,3838,4,2,97347,235,2027-06-06,1,21,63,10584.874924173451
Route 233,Tokyo,Rotterdam,29,7,2847,13,3963,8,3394,34,11,2366,6,1,80455,186,2027-06-13,1,21,63,8569.303476663537
Route 234,Tokyo,Hamburg,23,8,2948,15,4659,6,3967,6,9,2505,5,5,110163,349,2027-06-20,1,21,63,11575.652174745726
Route 235,Shanghai,Hamburg,28,7,2078,12,5090,9,2819,59,9,2656,3,2,134859,314,2027-06-27,1,21,63,14096.475670243733
Route 236,Singapore,New York,25,4,2511,13,3251,11,2848,27,11,2577,1,2,44640,287,2027-07-04,1,21,63,5040.270140404916
Route 237,Shanghai,Rotterdam,27,8,2087,8,2032,6,6111,69,12,2866,11,3,113032,482,2027-07-11,1,21,63,11979.576450473005
Route 238,Tokyo,Rotterdam,32,8,1331,6,3978,12,3139,42,5,2645,4,2,165877,205,2027-07-18,1,21,63,17177.565956495062
Route 239,Mumbai,Rotterdam,38,5,1794,12,4293,7,3676,62,15,2590,4,2,128682,477,2027-07-25,1,21,63,13485.943986930855
Route 240,Mumbai,Rotterdam,31,7,2065,11,4249,8,3632,78,2,3579,5,3,102887,303,2027-08-01,1,21,63,11088.585845617248
Route 241,Hong Kong,Rotterdam,24,8,1772,10,3673,11,3578,25,7,3611,4,4,131986,116,2027-08-08,1,21,63,13961.421641900604
Route 242,Shanghai,New York,32,6,1890,11,4124,8,4621,38,9,3474,5,3,122624,282,2027-08-15,1,21,63,13020.740652373173
Route 243,Shanghai,Antwerp,35,9,1954,10,5515,10,4948,48,11,3261,7,4,137680,395,2027-08-22,1,21,63,14504.302566665552
Route 244,Hong Kong,Hamburg,26,11,1959,13,4381,9,3694,80,16,3046,4,1,-1196,263,2027-08-29,1,21,63,573.09972215752
Route 245,Hong Kong,Rotterdam,29,5,2026,13,3626,10,2763,36,2,2751,2,3,22327,152,2027-09-05,1,21,63,2833.6667842871666
Route 246,Hong Kong,Antwerp,30,4,1469,11,3499,2,5274,38,7,2523,4,3,150241,283,2027-09-12,1,21,63,15595.94594661669
Route 247,Tokyo,Antwerp,26,7,1641,12,3830,4,3904,59,1,3181,4,3,24736,214,2027-09-19,1,21,63,3174.4419674620995
Route 248,Shanghai,Hamburg,33,8,1357,11,5636,11,5730,38,10,2413,7,4,120076,349,2027-09-26,1,21,63,12562.928902930813
Route 249,Tokyo,New York,29,6,2488,8,3816,13,1754,53,11,2503,7,2,82397,377,2027-10-03,1,21,63,8823.233241962726
Route 250,Hong Kong,Los Angeles,32,9,947,12,3980,7,4195,18,16,3576,5,2,50190,194,2027-10-10,1,21,63,5784.167966320939
Route 251,Shanghai,Los Angeles,25,4,2576,5,3517,9,5918,94,10,3950,2,3,117482,229,2027-10-17,1,21,63,12629.118686751219
Route 252,Tokyo,Antwerp,27,8,2693,13,5098,10,3646,23,14,3196,2,1,110051,375,2027-10-24,1,21,63,11708.129015214263
Route 253,Tokyo,Hamburg,33,5,1848,6,5959,12,3774,43,12,3553,5,2,205517,214,2027-10-31,1,21,63,21323.16363856495
Route 254,Hong Kong,Los Angeles,28,10,698,10,4450,3,4295,49,8,2877,5,2,68759,191,2027-11-07,1,21,63,7511.767966608881
Route 255,Shanghai,Antwerp,38,10,1819,7,4082,7,3441,88,4,2331,4,2,172005,182,2027-11-14,1,21,63,17742.098660290227
Route 256,Hong Kong,New York,28,5,1967,11,4036,9,3687,23,11,3306,4,4,117621,335,2027-11-21,1,21,63,12486.229779961393
Route 257,Shanghai,Los Angeles,31,5,1494,9,1615,12,3662,89,4,3284,3,1,66948,330,2027-11-28,1,21,63,7445.355537888701
Route 258,Mumbai,Antwerp,34,8,1742,5,4745,17,3372,65,15,3035,4,2,139962,231,2027-12-05,1,21,63,14677.542642194321
Route 259,Singapore,Antwerp,22,6,2765,11,4134,9,5228,58,9,2878,0,3,128286,300,2027-12-12,1,21,63,13477.210757662786
Route 260,Singapore,Rotterdam,21,6,2332,8,4428,5,4461,30,14,3481,2,4,101792,452,2027-12-19,1,21,63,10960.748165396022
Route 261,Singapore,New York,22,7,1537,12,3288,11,4250,61,8,2507,3,2,113314,202,2027-12-26,1,21,63,11901.032355730411
Route 262,Hong Kong,Rotterdam,36,3,1201,10,3615,13,4808,35,11,2613,7,3,70150,104,2028-01-02,1,21,63,7584.823388260213
Route 263,Mumbai,Hamburg,27,6,1836,11,3588,10,3735,75,10,2495,3,3,58710,345,2028-01-09,1,21,63,6457.804147273866
Route 264,Shanghai,Rotterdam,42,5,1893,7,5021,7,3225,30,9,3042,5,3,137972,288,2028-01-16,1,21,63,14468.021412323942
Route 265,Tokyo,Rotterdam,27,6,2248,8,3621,12,3397,47,8,2456,5,1,88803,228,2028-01-23,1,21,63,9434.471572431918
Route 266,Shanghai,Los Angeles,30,9,1732,8,6082,11,4001,38,11,2657,7,1,95995,365,2028-01-30,1,21,63,10200.92295317457
Route 267,Tokyo,Antwerp,37,4,2255,12,4430,6,2940,30,6,2647,7,3,113991,383,2028-02-06,1,21,63,11997.259489119971
Route 268,Shanghai,New York,40,8,2967,15,2724,11,3499,64,5,2869,4,2,113264,79,2028-02-13,1,21,63,11957.989852035349
Route 269,Mumbai,Rotterdam,40,6,2407,7,3871,12,3483,60,14,2256,4,3,28533,234,2028-02-20,1,21,63,3381.188035300001
Route 270,Tokyo,New York,36,6,1975,13,3348,13,6124,74,12,3043,3,3,164312,531,2028-02-27,1,21,63,17149.234330810086
Route 271,Hong Kong,Rotterdam,35,8,1908,3,1805,9,1226,14,10,3623,4,2,106059,358,2028-03-05,1,21,63,11393.306166556587
Route 272,Shanghai,Hamburg,32,7,1821,6,5599,8,3820,71,16,3067,4,1,89867,367,2028-03-12,1,21,63,9691.188489382836
Route 273,Shanghai,Rotterdam,33,8,2590,7,4703,13,5725,100,8,3770,6,3,121542,417,2028-03-19,1,21,63,13017.72690767864
Route 274,Tokyo,Los Angeles,27,8,1686,5,4533,6,4121,40,15,3666,5,1,111827,301,2028-03-26,1,21,63,11987.281958055239
Route 275,Hong Kong,Antwerp,25,6,2022,5,4165,11,4753,87,10,3388,6,2,138353,379,2028-04-02,1,21,63,14615.82555457836
Route 276,Hong Kong,Hamburg,29,5,2025,11,2617,5,4099,44,5,3037,7,2,126899,371,2028-04-09,1,21,63,13375.902193386932
Route 277,Mumbai,Rotterdam,29,4,1749,9,3516,13,3332,22,17,3011,8,2,135892,353,2028-04-16,1,21,63,14256.26727384923
Route 278,Hong Kong,New York,27,5,1313,11,4841,9,1758,43,13,3381,5,4,167549,267,2028-04-23,1,21,63,17498.866082219374
Route 279,Hong Kong,Hamburg,33,12,2161,12,2948,13,4205,70,9,2804,7,2,144181,317,2028-04-30,1,21,63,15064.255049368954
Route 280,Hong Kong,Hamburg,34,9,1969,10,1468,11,3224,33,12,2058,4,2,91975,241,2028-05-07,1,21,63,9667.580644072985
Route 281,Singapore,Rotterdam,30,4,2250,11,3772,6,3199,37,8,3246,7,1,43854,301,2028-05-14,1,21,63,5101.375715086832
Route 282,Mumbai,Hamburg,37,4,1733,9,3858,14,3501,61,13,2434,7,3,183389,183,2028-05-21,1,21,63,18895.84115362334
Route 283,Shanghai,New York,24,7,2610,6,4135,14,5744,50,0,2518,7,2,88113,220,2028-05-28,1,21,63,9379.305619503912
Route 284,Tokyo,Hamburg,29,8,1561,13,4728,12,6404,61,5,3000,5,3,76344,271,2028-06-04,1,21,63,8312.271740304444
Route 285,Shanghai,New York,26,8,2856,8,4637,7,4217,54,13,2952,3,2,13163,205,2028-06-11,1,21,63,1972.0411177905505
Route 286,Mumbai,Rotterdam,20,6,1126,7,4258,9,3535,59,9,2293,2,3,116923,249,2028-06-18,1,21,63,12220.071933670322
Route 287,Tokyo,Antwerp,29,6,2217,9,5195,10,2822,41,10,3082,4,2,107444,283,2028-06-25,1,21,63,11428.116469188031
Route 288,Mumbai,Hamburg,29,7,2237,7,2481,7,4468,54,4,3483,8,2,24244,340,2028-07-02,1,21,63,3202.56762206237
Route 289,Hong Kong,Antwerp,37,7,1602,8,4504,15,5782,31,17,2435,4,3,122663,394,2028-07-09,1,21,63,12827.546048280092
Route 290,Tokyo,New York,33,2,2212,11,4626,10,3752,75,14,3636,6,5,75090,253,2028-07-16,1,21,63,8320.973693954125
Route 291,Hong Kong,Hamburg,24,6,2639,11,2760,1,1621,37,9,2219,6,3,234515,433,2028-07-23,1,21,63,23976.791491584943
Route 292,Shanghai,Los Angeles,39,5,891,7,2497,11,4670,72,8,4058,4,2,71531,393,2028-07-30,1,21,63,8057.58288409469
Route 293,Shanghai,Antwerp,36,7,2251,8,3254,8,4985,45,14,2794,7,3,78240,350,2028-08-06,1,21,63,8460.313849442087
Route 294,Tokyo,Hamburg,32,12,753,13,3338,9,2414,54,17,3072,0,2,56261,315,2028-08-13,1,21,63,6316.253141588558
Route 295,Tokyo,Antwerp,28,7,1517,11,4753,8,4176,40,13,2053,2,2,163893,331,2028-08-20,1,21,63,16866.736675855158
Route 296,Mumbai,Hamburg,25,6,2814,16,3385,12,4451,29,18,2968,3,2,81361,418,2028-08-27,1,21,63,8803.776298586672
Route 297,Mumbai,Rotterdam,28,8,1709,13,3143,13,3926,15,6,3114,3,2,63754,422,2028-09-03,1,21,63,7063.519391701777
Route 298,Hong Kong,Antwerp,35,7,1413,13,3388,10,3209,28,6,2956,5,3,135347,433,2028-09-10,1,21,63,14202.594845374844
Route 299,Tokyo,Los Angeles,39,7,1901,5,5118,8,5015,43,5,2718,5,1,30982,304,2028-09-17,1,21,63,3709.593743875298
Route 300,Shanghai,Los Angeles,37,8,3033,12,4013,9,3596,54,11,2526,5,4,131255,355,2028-09-24,1,21,63,13711.261948562164
Route 301,Mumbai,New York,27,11,1084,9,3820,10,2514,70,10,3565,6,3,189069,434,2028-10-01,1,21,63,19715.118029116096
Route 302,Mumbai,Hamburg,24,4,1474,8,3889,7,1950,41,9,3015,3,3,128330,237,2028-10-08,1,21,63,13499.21361165702
Route 303,Shanghai,Antwerp,30,7,2748,10,5292,11,5260,32,13,3770,2,3,131894,268,2028-10-15,1,21,63,14007.616714332862
Route 304,Mumbai,New York,21,5,2928,12,3250,11,4616,21,14,2736,5,2,143503,301,2028-10-22,1,21,63,14959.426871443737
Route 305,Hong Kong,Antwerp,31,8,1948,11,5315,14,4087,59,3,2782,3,3,185485,389,2028-10-29,1,21,63,19190.41229939952
Route 306,Tokyo,Hamburg,29,5,1380,7,4210,13,3559,77,7,3407,1,4,160494,391,2028-11-05,1,21,63,16822.548774507235
Route 307,Shanghai,Los Angeles,27,6,3047,12,3839,7,3471,75,13,2188,6,2,121983,276,2028-11-12,1,21,63,12719.396651514315
Route 308,Tokyo,Rotterdam,22,6,2797,8,6500,12,2924,64,8,2393,7,1,145194,149,2028-11-19,1,21,63,15066.194608457781
Route 309,Mumbai,Los Angeles,32,8,2339,10,2944,7,3568,62,6,3548,8,3,55703,324,2028-11-26,1,21,63,6363.343900983831
Route 310,Mumbai,New York,27,8,1593,9,3646,12,1879,83,14,2414,5,3,138814,208,2028-12-03,1,21,63,14443.024993563531
Route 311,Shanghai,Rotterdam,24,4,1975,9,2767,8,3263,56,4,2090,6,1,49722,151,2028-12-10,1,21,63,5449.188818953602
Route 312,Hong Kong,New York,15,7,1919,12,4952,6,3689,62,8,3934,7,2,81648,173,2028-12-17,1,21,63,9018.42619686532
Route 313,Singapore,Hamburg,29,5,2165,6,5689,10,4609,43,11,2303,3,2,-54128,332,2028-12-24,1,21,63,0.0
Route 314,Shanghai,Rotterdam,38,4,2725,15,5669,1,3960,22,7,3092,7,2,120071,436,2028-12-31,1,21,63,12692.981591957183
Route 315,Singapore,New York,38,6,2439,4,5223,4,4794,36,13,3034,5,2,67806,303,2029-01-07,1,21,63,7454.797648090033
Route 316,Singapore,Hamburg,27,6,1461,8,3802,9,5349,49,7,1594,6,2,155557,321,2029-01-14,1,21,63,15946.824483484761
Route 317,Hong Kong,Los Angeles,26,11,2688,11,3634,10,5058,51,15,2866,5,2,119509,418,2029-01-21,1,21,63,12609.332316521832
Route 318,Singapore,Hamburg,32,7,2156,11,2328,8,4470,88,9,3224,7,2,156204,145,2029-01-28,1,21,63,16341.090639280139
Route 319,Singapore,Antwerp,25,4,2343,9,6035,5,4011,51,12,3177,5,2,45820,352,2029-02-04,1,21,63,5296.43264817069
Route 320,Hong Kong,Hamburg,31,5,2733,9,4468,7,3019,73,12,3451,2,3,151919,298,2029-02-11,1,21,63,15966.78183441181
Route 321,Singapore,Hamburg,33,9,1444,11,3508,11,4739,41,7,2806,7,2,205292,356,2029-02-18,1,21,63,21162.232020202155
Route 322,Singapore,Antwerp,36,11,1982,9,5328,11,5679,43,1,3356,3,4,138207,251,2029-02-25,1,21,63,14553.759580940732
Route 323,Singapore,New York,29,3,1734,14,3027,9,4342,23,11,2655,7,3,139517,218,2029-03-04,1,21,63,14531.585153259195
Route 324,Shanghai,New York,28,3,1216,12,4406,13,5917,35,10,2294,4,1,108479,314,2029-03-11,1,21,63,11373.622078130738
Route 325,Shanghai,Hamburg,25,10,2173,12,3827,11,2474,60,12,2351,7,3,73766,464,2029-03-18,1,21,63,7936.887449173318
Route 326,Shanghai,Antwerp,25,7,3255,7,4638,7,2845,50,9,2268,7,3,138059,386,2029-03-25,1,21,63,14341.021019839134
Route 327,Hong Kong,Antwerp,28,5,1079,9,3936,9,4855,68,8,3504,5,2,24695,249,2029-04-01,1,21,63,3248.438372307354
Route 328,Mumbai,Los Angeles,31,8,1983,9,2549,5,4264,53,18,2242,6,1,79112,165,2029-04-08,1,21,63,8420.681318625451
Route 329,Singapore,New York,34,1,2320,6,4075,9,5313,42,4,3137,5,3,11447,131,2029-04-15,1,21,63,1824.232860407315
Route 330,Singapore,Rotterdam,25,7,2061,11,5048,13,3984,92,12,2867,0,2,64817,431,2029-04-22,1,21,63,7164.111465424243
Route 331,Hong Kong,New York,37,7,1943,8,3970,12,3132,48,7,2948,5,1,132102,204,2029-04-29,1,21,63,13854.284200095004
Route 332,Singapore,New York,28,8,1350,11,4775,14,3786,73,8,3681,2,1,125269,267,2029-05-06,1,21,63,13342.397274192852
Route 333,Shanghai,Los Angeles,29,4,2116,6,2954,9,2467,41,8,2780,5,2,102545,432,2029-05-13,1,21,63,10885.848453144743
Route 334,Mumbai,Rotterdam,26,7,1621,15,3973,14,2871,64,6,3305,2,2,108520,138,2029-05-20,1,21,63,11574.763583108857
Route 335,Tokyo,Los Angeles,17,5,905,7,3375,9,4972,68,12,3018,2,2,5706,449,2029-05-27,1,21,63,1271.0856575780372
Route 336,Singapore,Rotterdam,34,7,2597,10,4746,14,4872,54,15,2923,8,2,81371,274,2029-06-03,1,21,63,8791.23491202818
Route 337,Shanghai,Hamburg,33,5,2479,12,4031,9,4363,2,11,4149,7,1,65932,185,2029-06-10,1,21,63,7464.649676724161
Route 338,Tokyo,Rotterdam,28,6,2025,8,4690,12,2278,50,10,2279,4,2,67047,275,2029-06-17,1,21,63,7231.37203161527
Route 339,Mumbai,Los Angeles,30,5,2114,12,5087,14,3641,74,6,3644,5,3,129978,227,2029-06-24,1,21,63,13801.801953135839
Route 340,Tokyo,New York,32,8,2537,6,4691,9,2775,60,12,3328,4,2,56974,344,2029-07-01,1,21,63,6448.7307588549975
Route 341,Shanghai,Rotterdam,22,8,2112,14,4273,10,5176,58,18,2760,6,1,69765,235,2029-07-08,1,21,63,7597.608773558715
Route 342,Tokyo,Rotterdam,27,6,2452,10,3001,13,3416,15,8,3814,3,2,-4353,108,2029-07-15,1,21,63,360.3416579329634
Route 343,Hong Kong,Antwerp,33,7,1851,8,3997,9,2914,35,8,2075,6,1,85293,277,2029-07-22,1,21,63,9002.101088952662
Route 344,Tokyo,New York,23,4,2655,9,3466,6,4029,58,7,2739,4,3,45608,164,2029-07-29,1,21,63,5174.902090393079
Route 345,Singapore,Hamburg,31,6,2160,12,3655,16,3359,58,8,2395,4,3,103960,320,2029-08-05,1,21,63,10954.264692742945
Route 346,Singapore,Los Angeles,23,6,2097,8,3625,8,5483,74,0,3206,5,1,52444,181,2029-08-12,1,21,63,5956.618803579698
Route 347,Hong Kong,Hamburg,32,12,1364,7,3020,10,3265,47,11,2443,3,3,105227,251,2029-08-19,1,21,63,11078.802002467837
Route 348,Shanghai,New York,29,4,2143,9,2042,13,2600,58,6,3216,5,1,92765,318,2029-08-26,1,21,63,9998.047535522288
Route 349,Singapore,Rotterdam,21,9,1584,6,3331,8,1847,50,3,2906,3,4,183602,278,2029-09-02,1,21,63,19010.65615542779
Route 350,Mumbai,Rotterdam,35,8,1680,15,4193,6,3969,30,13,2760,5,2,124860,325,2029-09-09,1,21,63,13104.941842685415
Route 351,Singapore,New York,26,7,1592,8,2651,10,3438,4,5,3194,7,1,8018,368,2029-09-16,1,21,63,1496.115206872446
Route 352,Singapore,Rotterdam,25,10,1466,12,4015,4,2571,58,8,2865,3,1,36755,184,2029-09-23,1,21,63,4311.282816388862
Route 353,Shanghai,Rotterdam,31,7,3062,10,5900,9,5189,53,15,2455,4,3,102760,293,2029-09-30,1,21,63,10842.40675046957
Route 354,Tokyo,Rotterdam,35,7,2665,7,5023,10,4667,37,4,4400,5,2,53507,-32,2029-10-07,1,21,63,6262.747189146524
Route 355,Singapore,Los Angeles,24,6,2960,9,5643,9,3971,17,3,2756,4,2,-48418,324,2029-10-14,1,21,63,0.0
Route 356,Hong Kong,Los Angeles,30,9,1388,12,4391,5,5364,62,11,1891,5,4,167477,269,2029-10-21,1,21,63,17199.944455784494
Route 357,Tokyo,Antwerp,32,9,2035,9,5167,14,4662,44,14,2578,6,2,136011,201,2029-10-28,1,21,63,14175.510026662783
Route 358,Mumbai,Hamburg,33,5,1353,13,3276,10,3177,61,3,2366,7,3,126048,331,2029-11-04,1,21,63,13160.465682867834
Route 359,Shanghai,New York,30,4,1652,13,3355,14,2960,87,11,3413,3,4,69633,417,2029-11-11,1,21,63,7749.186011908233
Route 360,Mumbai,New York,28,6,1540,12,1260,9,4817,7,12,3160,3,3,121383,252,2029-11-18,1,21,63,12818.769450694073
Route 361,Tokyo,New York,25,5,2619,8,5186,7,4396,36,1,3199,4,1,64781,205,2029-11-25,1,21,63,7168.9157601805555
Route 362,Tokyo,Antwerp,30,6,1801,6,5540,10,4169,45,13,2814,3,3,110242,316,2029-12-02,1,21,63,11657.053708246709
Route 363,Tokyo,Los Angeles,24,9,2534,8,3446,9,3153,79,13,2860,6,1,53970,166,2029-12-09,1,21,63,6042.112806774937
Route 364,Mumbai,Antwerp,15,6,2302,10,3746,6,4607,17,8,2814,2,4,175814,233,2029-12-16,1,21,63,18193.15486985846
Route 365,Tokyo,New York,32,6,3151,11,3246,14,3244,88,15,2959,9,2,21488,422,2029-12-23,1,21,63,2845.7697194014313
Route 366,Mumbai,Hamburg,34,7,1260,3,4382,8,3898,52,14,3417,7,5,161614,306,2029-12-30,1,21,63,16924.787867046212
Route 367,Tokyo,Rotterdam,18,8,2629,9,5124,4,5446,48,10,3168,5,4,101945,112,2030-01-06,1,21,63,10882.459046603075
Route 368,Hong Kong,Los Angeles,24,2,2573,10,2257,13,3339,46,8,3250,6,2,75526,120,2030-01-13,1,21,63,8258.897877237125
Route 369,Tokyo,Los Angeles,33,5,1513,9,4409,8,2427,41,6,3249,1,3,108350,316,2030-01-20,1,21,63,11554.108816308144
Route 370,Mumbai,Antwerp,40,7,2503,13,3723,8,2947,70,9,3442,10,3,136667,386,2030-01-27,1,21,63,14442.974898364162
Route 371,Singapore,Los Angeles,30,9,2168,11,4113,4,4994,28,12,3144,3,3,168337,138,2030-02-03,1,21,63,17511.012083212918
Route 372,Tokyo,New York,26,6,1886,13,4458,15,4254,56,8,3179,4,3,115657,344,2030-02-10,1,21,63,12278.48089675506
Route 373,Singapore,New York,29,3,1588,9,3811,6,3871,42,1,3594,1,4,55465,433,2030-02-17,1,21,63,6345.361067334423
Route 374,Hong Kong,Antwerp,36,8,1640,12,3896,10,3490,34,15,2667,5,2,102781,488,2030-02-24,1,21,63,10895.250631884672
Route 375,Shanghai,New York,26,5,3024,14,3786,12,4485,101,10,2572,2,2,190839,333,2030-03-03,1,21,63,19703.78542206893
Route 376,Hong Kong,Hamburg,26,4,2000,13,4970,11,3150,58,8,2407,5,2,167383,350,2030-03-10,1,21,63,17303.97919585486
Route 377,Tokyo,Antwerp,27,5,2391,6,4418,9,4305,62,13,3091,3,3,145438,86,2030-03-17,1,21,63,15219.016358716599
Route 378,Singapore,Hamburg,25,6,1604,9,4220,4,3268,72,16,2073,2,3,139784,509,2030-03-24,1,21,63,14499.245284663759
Route 379,Singapore,Rotterdam,30,5,1610,8,2729,7,3102,21,-1,3231,3,3,134972,242,2030-03-31,1,21,63,14193.2891961393
Route 380,Mumbai,Hamburg,38,2,2540,11,3621,10,3362,85,11,2945,5,3,157937,206,2030-04-07,1,21,63,16466.226828143124
Route 381,Singapore,Rotterdam,31,8,1325,12,4898,7,3624,0,4,3567,2,0,77168,274,2030-04-14,1,21,63,8472.45830382465
Route 382,Mumbai,Rotterdam,28,9,1792,7,4037,10,3951,34,11,2664,3,3,32245,451,2030-04-21,1,21,63,3835.6502102012387
Route 383,Shanghai,Hamburg,28,8,2017,10,4659,12,4235,40,10,2898,6,3,103450,520,2030-04-28,1,21,63,11013.7648827216
Route 384,Tokyo,Antwerp,22,4,2055,3,5766,12,311,61,12,3561,10,4,59120,312,2030-05-05,1,21,63,6706.291036407247
Route 385,Mumbai,New York,34,6,1910,14,5038,6,3192,54,8,3691,5,1,47248,399,2030-05-12,1,21,63,5549.368913957529
Route 386,Shanghai,New York,29,6,2197,8,4093,16,3608,46,2,2659,3,4,63986,304,2030-05-19,1,21,63,7000.655675721072
Route 387,Singapore,Rotterdam,29,8,2346,10,3489,12,5505,49,8,3090,4,3,224265,196,2030-05-26,1,21,63,23104.65317014677
