Incidents,RouteID,IncidentType,Severity,Location,IncidentDate,Description,ResponseTime,DamageCost,InsuranceClaim
INC1069,R176,Natural Disaster,High,,06-01-2024,,,,
INC1070,R176,Natural Disaster,Low,,22-05-2023,,,,
INC1071,R176,Accident,Medium,,23-04-2023,Offshore Oil Rig Mishaps                       ,,,
INC1072,R176,Accident,Medium,,19-07-2023,Minor collision                                ,,,
INC1073,R176,Piracy,Medium,,30-09-2022,,,,
INC1074,R176,Piracy,Medium,,19-10-2023,,,,
INC1075,R177,Natural Disaster,High,,10-02-2023,,,,
INC1076,R177,Delay,Medium,,26-05-2023,,,,
INC1077,R177,Natural Disaster,Low,,08-11-2022,,,,
INC1078,R177,Accident,Low,,14-10-2023,Accidents on Barges                            ,,,
INC1079,R177,Port Security,Low,,05-12-2023,,,,
INC1080,R177,Delay,Low,,02-12-2023,,,,
INC1081,R177,Piracy,High,,22-09-2023,,,,
INC1082,R177,Natural Disaster,Low,,08-09-2022,,,,
INC1083,R178,Delay,High,,09-10-2023,,,,
INC1084,R178,Natural Disaster,Medium,,04-02-2023,,,,
INC1085,R178,Accident,Medium,,01-04-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC1086,R178,Accident,Medium,,10-01-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1087,R178,Delay,Low,,26-11-2022,,,,
INC1088,R178,Natural Disaster,High,,31-01-2023,,,,
INC1089,R178,Port Security,Low,,25-04-2023,,,,
INC1090,R178,Delay,High,,30-09-2023,,,,
INC1091,R179,Accident,High,,19-04-2024,Accidents on Barges                            ,,,
INC1092,R179,Port Security,High,,12-05-2023,,,,
INC1093,R179,Natural Disaster,High,,07-09-2023,,,,
INC1094,R179,Port Security,Medium,,09-05-2023,,,,
INC1095,R179,Accident,High,,30-10-2022,Accidents on Tugboats                          ,,,
INC1096,R179,Delay,Low,,23-03-2023,,,,
INC1097,R179,Attacks,Low,,23-04-2024,,,,
INC1098,R179,Attacks,High,,07-06-2024,,,,
INC1099,R179,Piracy,Medium,,06-02-2024,,,,
INC1100,R179,Theft,Low,,28-05-2024,Container theft,,,
INC1101,R180,Theft,High,,05-09-2022,Container theft,,,
INC1102,R180,Accident,Low,,08-07-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC1103,R180,Delay,Medium,,28-05-2024,,,,
INC1104,R180,Theft,High,,08-08-2023,Container theft,,,
INC1105,R181,Piracy,Low,,29-12-2023,,,,
INC1106,R181,Theft,Medium,,03-01-2023,Container theft,,,
INC1107,R181,Attacks,Medium,,04-10-2022,,,,
INC1108,R181,Theft,High,,22-06-2023,Cargo theft,,,
INC1109,R181,Port Security,Low,,03-09-2023,,,,
INC1110,R181,Natural Disaster,Medium,,14-01-2023,,,,
INC1111,R181,Accident,Low,,10-12-2023,Offshore Oil Rig Mishaps,,,
INC1112,R181,Attacks,High,,15-10-2022,,,,
INC1113,R181,Piracy,High,,29-07-2022,,,,
INC1114,R182,Attacks,Low,,21-06-2024,,,,
INC1115,R182,Theft,Low,,24-05-2024,Container theft,,,
INC1116,R182,Theft,High,,19-08-2022,Container theft,,,
INC1117,R182,Port Security,Low,,17-11-2022,,,,
INC1118,R182,Theft,Medium,,12-09-2022,Cargo theft,,,
INC1119,R182,Piracy,Medium,,30-11-2022,,,,
INC1120,R182,Attacks,Medium,,27-10-2022,,,,
INC1121,R183,Accident,High,,03-09-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1122,R183,Attacks,High,,23-03-2023,,,,
INC1123,R183,Piracy,Low,,28-09-2022,,,,
INC1124,R183,Natural Disaster,Medium,,31-07-2022,,,,
INC1125,R183,Delay,High,,01-07-2023,,,,
INC1126,R183,Delay,Low,,09-08-2022,,,,
INC1127,R183,Accident,Medium,,03-09-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC1128,R183,Accident,Medium,,30-03-2024,Maritime Accidents on Diving Support Vessels:  ,,,
INC1129,R184,Theft,Low,,16-10-2022,Cargo theft,,,
INC1130,R184,Accident,Low,,08-05-2024,Maritime Accidents on Diving Support Vessels:  ,,,
INC1131,R184,Piracy,Medium,,26-03-2023,,,,
INC1132,R184,Natural Disaster,Low,,15-09-2022,,,,
INC1133,R185,Port Security,Medium,,06-12-2023,,,,
INC1134,R185,Theft,Medium,,04-05-2024,Container theft,,,
INC1135,R185,Piracy,Medium,,07-11-2023,,,,
INC1136,R185,Piracy,Low,,12-10-2023,,,,
INC1137,R185,Theft,High,,26-09-2022,Container theft,,,
INC1138,R185,Port Security,Low,,05-06-2023,,,,
INC1139,R185,Port Security,Low,,08-12-2023,,,,
INC1140,R185,Delay,Low,,02-05-2024,,,,
INC1141,R185,Accident,Low,,20-03-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1142,R185,Port Security,Medium,,06-09-2022,,,,
INC1143,R186,Accident,High,,09-07-2022,Accidents on Barges                            ,,,
INC1144,R186,Theft,High,,17-03-2023,Container theft,,,
INC1145,R186,Attacks,Medium,,11-05-2024,,,,
INC1146,R186,Piracy,High,,09-05-2024,,,,
INC1147,R187,Piracy,High,,14-04-2024,,,,
INC1148,R187,Port Security,Low,,23-10-2022,,,,
INC1149,R187,Piracy,Low,,20-08-2022,,,,
INC1150,R187,Natural Disaster,High,,28-01-2023,,,,
INC1151,R187,Delay,Medium,,09-11-2023,,,,
INC1152,R187,Delay,Medium,,12-02-2023,,,,
INC1153,R188,Delay,Low,,27-02-2023,,,,
INC1154,R188,Piracy,Low,,29-10-2023,,,,
INC1155,R188,Theft,Medium,,28-12-2023,Cargo theft,,,
INC1156,R188,Attacks,High,,14-06-2023,,,,
INC1157,R188,Piracy,Low,,22-05-2024,,,,
INC1158,R188,Attacks,High,,10-10-2022,,,,
INC1159,R188,Port Security,Medium,,02-04-2023,,,,
INC1160,R188,Attacks,Low,,28-10-2023,,,,
INC1161,R189,Accident,Low,,31-08-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1162,R189,Natural Disaster,Low,,11-03-2024,,,,
INC1163,R189,Attacks,Medium,,27-02-2024,,,,
INC1164,R189,Piracy,Medium,,04-06-2023,,,,
INC1165,R189,Accident,Medium,,29-10-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1166,R189,Attacks,Medium,,27-04-2023,,,,
INC1167,R189,Accident,Low,,06-12-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC1168,R189,Attacks,Low,,22-10-2022,,,,
INC1169,R189,Port Security,Low,,22-07-2023,,,,
INC1170,R190,Piracy,Low,,22-10-2022,,,,
INC1171,R190,Natural Disaster,High,,21-12-2022,,,,
INC1172,R190,Piracy,Low,,26-11-2022,,,,
INC1173,R190,Attacks,High,,26-08-2023,,,,
INC1174,R190,Port Security,Medium,,28-07-2022,,,,
INC1175,R190,Piracy,Low,,27-09-2022,,,,
INC1176,R191,Port Security,High,,24-08-2023,,,,
INC1177,R191,Attacks,Medium,,07-12-2022,,,,
INC1178,R191,Attacks,Medium,,17-02-2023,,,,
INC1179,R191,Port Security,Medium,,22-08-2022,,,,
INC1180,R191,Natural Disaster,High,,16-11-2023,,,,
INC1181,R191,Delay,High,,23-06-2024,,,,
INC1182,R192,Accident,Medium,,11-12-2022,Minor collision,,,
INC1183,R192,Accident,High,,26-01-2024,Grounding of Ships                             ,,,
INC1184,R192,Natural Disaster,Low,,10-02-2023,,,,
INC1185,R192,Accident,High,,29-03-2024,Accidents on Barges                            ,,,
INC1186,R192,Natural Disaster,High,,18-01-2024,,,,
INC1187,R192,Port Security,Medium,,10-06-2024,,,,
INC1188,R192,Port Security,Medium,,18-11-2023,,,,
INC1189,R192,Port Security,High,,28-04-2023,,,,
INC1190,R193,Piracy,Medium,,30-11-2023,,,,
INC1191,R193,Accident,Medium,,18-12-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1192,R193,Natural Disaster,High,,13-11-2023,,,,
INC1193,R193,Accident,High,,25-01-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC1194,R193,Delay,Medium,,14-08-2022,,,,
INC1195,R193,Port Security,Medium,,28-11-2022,,,,
INC1196,R193,Accident,Medium,,05-06-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1197,R193,Accident,Medium,,28-08-2023,Offshore Oil Rig Mishaps,,,
INC1198,R194,Piracy,Medium,,28-09-2022,,,,
INC1199,R194,Port Security,High,,29-05-2023,,,,
INC1200,R194,Theft,Low,,28-03-2023,Container theft,,,
INC1201,R194,Natural Disaster,Low,,30-07-2023,,,,
INC1202,R194,Attacks,Low,,26-08-2023,,,,
INC1203,R194,Accident,High,,18-09-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1204,R194,Attacks,Low,,21-12-2022,,,,
INC1205,R194,Attacks,High,,10-11-2022,,,,
INC1206,R195,Attacks,Low,,09-02-2024,,,,
INC1207,R195,Piracy,Medium,,17-09-2023,,,,
INC1208,R196,Attacks,High,,31-07-2023,,,,
INC1209,R196,Accident,High,,20-09-2022,Accidents on Tugboats                          ,,,
INC1210,R196,Port Security,High,,05-03-2024,,,,
INC1211,R196,Theft,High,,10-07-2023,Container theft,,,
INC1212,R197,Delay,Low,,04-04-2024,,,,
INC1213,R197,Piracy,Medium,,11-05-2024,,,,
INC1214,R197,Theft,Low,,14-02-2024,Cargo theft,,,
INC1215,R197,Theft,Low,,14-02-2024,Cargo theft,,,
INC1216,R197,Port Security,High,,01-03-2023,,,,
INC1217,R198,Attacks,Medium,,01-09-2022,,,,
INC1218,R198,Natural Disaster,Low,,18-10-2022,,,,
INC1219,R198,Port Security,Low,,24-12-2022,,,,
INC1220,R198,Delay,Low,,26-02-2023,,,,
INC1221,R198,Natural Disaster,Medium,,10-12-2023,,,,
INC1222,R198,Delay,Low,,30-01-2023,,,,
INC1223,R198,Natural Disaster,High,,14-09-2023,,,,
INC1224,R198,Natural Disaster,Low,,28-11-2023,,,,
INC1225,R199,Attacks,Low,,22-09-2022,,,,
INC1226,R199,Delay,High,,21-02-2024,,,,
INC1227,R199,Natural Disaster,Low,,25-07-2023,,,,
INC1228,R199,Attacks,High,,10-03-2023,,,,
INC1229,R199,Accident,Low,,25-02-2024,Minor collision                                ,,,
INC1230,R199,Piracy,Medium,,28-07-2023,,,,
INC1231,R200,Delay,Low,,09-11-2022,,,,
INC1232,R200,Piracy,High,,02-07-2023,,,,
INC1233,R200,Port Security,Medium,,14-06-2024,,,,
INC1234,R200,Natural Disaster,High,,23-11-2023,,,,
INC1235,R200,Natural Disaster,Medium,,20-01-2023,,,,
INC1236,R200,Piracy,Medium,,27-03-2024,,,,
INC1237,R200,Theft,Medium,,26-07-2023,Cargo theft,,,
INC1238,R200,Theft,Medium,,16-01-2023,Container theft,,,
INC1239,R201,Theft,Medium,,23-03-2023,Cargo theft,,,
INC1240,R201,Port Security,Low,,03-12-2022,,,,
INC1241,R201,Delay,High,,30-06-2023,,,,
INC1242,R201,Theft,Medium,,26-01-2023,Cargo theft,,,
INC1243,R201,Natural Disaster,Low,,08-05-2023,,,,
INC1244,R201,Natural Disaster,Medium,,15-04-2024,,,,
INC1245,R201,Theft,Low,,07-02-2023,Cargo theft,,,
INC1246,R201,Accident,Low,,20-01-2023,Accidents on Barges                            ,,,
INC1247,R201,Delay,Low,,10-02-2024,,,,
INC1248,R201,Port Security,High,,19-06-2023,,,,
INC1249,R202,Natural Disaster,Low,,03-08-2023,,,,
INC1250,R202,Theft,High,,18-07-2022,Cargo theft,,,
INC1251,R202,Theft,Low,,25-07-2023,Container theft,,,
INC1252,R202,Piracy,High,,10-01-2023,,,,
INC1253,R202,Delay,High,,03-01-2023,,,,
INC1254,R202,Delay,Medium,,22-08-2023,,,,
INC1255,R203,Delay,Medium,,27-05-2023,,,,
INC1256,R203,Natural Disaster,High,,04-08-2023,,,,
INC1257,R203,Theft,Medium,,29-01-2024,Cargo theft,,,
INC1258,R203,Piracy,High,,16-06-2023,,,,
INC1259,R203,Attacks,Medium,,12-07-2023,,,,
INC1260,R203,Attacks,High,,01-09-2023,,,,
INC1261,R204,Piracy,Low,,07-05-2023,,,,
INC1262,R204,Accident,Low,,29-09-2022,Grounding of Ships                             ,,,
INC1263,R204,Piracy,Medium,,06-02-2023,,,,
INC1264,R205,Attacks,Low,,20-05-2023,,,,
INC1265,R205,Delay,Medium,,03-08-2022,,,,
INC1266,R205,Attacks,High,,13-11-2023,,,,
INC1267,R205,Natural Disaster,Medium,,14-07-2023,,,,
INC1268,R205,Piracy,Low,,16-02-2024,,,,
INC1269,R205,Delay,High,,14-05-2024,,,,
INC1270,R206,Delay,Medium,,02-10-2023,,,,
INC1271,R206,Natural Disaster,High,,28-07-2023,,,,
INC1272,R206,Attacks,Low,,29-08-2022,,,,
INC1273,R206,Natural Disaster,High,,18-05-2024,,,,
INC1274,R206,Accident,Medium,,10-07-2022,Minor collision,,,
INC1275,R206,Port Security,High,,29-12-2022,,,,
INC1276,R207,Port Security,Medium,,18-04-2024,,,,
INC1277,R207,Delay,Medium,,03-07-2022,,,,
INC1278,R207,Natural Disaster,Low,,23-07-2023,,,,
INC1279,R207,Accident,Low,,13-09-2023,Accidents on Tugboats                          ,,,
INC1280,R207,Attacks,Low,,03-09-2022,,,,
INC1281,R207,Port Security,Low,,29-09-2022,,,,
INC1282,R207,Delay,Medium,,07-02-2024,,,,
INC1283,R207,Theft,Low,,12-03-2023,Container theft,,,
INC1284,R208,Accident,High,,08-11-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1285,R208,Theft,Low,,12-04-2024,Cargo theft,,,
INC1286,R208,Port Security,Medium,,19-04-2024,,,,
INC1287,R208,Attacks,Medium,,25-08-2023,,,,
INC1288,R209,Attacks,High,,01-09-2022,,,,
INC1289,R209,Theft,High,,01-01-2023,Cargo theft,,,
INC1290,R209,Piracy,Medium,,05-08-2022,,,,
INC1291,R210,Natural Disaster,High,,02-03-2023,,,,
INC1292,R210,Delay,Low,,21-01-2023,,,,
INC1293,R210,Natural Disaster,High,,05-08-2022,,,,
INC1294,R210,Theft,Medium,,24-04-2024,Container theft,,,
INC1295,R211,Attacks,Medium,,04-11-2022,,,,
INC1296,R211,Piracy,High,,11-02-2024,,,,
INC1297,R211,Theft,Medium,,20-04-2024,Container theft,,,
INC1298,R211,Accident,High,,08-01-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1299,R211,Accident,Medium,,25-03-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1300,R211,Theft,Low,,20-06-2023,Cargo theft,,,
INC1301,R211,Delay,Low,,27-02-2024,,,,
INC1302,R211,Piracy,High,,17-11-2023,,,,
INC1303,R211,Piracy,Medium,,14-11-2022,,,,
INC1304,R212,Port Security,Low,,01-01-2024,,,,
INC1305,R212,Port Security,Low,,30-01-2024,,,,
INC1306,R212,Piracy,Low,,22-06-2024,,,,
INC1307,R212,Accident,Medium,,17-10-2023,Minor collision,,,
INC1308,R212,Port Security,High,,24-09-2023,,,,
INC1309,R212,Natural Disaster,Low,,14-10-2023,,,,
INC1310,R212,Theft,Low,,13-04-2023,Container theft,,,
INC1311,R212,Accident,Low,,27-09-2023,Offshore Oil Rig Mishaps                       ,,,
INC1312,R212,Attacks,Low,,03-06-2024,,,,
INC1313,R212,Delay,Medium,,11-01-2024,,,,
INC1314,R213,Delay,Medium,,14-03-2024,,,,
INC1315,R213,Port Security,Low,,11-06-2023,,,,
INC1316,R213,Port Security,Medium,,26-12-2023,,,,
INC1317,R213,Piracy,Low,,17-01-2023,,,,
INC1318,R213,Delay,Medium,,26-09-2022,,,,
INC1319,R213,Natural Disaster,High,,04-10-2022,,,,
INC1320,R213,Attacks,Medium,,05-06-2023,,,,
INC1321,R213,Accident,Medium,,10-06-2024,Offshore Oil Rig Mishaps                       ,,,
INC1322,R213,Natural Disaster,High,,30-05-2024,,,,
INC1323,R214,Port Security,High,,26-02-2023,,,,
INC1324,R214,Piracy,High,,23-05-2024,,,,
INC1325,R214,Natural Disaster,Medium,,05-06-2023,,,,
INC1326,R214,Attacks,Low,,19-02-2024,,,,
INC1327,R214,Attacks,High,,27-06-2023,,,,
INC1328,R214,Attacks,Low,,21-07-2023,,,,
INC1329,R214,Delay,Low,,10-12-2023,,,,
INC1330,R214,Attacks,Medium,,17-08-2022,,,,
INC1331,R214,Piracy,High,,04-04-2024,,,,
INC1332,R214,Delay,Low,,08-04-2023,,,,
INC1333,R215,Piracy,Low,,07-06-2024,,,,
INC1334,R215,Port Security,Low,,06-04-2024,,,,
INC1335,R215,Natural Disaster,High,,29-04-2023,,,,
INC1336,R215,Delay,Medium,,11-09-2023,,,,
INC1337,R215,Delay,Low,,26-06-2023,,,,
INC1338,R216,Natural Disaster,Medium,,17-04-2024,,,,
INC1339,R216,Port Security,Medium,,03-09-2022,,,,
INC1340,R216,Natural Disaster,Medium,,26-03-2023,,,,
INC1341,R217,Theft,Low,,12-07-2023,Container theft,,,
INC1342,R217,Attacks,Medium,,21-02-2023,,,,
INC1343,R217,Theft,Low,,11-06-2023,Cargo theft,,,
INC1344,R217,Natural Disaster,Low,,11-03-2024,,,,
INC1345,R217,Piracy,High,,09-08-2022,,,,
INC1346,R217,Port Security,High,,10-04-2023,,,,
INC1347,R218,Delay,Low,,05-11-2022,,,,
INC1348,R218,Delay,Low,,21-02-2024,,,,
INC1349,R218,Accident,Low,,02-12-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1350,R218,Delay,High,,15-11-2023,,,,
INC1351,R218,Accident,High,,17-05-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1352,R218,Attacks,High,,20-08-2022,,,,
INC1353,R218,Accident,Low,,31-01-2024,Grounding of Ships                             ,,,
INC1354,R218,Theft,Low,,28-12-2023,Container theft,,,
INC1355,R218,Delay,Low,,26-03-2024,,,,
INC1356,R219,Delay,Low,,21-05-2023,,,,
INC1357,R219,Theft,High,,05-12-2023,Container theft,,,
INC1358,R219,Port Security,High,,26-07-2023,,,,
INC1359,R219,Theft,Medium,,25-01-2024,Cargo theft,,,
INC1360,R219,Piracy,Medium,,06-05-2024,,,,
INC1361,R219,Accident,High,,11-04-2024,Maritime Accidents on Diving Support Vessels:  ,,,
INC1362,R220,Theft,High,,03-01-2024,Cargo theft,,,
INC1363,R220,Piracy,Low,,01-08-2022,,,,
INC1364,R220,Piracy,Low,,24-01-2023,,,,
INC1365,R220,Natural Disaster,Low,,08-04-2023,,,,
INC1366,R220,Theft,Medium,,11-10-2022,Container theft,,,
INC1367,R220,Piracy,High,,23-03-2023,,,,
INC1368,R221,Piracy,Medium,,03-01-2023,,,,
INC1369,R221,Delay,Medium,,13-04-2023,,,,
INC1370,R221,Port Security,High,,09-07-2023,,,,
INC1371,R221,Natural Disaster,High,,12-03-2023,,,,
INC1372,R221,Attacks,High,,06-08-2023,,,,
INC1373,R222,Natural Disaster,Medium,,25-07-2022,,,,
INC1374,R222,Theft,Medium,,27-10-2022,Cargo theft,,,
INC1375,R222,Port Security,High,,16-04-2024,,,,
INC1376,R222,Accident,High,,17-07-2022,Accidents on Tugboats                          ,,,
INC1377,R222,Port Security,Medium,,25-12-2022,,,,
INC1378,R223,Delay,Medium,,14-12-2023,,,,
INC1379,R223,Theft,High,,14-08-2022,Container theft,,,
INC1380,R223,Delay,Low,,09-03-2023,,,,
INC1381,R223,Accident,Medium,,14-03-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1382,R223,Natural Disaster,High,,06-12-2023,,,,
INC1383,R223,Natural Disaster,Low,,14-04-2024,,,,
INC1384,R223,Theft,High,,01-03-2023,Container theft,,,
INC1385,R224,Attacks,High,,17-10-2022,,,,
INC1386,R224,Attacks,Low,,16-07-2023,,,,
INC1387,R224,Natural Disaster,Low,,20-10-2023,,,,
INC1388,R224,Natural Disaster,Medium,,30-05-2023,,,,
INC1389,R224,Accident,Low,,30-06-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1390,R224,Attacks,Medium,,02-07-2022,,,,
INC1391,R224,Natural Disaster,High,,13-09-2023,,,,
INC1392,R224,Piracy,Low,,04-03-2023,,,,
INC1393,R225,Port Security,Medium,,25-11-2022,,,,
INC1394,R225,Accident,Medium,,07-01-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1395,R225,Natural Disaster,Low,,25-12-2022,,,,
INC1396,R225,Attacks,Low,,23-05-2023,,,,
INC1397,R225,Piracy,Medium,,03-05-2024,,,,
INC1398,R225,Attacks,High,,05-08-2022,,,,
INC1399,R226,Delay,Medium,,11-01-2024,,,,
INC1400,R226,Accident,Low,,13-11-2023,Grounding of Ships                             ,,,
INC1401,R226,Delay,Low,,02-11-2023,,,,
INC1402,R226,Accident,Low,,20-05-2024,Offshore Oil Rig Mishaps                       ,,,
INC1403,R226,Delay,Medium,,26-07-2023,,,,
INC1404,R226,Theft,High,,23-07-2023,Container theft,,,
INC1405,R226,Attacks,Low,,30-11-2023,,,,
INC1406,R227,Natural Disaster,Medium,,09-07-2023,,,,
INC1407,R227,Delay,High,,07-02-2024,,,,
INC1408,R227,Attacks,High,,28-07-2022,,,,
INC1409,R227,Accident,Low,,05-10-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1410,R228,Accident,Medium,,08-07-2023,Grounding of Ships                             ,,,
INC1411,R228,Attacks,Medium,,10-02-2024,,,,
INC1412,R229,Delay,Low,,01-10-2022,,,,
INC1413,R229,Accident,High,,17-08-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC1414,R229,Attacks,High,,16-01-2024,,,,
INC1415,R229,Delay,High,,29-04-2024,,,,
INC1416,R229,Theft,Medium,,31-01-2024,Container theft,,,
INC1417,R230,Natural Disaster,Medium,,23-11-2023,,,,
INC1418,R230,Delay,Medium,,31-05-2024,,,,
INC1419,R230,Attacks,Low,,26-07-2023,,,,
INC1420,R230,Port Security,High,,12-04-2024,,,,
INC1421,R230,Accident,Low,,13-05-2023,Offshore Oil Rig Mishaps                       ,,,
INC1422,R230,Accident,Medium,,11-10-2023,Accidents on Barges                            ,,,
INC1423,R230,Natural Disaster,Low,,20-05-2023,,,,
INC1424,R231,Port Security,Medium,,15-06-2023,,,,
INC1425,R231,Piracy,Low,,07-02-2023,,,,
INC1426,R231,Theft,High,,10-11-2023,Container theft,,,
INC1427,R231,Natural Disaster,High,,04-03-2024,,,,
INC1428,R231,Attacks,High,,04-07-2023,,,,
INC1429,R231,Theft,High,,01-12-2023,Container theft,,,
INC1430,R231,Attacks,Low,,12-02-2024,,,,
INC1431,R231,Port Security,Medium,,18-02-2023,,,,
INC1432,R231,Natural Disaster,Medium,,05-01-2023,,,,
INC1433,R232,Attacks,Medium,,03-08-2022,,,,
INC1434,R232,Port Security,Low,,18-11-2022,,,,
INC1435,R232,Natural Disaster,Medium,,29-11-2022,,,,
INC1436,R232,Piracy,Medium,,13-05-2023,,,,
INC1437,R232,Accident,Low,,21-01-2023,Minor collision,,,
INC1438,R232,Theft,High,,02-02-2024,Cargo theft,,,
INC1439,R232,Accident,Low,,24-04-2024,Accidents on Barges                            ,,,
INC1440,R233,Theft,High,,04-11-2022,Container theft,,,
INC1441,R233,Delay,Low,,09-07-2023,,,,
INC1442,R234,Attacks,Medium,,26-09-2023,,,,
INC1443,R234,Delay,Low,,30-01-2023,,,,
INC1444,R234,Piracy,Low,,21-10-2022,,,,
INC1445,R234,Piracy,Low,,07-10-2023,,,,
INC1446,R235,Accident,High,,18-09-2022,Accidents on Barges                            ,,,
INC1447,R235,Attacks,High,,02-08-2022,,,,
INC1448,R235,Accident,Medium,,30-03-2024,Accidents on Tugboats                          ,,,
INC1449,R235,Accident,Medium,,15-11-2023,Minor collision,,,
INC1450,R235,Port Security,Medium,,21-10-2022,,,,
INC1451,R236,Natural Disaster,Medium,,23-03-2023,,,,
INC1452,R236,Theft,Medium,,26-03-2024,Cargo theft,,,
INC1453,R236,Theft,Medium,,08-12-2022,Cargo theft,,,
INC1454,R236,Natural Disaster,High,,03-11-2022,,,,
INC1455,R236,Attacks,Medium,,29-02-2024,,,,
INC1456,R236,Attacks,High,,06-07-2022,,,,
INC1457,R236,Port Security,Low,,01-10-2023,,,,
INC1458,R236,Delay,Medium,,14-02-2023,,,,
INC1459,R236,Piracy,Medium,,09-01-2023,,,,
INC1460,R237,Attacks,High,,20-03-2024,,,,
INC1461,R237,Piracy,High,,13-05-2023,,,,
INC1462,R237,Attacks,Low,,06-01-2024,,,,
INC1463,R237,Theft,Low,,03-04-2024,Container theft,,,
INC1464,R237,Delay,Medium,,21-02-2024,,,,
INC1465,R237,Natural Disaster,Medium,,22-09-2023,,,,
INC1466,R237,Natural Disaster,High,,05-07-2023,,,,
INC1467,R237,Port Security,High,,30-07-2022,,,,
INC1468,R237,Natural Disaster,Medium,,07-11-2023,,,,
INC1469,R238,Delay,High,,11-04-2024,,,,
INC1470,R238,Piracy,Medium,,02-11-2023,,,,
INC1471,R238,Delay,Medium,,23-06-2023,,,,
INC1472,R238,Natural Disaster,Medium,,30-04-2024,,,,
INC1473,R238,Natural Disaster,High,,08-06-2023,,,,
INC1474,R238,Attacks,High,,06-03-2024,,,,
INC1475,R239,Attacks,Medium,,10-10-2023,,,,
INC1476,R239,Theft,Medium,,26-04-2023,Cargo theft,,,
INC1477,R239,Attacks,Low,,08-03-2024,,,,
INC1478,R239,Theft,Medium,,10-02-2024,Cargo theft,,,
INC1479,R239,Port Security,Medium,,06-12-2022,,,,
INC1480,R239,Accident,High,,01-05-2024,Accidents on Tugboats                          ,,,
INC1481,R240,Natural Disaster,Low,,17-03-2024,,,,
INC1482,R240,Piracy,Low,,16-12-2022,,,,
INC1483,R240,Natural Disaster,Medium,,19-05-2023,,,,
INC1484,R241,Accident,Medium,,31-08-2023,Accidents on Tugboats                          ,,,
INC1485,R241,Delay,Medium,,01-05-2023,,,,
INC1486,R241,Natural Disaster,High,,14-11-2022,,,,
INC1487,R241,Piracy,Medium,,14-08-2022,,,,
INC1488,R242,Theft,Low,,05-12-2023,Cargo theft,,,
INC1489,R242,Delay,High,,11-05-2024,,,,
INC1490,R242,Natural Disaster,Medium,,16-02-2023,,,,
INC1491,R242,Delay,Medium,,05-01-2023,,,,
INC1492,R242,Port Security,Low,,13-03-2023,,,,
INC1493,R242,Theft,Medium,,29-10-2022,Cargo theft,,,
INC1494,R242,Natural Disaster,Medium,,03-04-2023,,,,
INC1495,R242,Piracy,Medium,,14-06-2023,,,,
INC1496,R242,Port Security,Low,,11-04-2024,,,,
INC1497,R243,Theft,Medium,,17-10-2023,Cargo theft,,,
INC1498,R243,Natural Disaster,Low,,05-06-2024,,,,
INC1499,R244,Delay,Medium,,01-12-2023,,,,
INC1500,R244,Port Security,Low,,24-09-2022,,,,
INC1501,R244,Port Security,High,,13-03-2023,,,,
INC1502,R244,Accident,Low,,21-01-2024,Offshore Oil Rig Mishaps                       ,,,
INC1503,R244,Piracy,High,,06-04-2024,,,,
INC1504,R245,Natural Disaster,Low,,12-04-2023,,,,
INC1505,R245,Attacks,Low,,21-06-2024,,,,
INC1506,R245,Natural Disaster,Low,,20-06-2024,,,,
INC1507,R246,Piracy,High,,18-12-2022,,,,
INC1508,R246,Delay,High,,14-05-2023,,,,
INC1509,R246,Port Security,High,,17-03-2024,,,,
INC1510,R246,Piracy,Medium,,05-06-2023,,,,
INC1511,R246,Attacks,Low,,04-03-2024,,,,
INC1512,R246,Accident,Medium,,13-05-2024,Minor collision,,,
INC1513,R246,Theft,Medium,,22-09-2022,Container theft,,,
INC1514,R246,Accident,High,,07-11-2022,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC1515,R246,Port Security,Low,,30-12-2022,,,,
INC1516,R247,Theft,Low,,23-10-2022,Cargo theft,,,
INC1517,R247,Attacks,Medium,,29-04-2024,,,,
