RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
336,PortC,PortX,0,3,3,61,0,20,1531,15,irregular,congested areas,972,273981,non-compliant,yes,not in place,non-hazardous,container,9,234626,20,Low
337,PortC,PortY,0,3,6,75,1,21,1294,12,regular,clear,777,429039,non-compliant,yes,in place,hazardous,container,15,265487,40,Medium
338,PortA,PortZ,1,0,5,77,0,21,1753,13,regular,congested areas,662,431774,compliant,no,in place,hazardous,bulk carrier,21,240035,40,Medium
339,PortA,PortZ,0,0,0,84,1,29,1326,13,irregular,congested areas,764,392882,non-compliant,yes,not in place,hazardous,bulk carrier,7,339200,35,Medium
340,PortB,PortZ,1,3,6,76,0,17,1693,13,regular,congested areas,786,430413,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,289703,40,Medium
341,PortB,PortX,0,1,4,49,1,17,1585,13,irregular,clear,982,355957,non-compliant,no,in place,non-hazardous,container,8,381790,31,Medium
342,PortB,PortY,1,4,0,14,2,17,1370,13,regular,clear,808,466901,compliant,no,in place,hazardous,container,14,414943,44,Medium
343,PortB,PortX,0,4,1,94,0,17,1855,16,regular,congested areas,826,371111,compliant,no,not in place,hazardous,bulk carrier,21,408177,33,Medium
344,PortA,PortZ,0,1,4,31,0,17,1261,12,irregular,congested areas,988,370078,compliant,yes,in place,non-hazardous,container,7,308987,32,Medium
345,PortA,PortX,0,0,6,46,0,24,1683,15,regular,congested areas,647,347674,compliant,no,not in place,hazardous,bulk carrier,12,378447,30,Low
346,PortB,PortZ,1,3,3,20,0,25,1700,17,regular,congested areas,823,427431,compliant,yes,in place,hazardous,container,7,453512,40,Medium
347,PortA,PortZ,0,4,4,53,1,17,1365,13,regular,clear,602,336031,non-compliant,no,in place,hazardous,container,11,394556,28,Low
348,PortA,PortX,0,3,4,95,0,16,1778,13,regular,clear,971,454909,compliant,yes,not in place,hazardous,container,15,535897,43,Medium
349,PortA,PortZ,1,1,6,62,2,21,1449,14,regular,congested areas,774,281838,compliant,yes,in place,hazardous,bulk carrier,10,448217,21,Low
350,PortA,PortZ,1,3,3,86,2,17,1557,17,regular,congested areas,698,288178,non-compliant,no,not in place,hazardous,container,19,521840,22,Low
351,PortB,PortY,0,1,3,70,0,22,1552,15,irregular,clear,715,410032,non-compliant,yes,in place,hazardous,bulk carrier,14,100765,37,Medium
352,PortB,PortX,0,0,5,76,2,20,1473,13,regular,clear,869,360899,compliant,yes,in place,hazardous,bulk carrier,5,359667,31,Medium
353,PortA,PortX,0,1,1,22,0,13,1662,15,regular,congested areas,967,329569,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,317606,27,Low
354,PortC,PortZ,0,1,3,20,0,26,1658,12,irregular,congested areas,852,438079,non-compliant,yes,in place,non-hazardous,container,19,337502,41,Medium
355,PortB,PortZ,1,4,2,20,2,27,1150,16,irregular,congested areas,916,314894,non-compliant,no,not in place,hazardous,container,14,269504,25,Low
356,PortB,PortX,0,3,2,94,0,17,1760,15,irregular,clear,694,353464,compliant,no,not in place,hazardous,container,13,389619,30,Medium
357,PortC,PortX,0,4,1,94,2,18,1167,14,regular,clear,872,470396,non-compliant,no,in place,non-hazardous,bulk carrier,10,169164,45,Medium
358,PortB,PortX,1,2,0,16,1,21,1706,13,irregular,clear,979,492648,non-compliant,yes,not in place,non-hazardous,container,11,390343,48,Medium
359,PortC,PortZ,0,1,6,26,0,21,1725,13,irregular,clear,623,489433,compliant,no,not in place,non-hazardous,container,12,272828,47,Medium
360,PortC,PortY,0,2,0,57,1,22,1281,16,regular,congested areas,715,342428,non-compliant,no,not in place,hazardous,bulk carrier,0,299961,29,Low
361,PortA,PortY,0,4,2,23,2,28,1417,17,irregular,clear,750,468148,non-compliant,yes,in place,non-hazardous,bulk carrier,14,393850,45,Medium
362,PortB,PortZ,1,3,3,72,1,19,1278,13,regular,clear,937,291977,compliant,no,not in place,non-hazardous,bulk carrier,16,357877,23,Low
363,PortC,PortZ,1,4,1,73,1,16,1457,15,regular,clear,649,300217,compliant,no,not in place,hazardous,container,8,455392,24,Low
364,PortA,PortZ,0,3,0,84,2,14,1438,10,regular,congested areas,805,174616,compliant,no,in place,non-hazardous,container,13,253049,8,Low
365,PortB,PortX,0,3,0,86,1,17,1655,13,regular,clear,934,500925,non-compliant,yes,not in place,hazardous,bulk carrier,13,341929,49,Medium
366,PortA,PortZ,1,0,6,74,1,19,1762,14,regular,clear,678,302825,compliant,no,not in place,non-hazardous,container,16,438877,24,Low
367,PortA,PortX,0,1,4,43,2,27,1779,13,irregular,clear,669,359183,compliant,no,not in place,non-hazardous,bulk carrier,12,386119,31,Medium
368,PortC,PortY,0,4,2,18,1,17,1387,13,regular,congested areas,626,296802,non-compliant,no,in place,non-hazardous,container,14,392559,23,Low
369,PortB,PortZ,1,3,3,86,2,20,1458,13,irregular,clear,870,428653,non-compliant,yes,in place,non-hazardous,bulk carrier,6,460804,40,Medium
370,PortA,PortZ,1,4,1,46,1,19,1163,15,regular,congested areas,649,335418,non-compliant,yes,in place,non-hazardous,container,6,309375,28,Low
371,PortC,PortX,1,4,0,39,2,24,1338,14,irregular,congested areas,891,260030,non-compliant,no,in place,hazardous,bulk carrier,14,288316,19,Low
372,PortC,PortX,0,3,6,50,2,30,1692,10,regular,clear,846,405712,non-compliant,no,in place,hazardous,bulk carrier,10,407590,37,Medium
373,PortA,PortX,0,2,4,54,1,17,1823,10,regular,congested areas,863,252054,compliant,no,in place,non-hazardous,bulk carrier,4,335056,18,Low
374,PortA,PortY,0,1,2,56,1,18,1253,13,regular,clear,678,306118,compliant,yes,not in place,hazardous,container,13,462220,24,Low
375,PortC,PortY,0,1,2,16,1,24,1381,15,irregular,congested areas,986,200797,compliant,yes,in place,non-hazardous,container,5,386977,11,Low
376,PortA,PortZ,1,0,6,23,0,22,1494,9,irregular,congested areas,789,250466,non-compliant,no,in place,non-hazardous,container,25,287664,17,Low
377,PortA,PortZ,0,0,1,57,0,27,1556,14,irregular,clear,646,383474,compliant,no,in place,non-hazardous,bulk carrier,1,383838,34,Medium
378,PortB,PortX,0,0,0,15,0,22,1338,13,regular,clear,960,205823,non-compliant,yes,in place,non-hazardous,bulk carrier,12,259730,12,Low
379,PortC,PortY,1,1,1,43,2,18,1584,17,regular,congested areas,953,253742,non-compliant,yes,not in place,non-hazardous,bulk carrier,6,444692,18,Low
380,PortA,PortZ,1,2,6,89,1,22,1405,14,irregular,congested areas,951,360324,compliant,no,not in place,hazardous,bulk carrier,16,210284,31,Medium
381,PortC,PortX,0,1,6,55,2,24,1497,15,regular,congested areas,788,330121,compliant,yes,in place,hazardous,bulk carrier,9,472206,27,Low
382,PortB,PortX,1,1,1,68,0,23,1609,15,irregular,congested areas,855,528467,non-compliant,no,not in place,hazardous,bulk carrier,17,382087,52,Medium
383,PortC,PortY,1,1,5,79,1,22,1501,10,regular,clear,821,513388,non-compliant,no,in place,hazardous,bulk carrier,15,333543,50,Medium
384,PortC,PortY,0,1,4,17,2,24,1412,16,irregular,congested areas,971,301882,compliant,yes,not in place,non-hazardous,bulk carrier,6,426333,24,Low
385,PortC,PortZ,0,2,2,33,1,24,1478,15,irregular,congested areas,840,414627,compliant,no,in place,hazardous,bulk carrier,8,401132,38,Medium
386,PortB,PortZ,0,0,5,76,2,25,1482,16,regular,clear,868,434094,non-compliant,no,in place,non-hazardous,container,10,483038,40,Medium
387,PortB,PortX,0,4,3,13,1,22,1425,22,irregular,congested areas,600,326307,non-compliant,no,in place,non-hazardous,bulk carrier,11,482106,27,Low
388,PortC,PortX,1,0,2,10,0,19,1448,10,regular,clear,633,249618,non-compliant,no,in place,hazardous,container,11,385229,17,Low
389,PortC,PortX,1,0,2,43,0,20,1819,18,regular,clear,678,362157,non-compliant,no,not in place,hazardous,bulk carrier,15,262822,31,Medium
390,PortB,PortZ,0,4,4,18,1,24,1612,14,regular,clear,835,350964,compliant,no,in place,non-hazardous,container,13,295849,30,Medium
391,PortA,PortY,0,1,3,72,2,16,1440,15,irregular,congested areas,933,332280,compliant,no,not in place,non-hazardous,bulk carrier,8,342835,28,Low
392,PortB,PortZ,1,2,0,85,0,21,1639,14,irregular,clear,976,408293,non-compliant,yes,not in place,non-hazardous,container,7,458172,37,Medium
393,PortC,PortY,0,2,3,19,0,18,1433,14,irregular,clear,948,305159,non-compliant,yes,not in place,hazardous,bulk carrier,7,304361,24,Low
394,PortA,PortZ,0,0,0,19,0,20,1734,13,regular,clear,697,273475,compliant,no,in place,non-hazardous,bulk carrier,13,312705,20,Low
395,PortA,PortZ,0,4,3,59,1,25,1573,15,regular,congested areas,681,385468,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,534835,34,Medium
396,PortA,PortY,0,3,1,53,1,20,1478,11,irregular,congested areas,791,397856,non-compliant,no,not in place,non-hazardous,container,22,339570,36,Medium
397,PortB,PortZ,1,1,6,57,2,20,1589,16,regular,congested areas,852,270194,non-compliant,no,not in place,non-hazardous,bulk carrier,11,286526,20,Low
398,PortB,PortZ,0,0,3,96,2,14,1185,14,regular,congested areas,637,445630,non-compliant,yes,in place,hazardous,container,12,427664,42,Medium
399,PortB,PortX,1,2,5,15,2,22,1274,12,irregular,clear,613,225580,non-compliant,no,not in place,hazardous,container,2,344386,14,Low
400,PortB,PortY,0,4,5,97,1,22,1261,14,irregular,clear,991,314302,non-compliant,no,in place,non-hazardous,container,5,211040,25,Low
401,PortC,PortY,0,4,4,33,1,28,1528,17,regular,clear,946,352063,compliant,yes,not in place,hazardous,container,6,454091,30,Medium
402,PortA,PortX,1,0,6,94,2,18,1846,13,regular,congested areas,909,312866,non-compliant,yes,not in place,non-hazardous,container,9,275296,25,Low
403,PortC,PortY,0,3,6,67,2,20,1946,15,irregular,clear,985,322513,compliant,yes,in place,hazardous,bulk carrier,4,354358,27,Low
404,PortB,PortX,1,2,0,73,1,20,1627,13,irregular,congested areas,808,516845,compliant,yes,in place,hazardous,container,6,343186,51,Medium
405,PortB,PortY,0,0,2,65,2,26,1600,16,regular,congested areas,956,300579,compliant,yes,not in place,hazardous,container,15,373010,24,Low
406,PortC,PortY,0,3,4,91,0,19,1139,16,regular,congested areas,688,551842,non-compliant,yes,in place,hazardous,container,7,130892,55,Medium
407,PortA,PortY,0,4,5,21,1,21,1391,18,regular,clear,655,400794,non-compliant,no,not in place,non-hazardous,container,11,316490,36,Medium
408,PortA,PortY,0,1,5,44,2,22,1342,14,irregular,clear,693,380488,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,462483,34,Medium
409,PortB,PortX,0,2,0,80,1,20,1375,16,regular,congested areas,692,411926,compliant,yes,in place,non-hazardous,bulk carrier,16,476544,37,Medium
410,PortB,PortX,1,2,5,98,0,18,1466,15,regular,clear,939,564937,compliant,no,in place,hazardous,bulk carrier,13,250870,57,Medium
411,PortB,PortY,1,3,5,15,1,20,1405,17,regular,congested areas,684,292615,non-compliant,no,in place,hazardous,container,13,442059,23,Low
412,PortB,PortZ,0,0,0,74,1,24,1104,13,regular,clear,844,274059,non-compliant,yes,not in place,non-hazardous,container,16,273857,20,Low
413,PortA,PortX,0,4,5,89,1,15,1649,16,regular,congested areas,621,305238,compliant,no,not in place,hazardous,container,14,312546,24,Low
414,PortC,PortY,1,3,2,69,1,20,1285,14,regular,congested areas,890,368461,compliant,no,not in place,hazardous,bulk carrier,17,317801,32,Medium
415,PortA,PortX,1,1,1,77,0,17,1547,14,irregular,congested areas,871,229982,compliant,no,in place,non-hazardous,container,1,360880,15,Low
416,PortC,PortZ,0,1,4,38,1,24,1914,15,irregular,clear,905,374293,non-compliant,no,in place,hazardous,bulk carrier,11,450136,33,Medium
417,PortB,PortZ,0,1,2,47,1,13,1316,15,irregular,clear,721,504306,compliant,no,in place,non-hazardous,container,12,376458,49,Medium
418,PortB,PortZ,1,3,2,31,2,17,993,14,regular,clear,727,378981,compliant,no,not in place,hazardous,container,11,337386,33,Medium
419,PortC,PortY,0,4,1,17,1,21,1442,15,irregular,clear,712,348921,compliant,no,in place,non-hazardous,bulk carrier,12,446731,30,Low
420,PortB,PortY,1,2,6,72,2,26,1720,18,regular,clear,872,314033,non-compliant,yes,in place,hazardous,container,9,269733,25,Low
421,PortA,PortZ,0,0,4,22,0,19,1891,16,regular,congested areas,935,438994,non-compliant,no,not in place,hazardous,bulk carrier,15,342278,41,Medium
422,PortB,PortX,1,2,2,36,0,17,1254,16,regular,clear,729,306412,non-compliant,yes,in place,hazardous,container,9,449578,24,Low
423,PortB,PortX,1,4,5,27,0,27,1599,14,regular,congested areas,731,517858,compliant,no,in place,hazardous,bulk carrier,10,402930,51,Medium
424,PortB,PortZ,0,2,1,27,0,14,1406,13,regular,clear,684,519837,compliant,no,not in place,hazardous,container,19,303369,51,Medium
425,PortB,PortY,1,3,6,86,2,11,1478,16,irregular,clear,949,380475,compliant,yes,not in place,non-hazardous,container,18,198704,34,Medium
426,PortA,PortX,0,1,4,95,1,21,2028,16,irregular,clear,989,368133,compliant,no,not in place,hazardous,container,12,381085,32,Medium
427,PortC,PortX,0,4,3,71,0,17,1199,17,irregular,congested areas,680,442059,non-compliant,no,not in place,non-hazardous,container,8,192132,41,Medium
428,PortB,PortX,0,4,0,23,1,15,1550,13,regular,clear,924,454021,compliant,yes,not in place,non-hazardous,container,3,328749,43,Medium
429,PortB,PortY,0,2,5,20,2,22,1593,14,irregular,congested areas,668,308915,compliant,no,not in place,non-hazardous,bulk carrier,11,467894,25,Low
430,PortA,PortZ,1,3,1,95,2,20,1717,11,regular,clear,747,328359,non-compliant,no,in place,hazardous,bulk carrier,14,409675,27,Low
431,PortA,PortY,0,2,0,26,2,17,1519,14,irregular,congested areas,615,251593,compliant,yes,in place,non-hazardous,container,8,147634,17,Low
432,PortA,PortX,0,2,6,60,0,14,1561,16,irregular,congested areas,906,401227,compliant,yes,not in place,hazardous,bulk carrier,12,370045,36,Medium
433,PortB,PortZ,0,4,6,23,1,23,1421,14,irregular,congested areas,704,419234,compliant,no,not in place,hazardous,bulk carrier,10,318083,38,Medium
434,PortC,PortY,0,2,3,66,1,22,1553,16,irregular,congested areas,764,253137,non-compliant,yes,in place,hazardous,bulk carrier,3,222628,18,Low
435,PortA,PortZ,1,1,2,15,1,19,1431,14,irregular,clear,800,332759,compliant,no,not in place,non-hazardous,bulk carrier,12,383502,28,Low
436,PortA,PortX,0,2,2,66,2,27,1624,15,irregular,clear,796,257260,non-compliant,no,not in place,hazardous,container,14,300826,18,Low
437,PortA,PortY,1,1,4,13,0,15,1426,12,regular,congested areas,784,293168,compliant,yes,in place,hazardous,bulk carrier,12,301446,23,Low
438,PortC,PortZ,1,4,1,20,2,13,1575,15,regular,clear,921,412201,non-compliant,yes,in place,hazardous,bulk carrier,20,362404,38,Medium
439,PortB,PortY,1,3,1,83,2,17,1494,9,regular,congested areas,864,305692,non-compliant,yes,not in place,non-hazardous,container,10,287411,24,Low
440,PortB,PortX,0,1,6,20,1,19,1725,14,regular,clear,962,343912,non-compliant,yes,not in place,non-hazardous,container,9,359573,29,Low
441,PortB,PortZ,0,3,4,88,2,20,1489,11,regular,clear,699,234348,compliant,no,in place,non-hazardous,container,22,290667,15,Low
442,PortA,PortX,0,3,0,17,1,19,1145,17,irregular,clear,941,379766,compliant,yes,not in place,non-hazardous,container,5,296153,33,Medium
443,PortB,PortZ,0,1,2,93,0,21,1752,16,regular,congested areas,919,368922,non-compliant,yes,in place,hazardous,container,8,449292,32,Medium
444,PortA,PortX,1,4,2,68,1,14,1318,15,regular,clear,813,314656,non-compliant,no,in place,non-hazardous,container,13,459467,25,Low
445,PortC,PortX,1,0,6,30,0,25,1369,18,regular,congested areas,877,343835,compliant,no,not in place,hazardous,container,17,179134,29,Low
446,PortC,PortY,0,3,1,74,1,19,1380,13,regular,clear,761,385658,non-compliant,no,in place,non-hazardous,container,16,424707,34,Medium
447,PortB,PortX,0,3,6,33,2,24,1774,18,regular,congested areas,756,309303,compliant,no,in place,hazardous,bulk carrier,6,489859,25,Low
448,PortA,PortY,0,4,1,39,2,21,1072,16,regular,clear,850,257185,compliant,no,in place,non-hazardous,container,20,505737,18,Low
449,PortA,PortX,0,4,4,93,0,21,2127,14,regular,congested areas,965,514547,non-compliant,no,not in place,non-hazardous,bulk carrier,14,402037,51,Medium
450,PortB,PortX,0,2,3,66,0,22,1711,17,regular,congested areas,696,311551,non-compliant,no,not in place,non-hazardous,container,7,244260,25,Low
451,PortC,PortX,0,4,0,89,0,21,1544,12,regular,congested areas,617,362909,compliant,no,not in place,hazardous,container,8,412998,31,Medium
452,PortC,PortZ,0,3,5,82,1,22,1489,13,irregular,clear,926,444020,compliant,no,in place,hazardous,bulk carrier,12,263074,42,Medium
453,PortC,PortY,1,1,3,26,1,25,1557,13,regular,congested areas,982,648109,compliant,yes,in place,non-hazardous,container,22,315703,67,High
454,PortC,PortZ,1,0,3,68,0,20,1604,13,regular,clear,696,269856,non-compliant,yes,not in place,non-hazardous,container,13,388308,20,Low
455,PortC,PortY,1,2,1,40,2,22,1629,12,irregular,congested areas,600,399462,compliant,no,in place,non-hazardous,bulk carrier,22,269524,36,Medium
456,PortB,PortX,1,1,1,73,1,19,1611,17,irregular,congested areas,815,305163,non-compliant,yes,in place,non-hazardous,bulk carrier,16,235359,24,Low
457,PortB,PortZ,0,0,1,57,1,25,1517,14,regular,congested areas,731,326725,non-compliant,no,not in place,non-hazardous,bulk carrier,5,396577,27,Low
458,PortB,PortY,0,0,3,32,1,17,1460,15,regular,clear,859,319219,compliant,no,in place,non-hazardous,bulk carrier,19,536722,26,Low
459,PortC,PortX,0,0,6,79,0,27,1469,13,regular,clear,724,283663,non-compliant,no,in place,hazardous,bulk carrier,7,474323,22,Low
460,PortC,PortY,0,1,0,39,0,19,1461,11,irregular,clear,681,367732,non-compliant,no,in place,hazardous,bulk carrier,8,420718,32,Medium
461,PortB,PortY,0,2,6,64,0,14,1726,15,regular,clear,882,254435,non-compliant,yes,in place,hazardous,container,13,447918,18,Low
462,PortB,PortX,1,2,1,16,0,20,1618,11,irregular,clear,770,446433,non-compliant,yes,in place,hazardous,container,11,413771,42,Medium
463,PortC,PortZ,0,0,2,84,0,17,911,14,irregular,clear,658,374149,compliant,no,in place,hazardous,container,16,394990,33,Medium
464,PortA,PortX,1,1,6,21,2,23,1631,12,irregular,clear,631,405787,compliant,yes,not in place,hazardous,container,14,439861,37,Medium
465,PortB,PortZ,0,0,0,69,2,17,1538,18,irregular,congested areas,760,323363,non-compliant,yes,not in place,non-hazardous,container,11,213163,26,Low
466,PortC,PortY,1,4,2,61,0,18,1496,16,irregular,congested areas,883,339121,non-compliant,no,in place,non-hazardous,bulk carrier,20,369948,28,Low
467,PortC,PortY,0,2,0,36,1,12,1422,15,regular,clear,705,390100,non-compliant,no,not in place,non-hazardous,bulk carrier,9,341905,35,Medium
468,PortB,PortY,1,3,1,21,0,18,1724,17,regular,clear,704,274770,non-compliant,yes,not in place,non-hazardous,container,6,357890,20,Low
469,PortA,PortZ,0,0,6,22,2,10,1689,13,irregular,clear,827,336553,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,303862,28,Low
470,PortC,PortX,0,4,5,81,2,13,1345,16,irregular,clear,787,301333,compliant,no,in place,hazardous,container,11,402048,24,Low
471,PortB,PortZ,0,2,4,89,1,23,1581,15,irregular,clear,669,292164,compliant,no,not in place,hazardous,bulk carrier,13,268207,23,Low
472,PortC,PortY,0,1,1,71,2,23,1305,15,irregular,congested areas,917,196043,compliant,yes,in place,hazardous,container,15,296614,11,Low
473,PortC,PortY,1,2,3,38,0,21,1224,17,regular,clear,889,471376,compliant,no,not in place,hazardous,container,11,284612,45,Medium
474,PortC,PortX,0,1,5,44,1,16,1374,16,irregular,clear,686,316896,non-compliant,no,not in place,hazardous,container,21,436394,26,Low
475,PortC,PortZ,1,1,3,69,0,19,1672,15,irregular,clear,969,460511,non-compliant,no,in place,non-hazardous,bulk carrier,13,348827,44,Medium
476,PortA,PortY,0,0,0,38,0,19,1690,11,regular,congested areas,961,450699,compliant,yes,not in place,hazardous,bulk carrier,9,303916,43,Medium
477,PortB,PortZ,1,0,3,40,1,15,1602,13,regular,congested areas,655,262752,compliant,yes,in place,hazardous,container,14,312657,19,Low
478,PortB,PortZ,0,2,5,86,0,26,1645,14,regular,congested areas,712,280446,compliant,no,not in place,hazardous,bulk carrier,11,350388,21,Low
479,PortB,PortX,0,4,5,85,2,23,1603,15,regular,congested areas,612,580451,non-compliant,yes,not in place,non-hazardous,container,12,512217,59,Medium
480,PortB,PortX,1,2,1,70,0,19,1371,12,irregular,clear,617,501391,non-compliant,no,not in place,non-hazardous,container,6,226347,49,Medium
481,PortB,PortY,0,3,2,11,1,20,1586,19,irregular,congested areas,781,368356,non-compliant,yes,not in place,non-hazardous,bulk carrier,7,417550,32,Medium
482,PortA,PortX,0,1,1,42,1,20,1660,18,irregular,congested areas,712,390449,compliant,yes,in place,non-hazardous,container,17,397186,35,Medium
483,PortC,PortZ,1,1,0,81,1,11,1650,16,irregular,congested areas,828,312617,compliant,yes,in place,non-hazardous,container,5,261703,25,Low
484,PortC,PortX,0,0,3,71,0,19,1737,15,irregular,congested areas,770,409422,non-compliant,no,not in place,non-hazardous,container,11,496687,37,Medium
485,PortB,PortZ,1,4,2,68,1,17,1641,14,irregular,congested areas,894,312821,non-compliant,no,in place,hazardous,bulk carrier,13,403928,25,Low
486,PortC,PortY,0,0,6,49,1,15,1570,13,irregular,clear,788,202373,non-compliant,no,not in place,hazardous,container,19,299226,11,Low
487,PortC,PortZ,1,3,4,58,0,18,1714,15,irregular,congested areas,678,252478,compliant,yes,in place,hazardous,container,9,164058,18,Low
488,PortC,PortX,1,2,5,41,2,27,1494,15,irregular,congested areas,745,370333,non-compliant,no,in place,non-hazardous,container,15,372914,32,Medium
489,PortB,PortX,1,2,2,47,0,22,1323,12,regular,congested areas,781,276790,non-compliant,no,in place,non-hazardous,container,11,345525,21,Low
490,PortB,PortY,1,4,6,88,1,17,1467,15,irregular,clear,885,356964,compliant,no,not in place,non-hazardous,bulk carrier,1,246928,31,Medium
491,PortA,PortX,0,0,2,96,1,22,1351,14,regular,clear,849,276309,non-compliant,no,in place,non-hazardous,container,12,245638,21,Low
492,PortB,PortY,0,0,1,97,0,25,1364,11,regular,clear,953,309254,non-compliant,yes,in place,hazardous,container,11,436850,25,Low
493,PortA,PortY,1,3,6,22,2,23,1471,13,regular,clear,913,425974,non-compliant,no,not in place,non-hazardous,bulk carrier,14,154430,39,Medium
494,PortB,PortX,0,2,4,94,1,20,1341,14,regular,clear,795,388869,non-compliant,no,not in place,non-hazardous,bulk carrier,8,381428,35,Medium
495,PortC,PortZ,0,0,5,63,1,17,1438,18,irregular,clear,922,365789,compliant,yes,not in place,non-hazardous,bulk carrier,9,331256,32,Medium
496,PortA,PortY,0,4,0,85,1,22,1121,16,regular,clear,670,440302,non-compliant,no,in place,non-hazardous,bulk carrier,18,399715,41,Medium
497,PortA,PortZ,1,2,0,22,0,21,1542,12,regular,clear,847,404477,compliant,yes,in place,non-hazardous,bulk carrier,10,320569,37,Medium
498,PortA,PortX,0,3,2,48,1,23,1500,15,irregular,congested areas,745,484691,non-compliant,yes,in place,hazardous,bulk carrier,2,379327,47,Medium
499,PortB,PortZ,0,4,6,32,2,22,1336,11,regular,congested areas,705,326997,compliant,yes,in place,non-hazardous,container,14,275722,27,Low
500,PortA,PortZ,1,1,2,23,1,24,1631,17,irregular,clear,862,332883,non-compliant,no,in place,non-hazardous,container,16,345079,28,Low
501,PortB,PortZ,0,3,3,26,1,17,1687,14,irregular,congested areas,895,265856,non-compliant,yes,in place,hazardous,bulk carrier,16,398908,19,Low
502,PortA,PortZ,1,4,4,33,2,25,1178,14,irregular,clear,669,333935,compliant,yes,not in place,non-hazardous,container,8,365087,28,Low
503,PortB,PortX,1,0,5,67,1,20,1347,17,irregular,congested areas,792,446583,non-compliant,yes,in place,non-hazardous,bulk carrier,12,388030,42,Medium
504,PortA,PortX,1,1,2,72,0,28,1346,12,regular,congested areas,667,466859,non-compliant,no,in place,hazardous,container,14,257207,44,Medium
505,PortC,PortZ,0,3,3,43,0,17,1312,12,irregular,clear,904,441371,compliant,yes,in place,hazardous,bulk carrier,16,290932,41,Medium
506,PortC,PortX,0,0,6,60,0,26,1665,13,regular,congested areas,651,221097,non-compliant,yes,not in place,hazardous,bulk carrier,14,292666,14,Low
507,PortA,PortX,1,1,4,95,2,20,1461,17,regular,clear,969,452769,non-compliant,yes,in place,hazardous,container,15,322351,43,Medium
508,PortB,PortY,1,2,5,19,1,17,1447,11,irregular,clear,962,227211,non-compliant,no,not in place,hazardous,bulk carrier,8,485858,15,Low
509,PortB,PortX,1,0,0,81,0,18,1099,9,regular,congested areas,884,437578,non-compliant,yes,in place,hazardous,container,0,314582,41,Medium
510,PortB,PortZ,1,4,3,30,2,18,1627,14,irregular,clear,933,332359,non-compliant,yes,not in place,hazardous,bulk carrier,17,235644,28,Low
511,PortC,PortX,1,3,6,46,1,21,1252,16,regular,congested areas,608,426410,compliant,no,not in place,hazardous,bulk carrier,7,404164,39,Medium
512,PortC,PortX,1,1,4,16,2,22,1511,17,regular,congested areas,850,267637,compliant,no,not in place,hazardous,container,11,484664,20,Low
513,PortC,PortX,0,0,3,99,0,17,1555,14,regular,clear,931,454887,non-compliant,no,in place,hazardous,bulk carrier,16,223878,43,Medium
514,PortB,PortX,1,2,2,22,0,19,1772,14,regular,clear,897,260166,non-compliant,yes,not in place,non-hazardous,container,12,547281,19,Low
515,PortB,PortY,1,3,1,89,0,28,1238,17,irregular,clear,783,316099,compliant,yes,in place,hazardous,container,15,391517,25,Low
516,PortB,PortZ,1,3,0,39,2,26,896,11,irregular,clear,778,292821,compliant,yes,not in place,hazardous,container,24,453389,22,Low
517,PortA,PortZ,0,0,2,40,2,21,1536,14,regular,clear,797,234492,compliant,yes,in place,hazardous,container,14,496707,15,Low
518,PortA,PortX,0,2,2,14,0,20,1860,15,regular,congested areas,727,379925,compliant,no,not in place,hazardous,container,8,447261,34,Medium
519,PortA,PortX,0,1,6,41,2,20,1747,15,regular,clear,619,511434,compliant,yes,not in place,hazardous,bulk carrier,4,338946,50,Medium
520,PortC,PortY,0,0,6,25,0,22,1541,13,regular,congested areas,927,586940,compliant,no,in place,non-hazardous,bulk carrier,15,471769,59,Medium
521,PortC,PortX,1,1,4,82,0,15,1401,15,irregular,clear,664,376545,non-compliant,yes,not in place,non-hazardous,container,12,375459,33,Medium
522,PortB,PortY,0,3,6,31,1,18,1661,10,regular,congested areas,781,462286,non-compliant,yes,in place,non-hazardous,bulk carrier,5,459048,44,Medium
523,PortA,PortZ,1,1,3,73,2,13,1305,13,regular,congested areas,840,392066,non-compliant,yes,not in place,hazardous,container,17,469987,35,Medium
524,PortB,PortZ,1,2,0,53,0,21,1595,15,regular,congested areas,968,401956,non-compliant,no,not in place,hazardous,bulk carrier,15,240910,36,Medium
525,PortA,PortY,1,4,2,49,0,22,1601,13,irregular,congested areas,623,344099,non-compliant,no,in place,non-hazardous,container,11,429430,29,Low
526,PortA,PortZ,1,2,4,46,2,18,1712,15,regular,congested areas,983,382196,compliant,no,in place,hazardous,bulk carrier,22,331810,34,Medium
527,PortB,PortX,1,1,0,87,1,26,2051,15,irregular,clear,682,411189,compliant,no,in place,hazardous,container,17,363819,38,Medium
